Team,BPI,BPI_Rk,Off,Def,Year
PRST,-1.7,192,-3.9,2.1,2026
QUC,-1.8,193,3.2,-5.0,2026
SIE,-1.8,194,-1.9,0.1,2026
UTA,-1.9,195,-5.0,3.1,2026
CSUN,-1.9,196,-2.0,0.1,2026
CLT,-1.9,197,1.1,-3.0,2026
RICE,-1.9,198,-0.9,-1.0,2026
QUIN,-2.0,199,-3.2,1.2,2026
MRST,-2.1,200,-6.0,3.9,2026
MOST,-2.2,201,-0.7,-1.4,2026
OHIO,-2.3,202,-0.3,-2.1,2026
HOW,-2.4,203,-3.1,0.7,2026
UCD,-2.4,204,-2.8,0.4,2026
UVM,-2.5,205,-1.2,-1.3,2026
YSU,-2.5,206,-2.5,0.0,2026
TNST,-2.6,207,-2.0,-0.6,2026
SDST,-2.8,208,-1.5,-1.3,2026
FIU,-2.9,209,-2.7,-0.2,2026
WCU,-2.9,210,-0.6,-2.2,2026
TXST,-2.9,211,-2.9,-0.0,2026
WEB,-3.0,212,-0.1,-2.8,2026
FGCU,-3.1,213,-1.8,-1.2,2026
DREX,-3.1,214,-4.5,1.3,2026
INST,-3.2,215,-2.8,-0.4,2026
EWU,-3.2,216,0.4,-3.6,2026
LIU,-3.3,217,-3.1,-0.2,2026
RAD,-3.3,218,-1.7,-1.7,2026
AMER,-3.3,219,-1.8,-1.5,2026
GASO,-3.3,220,0.4,-3.7,2026
MONT,-3.4,221,-3.3,-0.1,2026
LAS,-3.6,222,-3.2,-0.3,2026
ODU,-3.6,223,-2.3,-1.3,2026
COLG,-3.6,224,-1.1,-2.5,2026
CSUF,-3.6,225,-2.0,-1.6,2026
UTM,-3.7,226,-6.3,2.7,2026
ELON,-3.7,227,-0.2,-3.5,2026
LONG,-3.7,228,-3.5,-0.2,2026
NICH,-3.7,229,-2.5,-1.3,2026
USM,-3.7,230,-3.8,0.1,2026
IONA,-3.7,231,-3.5,-0.3,2026
SJSU,-3.8,232,0.6,-4.4,2026
USD,-3.9,233,-1.9,-2.0,2026
BUF,-3.9,234,0.4,-4.3,2026
UNCA,-3.9,235,-3.0,-0.9,2026
UTU,-4.0,236,-2.2,-1.8,2026
UNO,-4.0,237,-1.5,-2.5,2026
BU,-4.0,238,0.9,-5.0,2026
LAM,-4.1,239,-4.5,0.4,2026
PFW,-4.1,240,-1.8,-2.4,2026
MILW,-4.2,241,-1.2,-3.0,2026
WOF,-4.2,242,-0.5,-3.7,2026
LUC,-4.3,243,-2.5,-1.8,2026
GB,-4.4,244,0.1,-4.5,2026
CCU,-4.4,245,-4.8,0.4,2026
BCU,-4.5,246,-3.9,-0.6,2026
UIW,-4.5,247,-0.3,-4.2,2026
SPU,-4.6,248,-4.5,-0.1,2026
CHSO,-4.6,249,-2.9,-1.7,2026
SEMO,-4.6,250,-5.5,0.9,2026
EMU,-4.7,251,-4.9,0.2,2026
STBK,-4.8,252,-3.4,-1.4,2026
FAIR,-4.8,253,-2.3,-2.5,2026
SIUE,-5.0,254,-6.3,1.3,2026
PRIN,-5.0,255,-3.1,-1.9,2026
ECU,-5.0,256,-3.8,-1.2,2026
DETM,-5.0,257,-2.8,-2.2,2026
UTC,-5.0,258,-1.2,-3.8,2026
LIN,-5.1,259,-6.0,0.8,2026
DART,-5.2,260,-3.2,-2.0,2026
