Year,Region,Round,TeamA,SeedA,ScoreA,TeamB,SeedB,ScoreB,Winner,Location
2009,East,R32,Wisconsin,12,49,Xavier,4,60,Xavier,"Boise, ID"
2009,East,R32,UCLA,6,69,Villanova,3,89,Villanova,"Philadelphia, PA"
2009,East,R32,Texas,7,69,Duke,2,74,Duke,"Greensboro, NC"
2009,East,S16,Pitt,1,60,Xavier,4,55,Pitt,"Boston, MA"
2009,East,S16,Villanova,3,77,Duke,2,54,Villanova,"Boston, MA"
2009,East,E8,Pitt,1,76,Villanova,3,78,Villanova,"Boston, MA"
2009,Midwest,R64,Louisville,1,74,Morehead State,16,54,Louisville,"Dayton, OH"
2009,Midwest,R64,Ohio State,8,72,Siena,9,74,Siena,"Dayton, OH"
2009,Midwest,R64,Utah,5,71,Arizona,12,84,Arizona,"Miami, FL"
2009,Midwest,R64,Wake Forest,4,69,Cleveland State,13,84,Cleveland State,"Miami, FL"
2009,Midwest,R64,West Virginia,6,60,Dayton,11,68,Dayton,"Minneapolis, MN"
2009,Midwest,R64,Kansas,3,84,North Dakota State,14,74,Kansas,"Minneapolis, MN"
2009,Midwest,R64,Boston College,7,55,USC,10,72,USC,"Minneapolis, MN"
2009,Midwest,R64,Michigan State,2,77,Robert Morris,15,62,Michigan State,"Minneapolis, MN"
2009,Midwest,R32,Louisville,1,79,Siena,9,72,Louisville,"Dayton, OH"
2009,Midwest,R32,Arizona,12,71,Cleveland State,13,57,Arizona,"Miami, FL"
2009,Midwest,R32,Dayton,11,43,Kansas,3,60,Kansas,"Minneapolis, MN"
2009,Midwest,R32,USC,10,69,Michigan State,2,74,Michigan State,"Minneapolis, MN"
2009,Midwest,S16,Louisville,1,103,Arizona,12,64,Louisville,"Indianapolis, IN"
2009,Midwest,S16,Kansas,3,62,Michigan State,2,67,Michigan State,"Indianapolis, IN"
2009,Midwest,E8,Louisville,1,52,Michigan State,2,64,Michigan State,"Indianapolis, IN"
2009,South,R64,UNC,1,101,Radford,16,58,UNC,"Greensboro, NC"
2009,South,R64,LSU,8,75,Butler,9,71,LSU,"Greensboro, NC"
2009,South,R64,Illinois,5,72,Western Kentucky,12,76,Western Kentucky,"Portland, OR"
2009,South,R64,Gonzaga,4,77,Akron,13,64,Gonzaga,"Portland, OR"
2009,South,R64,Arizona State,6,66,Temple,11,57,Arizona State,"Miami, FL"
2009,South,R64,Syracuse,3,59,Stephen F. Austin,14,44,Syracuse,"Miami, FL"
2009,South,R64,Clemson,7,59,Michigan,10,62,Michigan,"Kansas City, MO"
2009,South,R64,Oklahoma,2,82,Morgan State,15,54,Oklahoma,"Kansas City, MO"
2009,South,R32,UNC,1,84,LSU,8,70,UNC,"Greensboro, NC"
2009,South,R32,Western Kentucky,12,81,Gonzaga,4,83,Gonzaga,"Portland, OR"
2009,South,R32,Arizona State,6,67,Syracuse,3,78,Syracuse,"Miami, FL"
2009,South,R32,Michigan,10,63,Oklahoma,2,73,Oklahoma,"Kansas City, MO"
2009,South,S16,UNC,1,98,Gonzaga,4,77,UNC,"Memphis, TN"
2009,South,S16,Syracuse,3,71,Oklahoma,2,84,Oklahoma,"Memphis, TN"
2009,South,E8,UNC,1,72,Oklahoma,2,60,UNC,"Memphis, TN"
2009,West,R64,UConn,1,103,Chattanooga,16,47,UConn,"Philadelphia, PA"
2009,West,R64,BYU,8,66,Texas A&M,9,79,Texas A&M,"Philadelphia, PA"
2009,West,R64,Purdue,5,61,Northern Iowa,12,56,Purdue,"Portland, OR"
2009,West,R64,Washington,4,71,Mississippi State,13,58,Washington,"Portland, OR"
2009,West,R64,Marquette,6,58,Utah State,11,57,Marquette,"Boise, ID"
2009,West,R64,Missouri,3,78,Cornell,14,59,Missouri,"Boise, ID"
2009,West,R64,California,7,71,Maryland,10,84,Maryland,"Kansas City, MO"
2009,West,R64,Memphis,2,81,Cal State Northridge,15,70,Memphis,"Kansas City, MO"
2009,West,R32,UConn,1,92,Texas A&M,9,66,UConn,"Philadelphia, PA"
2009,West,R32,Purdue,5,76,Washington,4,74,Purdue,"Portland, OR"
2009,West,R32,Marquette,6,79,Missouri,3,83,Missouri,"Boise, ID"
2009,West,R32,Maryland,10,70,Memphis,2,89,Memphis,"Kansas City, MO"
2009,West,S16,UConn,1,72,Purdue,5,60,UConn,"Glendale, AZ"
2009,West,S16,Missouri,3,102,Memphis,2,91,Missouri,"Glendale, AZ"
2009,West,E8,UConn,1,82,Missouri,3,75,UConn,"Glendale, AZ"
2009,National,F4,UNC,1,83,Villanova,3,69,UNC,"Detroit, MI"
2009,National,F4,UConn,1,73,Michigan State,2,82,Michigan State,"Detroit, MI"
2009,National,Championship,UNC,1,89,Michigan State,2,72,UNC,"Detroit, MI"
2010,East,R64,Kentucky,1,100,ETSU,16,71,Kentucky,"New Orleans, LA"
2010,East,R64,Texas,8,80,Wake Forest,9,81,Wake Forest,"New Orleans, LA"
2010,East,R64,Temple,5,65,Cornell,12,78,Cornell,"Jacksonville, FL"
2010,East,R64,Wisconsin,4,53,Wofford,13,49,Wisconsin,"Jacksonville, FL"
2010,East,R64,Marquette,6,78,Washington,11,80,Washington,"San Jose, CA"
2010,East,R64,New Mexico,3,62,Montana,14,57,New Mexico,"San Jose, CA"
2010,East,R64,Clemson,7,78,Missouri,10,86,Missouri,"Buffalo, NY"
2010,East,R64,West Virginia,2,77,Morgan State,15,50,West Virginia,"Buffalo, NY"
2010,East,R32,Kentucky,1,90,Wake Forest,9,60,Kentucky,"New Orleans, LA"
2010,East,R32,Cornell,12,87,Wisconsin,4,69,Cornell,"Jacksonville, FL"
2010,East,R32,Washington,11,82,New Mexico,3,64,Washington,"San Jose, CA"
2010,East,R32,Missouri,10,59,West Virginia,2,68,West Virginia,"Buffalo, NY"
2010,East,S16,Kentucky,1,62,Cornell,12,45,Kentucky,"Syracuse, NY"
2010,East,S16,Washington,11,56,West Virginia,2,69,West Virginia,"Syracuse, NY"
2010,East,E8,Kentucky,1,66,West Virginia,2,73,West Virginia,"Syracuse, NY"
2010,Midwest,R64,Kansas,1,90,Lehigh,16,74,Kansas,"Oklahoma City, OK"
2010,Midwest,R64,UNLV,8,66,Northern Iowa,9,69,Northern Iowa,"Oklahoma City, OK"
2010,Midwest,R64,Michigan State,5,70,New Mexico State,12,67,Michigan State,"Spokane, WA"
2010,Midwest,R64,Maryland,4,89,Houston,13,77,Maryland,"Spokane, WA"
2010,Midwest,R64,Tennessee,6,62,San Diego State,11,59,Tennessee,"Providence, RI"
2010,Midwest,R64,Georgetown,3,83,Ohio,14,97,Ohio,"Providence, RI"
2010,Midwest,R64,Oklahoma State,7,59,Georgia Tech,10,64,Georgia Tech,"Milwaukee, WI"
2010,Midwest,R64,Ohio State,2,68,UCSB,15,51,Ohio State,"Milwaukee, WI"
2010,Midwest,R32,Kansas,1,67,Northern Iowa,9,69,Northern Iowa,"Oklahoma City, OK"
2010,Midwest,R32,Michigan State,5,85,Maryland,4,83,Michigan State,"Spokane, WA"
2010,Midwest,R32,Tennessee,6,83,Ohio,14,68,Tennessee,"Providence, RI"
2010,Midwest,R32,Georgia Tech,10,66,Ohio State,2,75,Ohio State,"Milwaukee, WI"
2010,Midwest,S16,Northern Iowa,9,52,Michigan State,5,59,Michigan State,"St. Louis, MO"
2010,Midwest,S16,Tennessee,6,76,Ohio State,2,73,Tennessee,"St. Louis, MO"
2010,Midwest,E8,Michigan State,5,70,Tennessee,6,69,Michigan State,"St. Louis, MO"
2010,South,R64,Duke,1,73,Arkansas-Pine Bluff,16,44,Duke,"Jacksonville, FL"
2010,South,R64,California,8,77,Louisville,9,62,California,"Jacksonville, FL"
2010,South,R64,Texas A&M,5,69,Utah State,12,53,Texas A&M,"Spokane, WA"
2010,South,R64,Purdue,4,72,Siena,13,64,Purdue,"Spokane, WA"
2010,South,R64,Notre Dame,6,50,Old Dominion,11,51,Old Dominion,"New Orleans, LA"
2010,South,R64,Baylor,3,68,Sam Houston,14,59,Baylor,"New Orleans, LA"
2010,South,R64,Richmond,7,71,Saint Mary's,10,80,Saint Mary's,"Providence, RI"
2010,South,R64,Villanova,2,73,Robert Morris,15,70,Villanova,"Providence, RI"
2010,South,R32,Duke,1,68,California,8,53,Duke,"Jacksonville, FL"
2010,South,R32,Texas A&M,5,61,Purdue,4,63,Purdue,"Spokane, WA"
2010,South,R32,Old Dominion,11,68,Baylor,3,76,Baylor,"New Orleans, LA"
2010,South,R32,Saint Mary's,10,75,Villanova,2,68,Saint Mary's,"Providence, RI"
2010,South,S16,Duke,1,70,Purdue,4,57,Duke,"Houston, TX"
2010,South,S16,Baylor,3,72,Saint Mary's,10,49,Baylor,"Houston, TX"
2010,South,E8,Duke,1,78,Baylor,3,71,Duke,"Houston, TX"
2010,West,R64,Syracuse,1,79,Vermont,16,56,Syracuse,"Buffalo, NY"
2010,West,R64,Gonzaga,8,67,Florida State,9,60,Gonzaga,"Buffalo, NY"
2010,West,R64,Butler,5,77,UTEP,12,59,Butler,"San Jose, CA"
2010,West,R64,Vanderbilt,4,65,Murray State,13,66,Murray State,"San Jose, CA"
2010,West,R64,Xavier,6,65,Minnesota,11,54,Xavier,"Milwaukee, WI"
2010,West,R64,Pitt,3,89,Oakland,14,66,Pitt,"Milwaukee, WI"
2010,West,R64,BYU,7,99,Florida,10,92,BYU,"Oklahoma City, OK"
2010,West,R64,Kansas State,2,82,North Texas,15,62,Kansas State,"Oklahoma City, OK"
2010,West,R32,Syracuse,1,87,Gonzaga,8,65,Syracuse,"Buffalo, NY"
2010,West,R32,Butler,5,54,Murray State,13,52,Butler,"San Jose, CA"
2010,West,R32,Xavier,6,71,Pitt,3,68,Xavier,"Milwaukee, WI"
2010,West,R32,BYU,7,72,Kansas State,2,84,Kansas State,"Oklahoma City, OK"
