Team,PowerRank,Year
Hartford,168,2021
Houston,6,2021
Illinois,5,2021
Iona,153,2021
Iowa,7,2021
Kansas,13,2021
Liberty,99,2021
Loyola-Chicago,19,2021
LSU,34,2021
Maryland,38,2021
Michigan,4,2021
Michigan St,59,2021
Missouri,43,2021
Morehead St,140,2021
Mount St. Mary's,175,2021
NC Greensboro,84,2021
Norfolk St,167,2021
North Carolina,31,2021
North Texas,74,2021
Ohio,78,2021
Ohio St,9,2021
Oklahoma,28,2021
Oklahoma St,15,2021
Oral Roberts,130,2021
Oregon,30,2021
Oregon St,79,2021
Purdue,20,2021
Rutgers,36,2021
San Diego St,29,2021
St. Bonaventure,18,2021
Syracuse,61,2021
Tennessee,26,2021
Texas,17,2021
Texas Southern,232,2021
Texas Tech,24,2021
UC Santa Barbara,70,2021
UCLA,39,2021
USC,11,2021
Utah St,49,2021
VCU,37,2021
Villanova,14,2021
Virginia,32,2021
Virginia Tech,48,2021
West Virginia,12,2021
Wichita St,62,2021
Winthrop,53,2021
Wisconsin,27,2021
Akron,111,2022
Alabama,21,2022
Arizona,2,2022
Arkansas,15,2022
Auburn,3,2022
Baylor,7,2022
BoiseState,42,2022
Bryant,192,2022
Chattanooga,70,2022
Colgate,113,2022
ColoradoState,49,2022
Connecticut,16,2022
Creighton,50,2022
CSFullerton,153,2022
Davidson,31,2022
Delaware,134,2022
Duke,9,2022
GeorgiaState,165,2022
Gonzaga,1,2022
Houston,8,2022
Illinois,17,2022
Indiana,43,2022
Iowa,14,2022
IowaState,45,2022
JacksonvilleState,139,2022
Kansas,5,2022
Kentucky,4,2022
Longwood,155,2022
LoyolaChicago,36,2022
LSU,19,2022
Marquette,37,2022
Memphis,18,2022
Miami,53,2022
Michigan,39,2022
MichiganState,35,2022
MontanaState,138,2022
MurrayState,24,2022
NewMexicoState,60,2022
NorfolkState,162,2022
NorthCarolina,32,2022
NotreDame,54,2022
OhioState,26,2022
Providence,30,2022
Purdue,13,2022
Richmond,84,2022
Rutgers,65,2022
SaintMarys,22,2022
SaintPeters,118,2022
SanDiegoState,28,2022
SanFrancisco,34,2022
SetonHall,38,2022
SouthDakotaState,80,2022
TCU,33,2022
Tennessee,11,2022
Texas,20,2022
TexasA&MCC,239,2022
TexasSouthern,178,2022
TexasTech,6,2022
UAB,44,2022
UCLA,10,2022
USC,48,2022
Vermont,69,2022
Villanova,12,2022
VirginiaTech,25,2022
Wisconsin,23,2022
WrightState,173,2022
Wyoming,72,2022
Yale,159,2022
Alabama,21,2023
Texas A&M CC,204,2023
Maryland,75,2023
West Virginia,19,2023
San Diego State,19,2023
Charleston,128,2023
Virginia,71,2023
Furman,87,2023
Creighton,50,2023
NC State,50,2023
Baylor,7,2023
UCSB,147,2023
Missouri,57,2023
Utah State,64,2023
Arizona,2,2023
Princeton,109,2023
Purdue,13,2023
Texas Southern,285,2023
Memphis,18,2023
Florida Atlantic,142,2023
Duke,9,2023
Oral Roberts,167,2023
Tennessee,11,2023
Louisiana,111,2023
Kentucky,4,2023
Providence,30,2023
Kansas State,57,2023
Montana State,116,2023
Michigan State,35,2023
USC,48,2023
Marquette,37,2023
Vermont,69,2023
Houston,8,2023
Northern Kentucky,156,2023
Iowa,14,2023
Auburn,3,2023
Miami,53,2023
Drake,72,2023
Indiana,43,2023
Kent State,73,2023
Iowa State,26,2023
Mississippi State,51,2023
Pittsburgh,170,2023
Xavier,56,2023
Kennesaw State,141,2023
Texas A&M,27,2023
Penn State,40,2023
Texas,20,2023
Colgate,113,2023
Kansas,5,2023
Howard,231,2023
Arkansas,15,2023
Illinois,17,2023
Saint Mary's,14,2023
VCU,59,2023
UConn,5,2023
Iona,68,2023
TCU,33,2023
Arizona State,66,2023
Nevada,140,2023
Gonzaga,1,2023
Grand Canyon,95,2023
Northwestern,90,2023
Boise State,40,2023
UCLA,10,2023
NC Asheville,157,2023
Southeast Missouri St.,238,2023
Fairleigh Dickinson,286,2023
Connecticut,1,2024
Stetson,203,2024
Florida Atlantic,30,2024
Northwestern,40,2024
San Diego St.,24,2024
UAB,101,2024
Auburn,4,2024
Yale,97,2024
BYU,16,2024
Duquesne,87,2024
Illinois,10,2024
Morehead State,139,2024
Washington State,38,2024
Drake,47,2024
Iowa State,6,2024
South Dakota State,136,2024
Houston,2,2024
Longwood,152,2024
Nebraska,26,2024
Texas A&M,33,2024
Wisconsin,15,2024
James Madison,51,2024
Duke,9,2024
Vermont,107,2024
Texas Tech,35,2024
NC State,48,2024
Kentucky,14,2024
Oakland,127,2024
Florida,21,2024
Boise State,53,2024
Colorado,27,2024
Marquette,12,2024
Western Kentucky,132,2024
North Carolina,8,2024
Howard,265,2024
Wagner,297,2024
Mississippi State,25,2024
Michigan State,22,2024
St. Mary's,43,2024
Grand Canyon,52,2024
Alabama,17,2024
Charleston,104,2024
Clemson,28,2024
New Mexico,19,2024
Baylor,13,2024
Colgate,153,2024
Dayton,37,2024
Nevada,42,2024
Arizona,7,2024
Long Beach State,167,2024
Purdue,3,2024
Grambling,284,2024
Montana State,205,2024
Utah State,58,2024
TCU,31,2024
Gonzaga,23,2024
McNeese State,62,2024
Kansas,20,2024
Samford,99,2024
South Carolina,39,2024
Oregon,56,2024
Creighton,11,2024
Akron,115,2024
Texas,41,2024
Virginia,73,2024
Colorado State,32,2024
Tennessee,5,2024
St. Peter's,211,2024
Florida,1,2025
Duke,2,2025
Auburn,3,2025
Houston,4,2025
Tennessee,5,2025
Alabama,6,2025
St. Johns,7,2025
Michigan State,8,2025
Gonzaga,9,2025
Iowa State,10,2025
Maryland,11,2025
Wisconsin,12,2025
Missouri,13,2025
Texas Tech,14,2025
Kentucky,15,2025
Texas A&M,16,2025
Arizona,17,2025
Clemson,18,2025
Kansas,19,2025
Purdue,20,2025
Marquette,21,2025
St. Mary’s,22,2025
Mississippi,23,2025
Michigan,24,2025
Illinois,25,2025
Connecticut,26,2025
Oregon,27,2025
Brigham Young,28,2025
Louisville,29,2025
UCLA,30,2025
Memphis,31,2025
Creighton,32,2025
New Mexico,33,2025
Mississippi State,34,2025
Baylor,35,2025
VCU,36,2025
Georgia,37,2025
Oklahoma,38,2025
Arkansas,39,2025
Xavier,40,2025
San Diego State,41,2025
North Carolina,42,2025
UC San Diego,43,2025
Ohio State,44,2025
Texas,45,2025
Boise State,46,2025
Vanderbilt,47,2025
Indiana,48,2025
Villanova,49,2025
Colorado State,50,2025
Utah State,51,2025
Nebraska,52,2025
Northwestern,53,2025
Drake,54,2025
West Virginia,55,2025
Penn State,56,2025
SMU,57,2025
Liberty,58,2025
McNeese State,59,2025
Cincinnati,60,2025
Kansas State,61,2025
Dayton,62,2025
USC,63,2025
Santa Clara,64,2025
South Carolina,65,2025
Pittsburgh,66,2025
UC Irvine,67,2025
Yale,68,2025
Rutgers,69,2025
North Texas,70,2025
San Francisco,71,2025
Iowa,72,2025
UCF,73,2025
St. Joseph’s,74,2025
Butler,75,2025
Arizona State,76,2025
Wake Forest,77,2025
Georgetown,78,2025
George Mason,79,2025
Providence,80,2025
LSU,81,2025
Nevada,82,2025
Arkansas State,83,2025
Colorado,84,2025
Minnesota,85,2025
Utah,86,2025
TCU,87,2025
Oregon State,88,2025
Grand Canyon,89,2025
UNLV,90,2025
Bradley,91,2025
High Point,92,2025
Stanford,93,2025
Georgia Tech,94,2025
Florida State,95,2025
Notre Dame,96,2025
UAB,97,2025
Akron,98,2025
Lipscomb,99,2025
Troy,100,2025
St. Bonaventure,101,2025
Saint Louis,102,2025
Wichita State,103,2025
North Carolina Wilmington,104,2025
Virginia,105,2025
Washington,106,2025
Oklahoma State,107,2025
Middle Tennessee,108,2025
North Carolina State,109,2025
California,110,2025
Northern Iowa,111,2025
Chattanooga,112,2025
George Washington,113,2025
Washington State,114,2025
Jacksonville State,115,2025
Utah Valley,116,2025
South Dakota State,117,2025
Louisiana Tech,118,2025
Syracuse,119,2025
Florida Atlantic,120,2025
Illinois State,121,2025
Samford,122,2025
DePaul,123,2025
Northern Colorado,124,2025
Loyola Chicago,125,2025
South Alabama,126,2025
New Mexico State,127,2025
St. Thomas – Minnesota,128,2025
North Dakota State,129,2025
Tulane,130,2025
Kennesaw State,131,2025
Cal State Northridge,132,2025
Duquesne,133,2025
Belmont,134,2025
Wofford,135,2025
North Alabama,136,2025
Charleston,137,2025
Furman,138,2025
Seattle,139,2025
UC Riverside,140,2025
Temple,141,2025
Murray State,142,2025
Illinois Chicago,143,2025
UTEP,144,2025
Kent State,145,2025
Towson,146,2025
East Carolina,147,2025
Cornell,148,2025
Nebraska Omaha,149,2025
Eastern Kentucky,150,2025
Wisconsin Milwaukee,151,2025
North Carolina Greensboro,152,2025
San Jose State,153,2025
East Tennessee State,154,2025
California Baptist,155,2025
Miami (OH),156,2025
Bryant,157,2025
James Madison,158,2025
Rhode Island,159,2025
Western Kentucky,160,2025
South Florida,161,2025
Norfolk State,162,2025
Robert Morris,163,2025
Davidson,164,2025
South Carolina State,165,2025
UTSA,166,2025
Virginia Tech,167,2025
Montana,168,2025
Loyola Marymount,169,2025
Nicholls,170,2025
Wyoming,171,2025
Marshall,172,2025
Central Connecticut,173,2025
UCSB,174,2025
Lamar,175,2025
Ohio,176,2025
Radford,177,2025
Winthrop,178,2025
Princeton,179,2025
Miami (FL),180,2025
Florida Gulf Coast,181,2025
Rice,182,2025
Montana State,183,2025
Cleveland State,184,2025
Texas A&M Corpus Christi,185,2025
Jacksonville,186,2025
Elon,187,2025
Merrimack,188,2025
Purdue Fort Wayne,189,2025
Appalachian State,190,2025
Drexel,191,2025
Central Michigan,192,2025
Seton Hall,193,2025
Dartmouth,194,2025
Southern Illinois,195,2025
Sam Houston State,196,2025
Valparaiso,197,2025
Cal Poly,198,2025
Indiana State,199,2025
Portland State,200,2025
Youngstown State,201,2025
Southeast Missouri State,202,2025
Massachusetts,203,2025
La Salle,204,2025
Southeastern Louisiana,205,2025
Boston College,206,2025
Texas State,207,2025
Hampton,208,2025
Longwood,209,2025
Idaho State,210,2025
Northeastern,211,2025
Oakland,212,2025
Southern,213,2025
North Carolina Asheville,214,2025
UT Rio Grande Valley,215,2025
Delaware,216,2025
Missouri State,217,2025
William & Mary,218,2025
Toledo,219,2025
SIU Edwardsville,220,2025
Maine,221,2025
Hofstra,222,2025
Quinnipiac,223,2025
Texas Arlington,224,2025
Bucknell,225,2025
Pepperdine,226,2025
Queens,227,2025
Colgate,228,2025
Missouri Kansas City,229,2025
North Florida,230,2025
Tulsa,231,2025
Massachusetts Lowell,232,2025
Arkansas Little Rock,233,2025
Northwestern State,234,2025
Evansville,235,2025
Presbyterian,236,2025
Abilene Christian,237,2025
Mount St. Mary’s,238,2025
American,239,2025
Wright State,240,2025
Fordham,241,2025
Incarnate Word,242,2025
Vermont,243,2025
Brown,244,2025
UC Davis,245,2025
Northern Kentucky,246,2025
Hawaii,247,2025
Charlotte,248,2025
Siena,249,2025
Campbell,250,2025
Manhattan,251,2025
South Dakota,252,2025
North Dakota,253,2025
Tennessee State,254,2025
Richmond,255,2025
Florida International,256,2025
Monmouth,257,2025
Harvard,258,2025
Northern Arizona,259,2025
Jackson State,260,2025
Gardner-Webb,261,2025
Georgia Southern,262,2025
Ball State,263,2025
Pacific,264,2025
Portland,265,2025
Grambling State,266,2025
Alabama State,267,2025
Bethune-Cookman,268,2025
Western Michigan,269,2025
Marist,270,2025
Eastern Washington,271,2025
Stephen F. Austin,272,2025
Navy,273,2025
CSU Bakersfield,274,2025
Eastern Michigan,275,2025
Sacred Heart,276,2025
Austin Peay,277,2025
Iona,278,2025
Albany,279,2025
Fresno State,280,2025
Mercer,281,2025
Idaho,282,2025
Tennessee Tech,283,2025
Bowling Green,284,2025
St. Peter’s,285,2025
Georgia State,286,2025
Columbia,287,2025
Tennessee-Martin,288,2025
Old Dominion,289,2025
Lafayette,290,2025
Houston Christian,291,2025
Lehigh,292,2025
San Diego,293,2025
UMBC,294,2025
Boston University,295,2025
Texas Southern,296,2025
Denver,297,2025
Howard,298,2025
Weber State,299,2025
Tarleton State,300,2025
Southern Miss,301,2025
North Carolina Central,302,2025
Pennsylvania,303,2025
Charleston Southern,304,2025
LIU Brooklyn,305,2025
Eastern Illinois,306,2025
Louisiana,307,2025
Long Beach State,308,2025
Delaware State,309,2025
Rider,310,2025
Southern Utah,311,2025
Virginia Military,312,2025
Air Force,313,2025
Florida A&M,314,2025
Holy Cross,315,2025
Loyola (MD),316,2025
Utah Tech,317,2025
Southern Indiana,318,2025
Farleigh Dickinson,319,2025
Niagara,320,2025
Stony Brook,321,2025
Morehead State,322,2025
North Carolina A&T,323,2025
Coastal Carolina,324,2025
Morgan State,325,2025
Alcorn State,326,2025
St. Francis (PA),327,2025
St. Francis (PA),327,2025
Binghamton,328,2025
IU Indy,329,2025
Lindenwood,330,2025
Army,331,2025
Stonehill,332,2025
Oral Roberts,333,2025
Fairfield,334,2025
Western Illinois,335,2025
Sacramento State,336,2025
Wagner,337,2025
East Texas A&M,338,2025
Detroit,339,2025
Louisiana Monroe,340,2025
Green Bay,341,2025
Northern Illinois,342,2025
Buffalo,343,2025
Bellarmine,344,2025
Prairie View A&M,345,2025
West Georgia,346,2025
South Carolina Upstate,347,2025
Mercyhurst,348,2025
Central Arkansas,349,2025
New Orleans,350,2025
Le Moyne,351,2025
Stetson,352,2025
NJIT,353,2025
Maryland Eastern Shore,354,2025
Cal State Fullerton,355,2025
Western Carolina,356,2025
Citadel,357,2025
Canisius,358,2025
New Hampshire,359,2025
Coppin State,360,2025
Chicago State,361,2025
Alabama A&M,362,2025
Arkansas Pine Bluff,363,2025
Mississippi Valley State,364,2025
