Year,Player,Team,Seed,Bid,Points
2023,Luke,Iowa State,6,6,0
2023,Luke,Vermont,15,1,0
2023,Luke,Kentucky,6,18,2
2023,Luke,Miami,5,10,28
2023,Luke,Baylor,3,14,2
2022,Ryan,Tennessee,3,25,2
2022,Ryan,Texas Tech,3,22,6
2022,Ryan,Indiana,12,8,1
2022,Ryan,Michigan,11,9,19
2022,Ryan,Montana State,14,2,0
2022,Ryan,San Francisco,10,3,0
2022,Ryan,Notre Dame,11,3,8
2022,Ryan,San Diego State,8,2,0
2022,Ryan,South Dakota State,13,2,0
2022,Ryan,TCU,9,2,3
2022,Ryan,UAB,12,1,0
2022,Ryan,UCLA,4,11,6
2022,Ryan,Virginia Tech,11,10,0
2022,Ben,Yale,14,2,0
2022,Ben,Kansas,1,37,42
2022,Ben,Iowa State,11,6,19
2022,Ben,Providence,4,10,6
2022,Ben,Baylor,1,30,2
2022,Ben,Delaware,15,1,0
2022,Ben,Longwood,14,2,0
2022,Ben,Rutgers,0,5,0
2022,Ben,Davidson,10,7,0
2022,JT,Wisconsin,3,18,2
2022,JT,Boise State,8,5,0
2022,JT,Creighton,9,4,3
2022,JT,Loyola Chicago,10,8,0
2022,JT,Kentucky,2,49,0
2022,JT,Marquette,9,5,0
2022,JT,CS Fullerton,15,2,0
2022,JT,Ohio State,7,9,2
2022,Justin,Purdue,3,23,6
2022,Justin,Houston,5,24,17
2022,Justin,Alabama,6,6,0
2022,Justin,Auburn,2,25,2
2022,Justin,Jacksonville State,15,1,0
2022,Justin,Saint Mary's,5,7,2
2022,Justin,Texas,6,4,2
2022,Justin,USC,7,1,0
2022,Justin,Vermont,13,1,0
2022,Stoner,Akron,13,3,0
2022,Stoner,Chattanooga,13,4,0
2022,Stoner,Murray State,7,6,2
2022,Stoner,Richmond,12,5,9
2022,Stoner,Duke,2,23,20
2022,Stoner,LSU,6,25,0
2022,Stoner,North Carolina,8,9,47
2022,Stoner,Villanova,2,19,20
2022,Stoner,Seton Hall,8,4,0
2022,Stoner,New Mexico State,12,2,9
2022,Travis,Memphis,9,9,3
2022,Travis,Arizona,1,49,6
2022,Travis,Iowa,5,20,0
2022,Travis,Arkansas,4,18,15
2022,Travis,Colgate,14,4,0
2022,Sam,Illinois,4,12,2
2022,Sam,Colorado State,6,7,0
2022,Sam,Connecticut,5,11,0
2022,Sam,Michigan State,7,6,2
2022,Sam,Gonzaga,1,59,6
2022,Sam,Miami,10,4,24
2022,Sam,St. Peter's,15,1,45
2021,Ryan,Tennessee,5,11,0
2021,Ryan,Houston,2,29,24
2021,Ryan,Colgate,14,2,0
2021,Ryan,Alabama,2,27,12
2021,Ryan,West Virginia,3,27,4
2021,Justin,Oregon,7,15,11
2021,Justin,Virginia,4,11,0
2021,Justin,Colorado,5,13,2
2021,Justin,Villanova,5,15,6
2021,Justin,Iowa,2,46,2
2021,Luke,Eastern Washington,14,4,0
2021,Luke,Wichita St.,0,6,0
2021,Luke,Purdue,4,15,0
2021,Luke,Florida,7,7,2
2021,Luke,Oklahoma St.,4,20,2
2021,Luke,Florida St.,4,26,6
2021,Luke,Oklahoma,8,5,2
2021,Luke,BYU,6,7,0
2021,Luke,Winthrop,12,10,0
2021,Nick,Creighton,5,8,6
2021,Nick,Oregon St.,12,6,31
2021,Nick,Gonzaga,1,57,30
2021,Nick,San Diego St.,6,17,0
2021,Nick,Georgia Tech,9,6,0
2021,Nick,North Texas,13,4,11
2021,Nick,Iona,15,2,0
2021,Travis,Texas Tech,6,14,2
2021,Travis,Loyola-Chicago,8,7,13
2021,Travis,Cleveland St.,15,3,0
2021,Travis,Liberty,13,5,0
2021,Travis,Missouri,9,5,0
2021,Travis,Baylor,1,57,42
2021,Travis,Maryland,10,9,5
2021,JT,UCLA,11,4,45
2021,JT,Georgetown,12,8,0
2021,JT,Michigan,1,62,12
2021,JT,Virginia Tech,10,11,0
2021,JT,Wisconsin,9,11,2
2021,Ben,Morehead St.,14,2,0
2021,Ben,Utah St.,11,8,0
2021,Ben,VCU,10,5,0
2021,Ben,Grand Canyon,15,1,0
2021,Ben,Drake,11,4,1
2021,Ben,Illinois,1,45,2
2021,Ben,Arkansas,3,23,12
2021,Ben,Syracuse,11,6,19
2021,Ben,Abilene Christian,14,6,13
2021,Stoner,Texas,3,30,0
2021,Stoner,USC,6,19,15
2021,Stoner,North Carolina,8,10,0
2021,Stoner,St. Bonaventure,9,6,0
2021,Stoner,Connecticut,7,15,0
2021,Stoner,Clemson,7,6,0
2021,Stoner,Ohio,13,13,11
2021,Sam,NC Greensboro,13,2,0
2021,Sam,Ohio St.,2,33,2
2021,Sam,UC Santa Barbara,12,10,0
2021,Sam,Rutgers,10,10,5
2021,Sam,Michigan St.,0,8,0
2021,Sam,LSU,8,11,2
2021,Sam,Kansas,3,21,2
2021,Sam,Oral Roberts,15,5,27
2019,Ryan,Texas Tech,3,14,34
2019,Ryan,Arizona State,11,5,1
2019,Ryan,Wofford,7,7,2
2019,Ryan,Northeastern,13,5,0
2019,Ryan,Ohio State,11,7,7
2019,Ryan,Saint Mary's,11,5,0
2019,Ryan,Oregon,12,7,13
2019,Ryan,Yale,14,2,0
2019,Ryan,Nevada,7,5,0
2019,Ryan,Colgate,15,1,0
2019,Ryan,Michigan State,2,22,21
2019,Ryan,Northern Kentucky,14,1,0
2019,Ryan,Marquette,5,12,0
2019,Ben,Georgia State,14,3,0
2019,Ben,Montana,15,2,0
2019,Ben,Old Dominion,14,3,0
2019,Ben,Belmont,11,9,1
2019,Ben,Bradley,15,1,0
2019,Ben,Murray State,12,9,9
2019,Ben,Kansas State,4,9,0
2019,Ben,Gonzaga,1,38,12
2019,Ben,New Mexico State,12,5,0
2019,Ben,Abilene Christian,15,1,0
2019,Ben,LSU,3,19,6
2019,Justin,Duke,1,52,12
2019,Justin,Utah State,8,5,0
2019,Justin,Louisville,7,7,0
2019,Justin,Syracuse,8,7,0
2019,Justin,Purdue,3,14,13
2019,Justin,Maryland,6,15,2
2019,Travis,Auburn,5,12,28
2019,Travis,Saint Louis,13,4,0
2019,Travis,Iowa State,6,11,0
2019,Travis,Oklahoma,9,5,3
2019,Travis,UC Irvine,13,8,11
2019,Travis,Michigan,2,13,6
2019,Travis,Tennessee,2,12,6
2019,Sam,Mississippi,8,6,0
2019,Sam,UCF,9,5,3
2019,Sam,Baylor,9,5,3
2019,Sam,St. John's,0,3,0
2019,Sam,Florida,10,8,5
2019,Sam,Kansas,4,10,2
2019,Sam,Florida State,4,13,6
2019,Sam,Virginia Tech,4,7,6
2019,Sam,Kentucky,2,30,12
2019,Sam,Seton Hall,10,13,0
2019,Nick,Houston,3,17,6
2019,Nick,Liberty,12,5,9
2019,Nick,Villanova,6,13,2
2019,Nick,Buffalo,6,12,2
2019,Nick,North Carolina,1,47,6
2019,Nick,Cincinnati,7,6,0
2019,Luke,Minnesota,10,5,5
2019,Luke,Mississippi State,5,8,0
2019,Luke,Wisconsin,5,11,0
2019,Luke,VCU,8,6,0
2019,Luke,Vermont,13,3,0
2019,Luke,Iowa,10,4,5
2019,Luke,Washington,9,4,3
2019,Luke,Virginia,1,47,42
2018,Ryan,SF Austin,14,6,0
2018,Ryan,Rhode Island,7,8,2
2018,Ryan,Texas,10,11,0
2018,Ryan,North Carolina,2,40,2
2018,Ryan,San Diego St.,11,10,0
2018,Ryan,Alabama,9,13,2
2018,Ryan,Arizona St.,0,12,0
2018,Ben,Wright St.,14,3,0
2018,Ben,Charleston,13,6,0
2018,Ben,Iona,15,2,0
2018,Ben,Murray St.,12,7,0
2018,Ben,Xavier,1,39,2
2018,Ben,Villanova,1,39,42
2018,Justin,Auburn,4,18,2
2018,Justin,Montana,14,4,0
2018,Justin,Gonzaga,4,39,6
2018,Justin,Purdue,2,26,6
2018,Justin,St. Bonaventure,11,13,10
2018,Stoner,Loyola-Chicago,11,16,37
2018,Stoner,Kansas St.,9,7,15
2018,Stoner,Georgia St.,15,3,0
2018,Stoner,Kentucky,5,34,6
2018,Stoner,Marshall,13,6,11
2018,Stoner,Nevada,7,9,11
2018,Stoner,South Dakota St.,12,8,0
2018,Stoner,Syracuse,11,6,20
2018,Stoner,Virginia Tech,8,11,0
2018,Joel,Creighton,8,7,0
2018,Joel,Cal St. Fullerton,15,2,0
2018,Joel,Buffalo,13,6,11
2018,Joel,Texas A&M,7,11,11
2018,Joel,Florida St.,9,9,26
2018,Joel,Texas Tech,3,27,13
2018,Joel,Duke,2,26,12
2018,Joel,Bucknell,14,4,0
2018,Travis,Virginia,1,51,0
2018,Travis,Florida,6,17,2
2018,Travis,Providence,10,11,0
2018,Travis,North Carolina St.,0,9,0
2018,Travis,Oklahoma,10,12,0
2018,Sam,Tennessee,3,23,2
2018,Sam,Miami,6,10,0
2018,Sam,Michigan St.,3,42,2
2018,Sam,Clemson,5,8,7
2018,Sam,Arkansas,7,17,0
2018,JT,West Virginia,5,14,6
2018,JT,Houston,6,19,2
2018,JT,Missouri,8,13,0
2018,JT,Cincinnati,2,39,2
2018,JT,UNC Greensboro,13,3,0
2018,JT,TCU,6,8,0
2018,Nick,Lipscomb,15,1,0
2018,Nick,New Mexico St.,12,11,0
2018,Nick,Wichita St.,4,26,0
2018,Nick,Kansas,1,45,20
2018,Nick,Butler,10,13,5
2018,Luke,Michigan,3,29,30
2018,Luke,Seton Hall,8,11,2
2018,Luke,Arizona,4,35,0
2018,Luke,Ohio St.,5,18,2
2018,Luke,Davidson,12,7,0
2017,Ryan,Creighton,6,5,0
2017,Ryan,Marquette,10,7,0
2017,Ryan,Virginia,5,13,2
2017,Ryan,Oklahoma St.,10,7,0
2017,Ryan,Xavier,11,8,34
2017,Ryan,Kansas St.,11,6,1
2017,Ryan,SMU,6,16,0
2017,Ryan,Baylor,3,14,6
2017,Ryan,St. Mary's,7,13,2
2017,Ryan,Wisconsin,8,9,13
2017,Justin,Butler,4,14,6
2017,Justin,Purdue,4,10,6
2017,Justin,Florida,4,9,12
2017,Justin,Troy,15,1,0
2017,Justin,North Dakota,15,1,0
2017,Justin,Princeton,12,3,0
2017,Justin,South Carolina,7,4,32
2017,Justin,Seton Hall,9,4,0
2017,Justin,UCLA,3,21,6
2017,Justin,Middle Tennessee St.,0,12,9
2017,Justin,Wichita St.,10,18,7
2017,Nick,Gonzaga,1,46,30
2017,Nick,Cincinnati,6,7,2
2017,Nick,Kansas,1,43,12
2017,Travis,Minnesota,5,5,0
2017,Travis,USC,11,5,8
2017,Travis,NC Wilmington,12,5,0
2017,Travis,Louisville,2,40,2
2017,Travis,Northwestern,8,3,2
2017,Travis,West Virginia,4,22,6
2017,Travis,Winthrop,13,12,0
2017,Stoner,Iowa St.,5,11,2
2017,Stoner,Wake Forest,0,3,0
2017,Stoner,Notre Dame,5,12,2
2017,Stoner,Nevada,12,4,0
2017,Stoner,Villanova,1,52,2
2017,Stoner,Rhode Island,11,15,13
2017,Luke,Vanderbilt,9,4,0
2017,Luke,Arkansas,8,4,2
2017,Luke,North Carolina,1,47,42
2017,Luke,Dayton,7,5,0
2017,Luke,Virginia Tech,9,4,0
2017,Luke,Oregon,3,18,22
2017,Luke,Miami,8,5,0
2017,Luke,Michigan,7,10,11
2017,Ben,Providence,0,3,0
2017,Ben,VCU,10,8,0
2017,Ben,Vermont,13,4,0
2017,Ben,Jacksonville St.,15,2,0
2017,Ben,Iona,14,2,0
2017,Ben,Duke,2,42,2
2017,Ben,Maryland,6,3,0
2017,Ben,Eastern Tennessee,13,3,0
2017,Ben,Kent St.,14,2,0
2017,Ben,Florida St.,3,22,2
2017,Ben,Michigan St.,9,9,37
2017,JT,Bucknell,13,6,0
2017,JT,Arizona,2,43,6
2017,JT,New Mexico St.,14,3,0
2017,JT,Florida Gulf Coast,14,5,0
2017,JT,Kentucky,2,41,12
2017,JT,Northern Kentucky,15,1,0
2016,Ryan,Syracuse,10,7,32
2016,Ryan,North Carolina,1,46,30
2016,Ryan,Notre Dame,6,3,12
2016,Ryan,Oregon St,7,3,0
2016,Ryan,Pittsburgh,10,2,0
2016,Ryan,SF Austin,14,2,13
2016,Ben,Kentucky,4,29,2
2016,Ben,Stony Brook,13,2,0
2016,Ben,South Dakota St,12,4,0
2016,Ben,CSU Bakersfield,15,1,0
2016,Ben,Iowa St,4,15,6
2016,Ben,Gonzaga,11,14,19
2016,Ben,California,4,10,0
2016,Ben,Chattanooga,12,6,0
2016,Ben,Green Bay,14,3,0
2016,Ben,Wisconsin,7,10,11
2016,Ben,Temple,10,6,0
2016,Nick,Villanova,2,31,44
2016,Nick,Oklahoma,2,39,20
2016,Nick,Seton Hall,6,8,0
2016,Nick,Purdue,5,15,0
2016,Nick,St Josephs,8,5,2
2016,Trav/J,Texas Tech,8,4,0
2016,Trav/J,Duke,4,29,6
2016,Trav/J,Michigan,11,4,1
2016,Trav/J,Virginia,1,44,12
2016,Trav/J,Utah,3,15,2
2016,Trav/J,Hawaii,13,4,11
2016,Justin,Texas AM,3,30,6
2016,Justin,Colorado,8,2,0
2016,Justin,Wichita St,11,11,8
2016,Justin,Baylor,5,9,0
2016,Justin,Tulsa,11,2,0
2016,Justin,Buffalo,14,1,0
2016,Justin,Texas,6,9,0
2016,Justin,Dayton,7,8,0
2016,Justin,Miami,3,18,6
2016,Justin,Yale,12,9,9
2016,Justin,VCU,10,5,5
2016,Stoner,West Virginia,3,27,0
2016,Stoner,Kansas,1,58,12
2016,Stoner,Iowa,7,5,2
2016,Stoner,Middle Tennessee St,15,1,15
2016,Stoner,USC,8,3,0
2016,Stoner,NC Wilmington,13,6,0
2016,Luke,Xavier,2,27,2
2016,Luke,Providence,9,5,3
2016,Luke,Cincinnati,9,7,0
2016,Luke,Butler,9,7,3
2016,Luke,Weber St,15,2,0
2016,Luke,Indiana,5,12,7
2016,Luke,Arizona,6,10,0
2016,Luke,Connecticut,9,5,3
2016,Luke,Ark LR,12,9,9
2016,Luke,Iona,13,7,0
2016,Luke,Northern Iowa,11,13,7
2016,JT,Fresno St,14,7,0
2016,JT,Oregon,1,31,12
2016,JT,Maryland,5,13,6
2016,JT,NC Ash,15,2,0
2016,JT,Michigan St,2,47,0
2015,Ryan,Kentucky,1,65,20
2015,Ryan,North Carolina,4,17,6
2015,Ryan,UAB,14,1,13
2015,Ryan,Ohio St,10,6,5
2015,Ryan,Oklahoma St,9,4,0
2015,Ryan,SF Austin,12,5,0
2015,Ryan,Texas Southern,15,2,0
2015,Ben,Iowa,7,7,2
2015,Ben,Georgia St,14,2,13
2015,Ben,Xavier,6,10,6
2015,Ben,Louisville,4,18,12
2015,Ben,Villanova,1,43,2
2015,Ben,Georgia,10,3,0
2015,Ben,Georgetown,4,8,2
2015,Ben,Belmont,15,1,0
2015,Ben,Maryland,4,8,2
2015,Nick,Utah,5,19,7
2015,Nick,Providence,6,9,0
2015,Nick,Notre Dame,3,25,12
2015,Nick,Duke,1,44,42
2015,Nick,UC Irvine,13,3,0
2015,JT,Eastern Washington,13,5,0
2015,JT,North Dakota St,15,2,0
2015,JT,Wisconsin,1,50,30
2015,JT,Albany,14,3,0
2015,JT,SMU,6,10,0
2015,JT,Virginia,2,24,2
2015,JT,Indiana,10,2,0
2015,JT,Harvard,13,3,0
2015,Justin,St Johns,9,3,0
2015,Justin,Gonzaga,2,31,12
2015,Justin,Wyoming,12,6,0
2015,Justin,Wofford,12,7,0
2015,Justin,West Virginia,5,9,7
2015,Justin,Kansas,2,20,2
2015,Justin,Cincinnati,8,3,2
2015,Justin,Northern Iowa,5,6,2
2015,Justin,Arkansas,5,7,2
2015,Justin,Valparaiso,13,2,0
2015,Justin,New Mexico St,15,2,0
2015,Justin,Mississippi,11,2,1
2015,Stoner,Arizona,2,49,12
2015,Stoner,Wichita St,7,11,11
2015,Stoner,North Carolina St,8,7,13
2015,Stoner,Texas,11,10,0
2015,Stoner,UCLA,11,6,11
2015,Stoner,Dayton,11,6,8
2015,Stoner,Buffalo,12,6,0
2015,Stoner,LSU,9,2,0
2015,Stoner,San Diego St,8,3,2
2015,Luke,Oklahoma,3,19,6
2015,Luke,Purdue,9,4,0
2015,Luke,Iowa St,3,27,0
2015,Luke,Butler,6,7,2
2015,Luke,Baylor,3,16,0
2015,Luke,Northeastern,14,1,0
2015,Luke,Michigan St,7,12,32
2015,Luke,VCU,7,4,0
2015,Luke,Davidson,10,3,0
2015,Luke,Oregon,8,7,2
2014,Ryan,Iowa,11,5,0
2014,Ryan,Ohio St,6,10,0
2014,Ryan,Wofford,15,1,0
2014,Ryan,St. Josephs,10,3,0
2014,Ryan,Arizona St,10,5,0
2014,Ryan,Oklahoma St,9,8,0
2014,Ryan,Louisville,4,30,6
2014,Ryan,American,15,1,0
2014,Ryan,Harvard,12,5,9
2014,Ryan,North Carolina,6,7,2
2014,Ryan,Duke,3,10,0
2014,Ryan,San Diego St,4,11,6
2014,Ben,Wichita St,1,30,2
2014,Ben,Manhattan,13,2,0
2014,Ben,Tulsa,13,3,0
2014,Ben,Cincinnati,5,9,0
2014,Ben,Western Michigan,14,2,0
2014,Ben,Eastern Kentucky,15,1,0
2014,Ben,Arizona,1,37,12
2014,Ben,Delaware,13,1,0
2014,Ben,BYU,10,3,0
2014,Ben,Massachusetts,6,3,0
2014,Ben,New Mexico St,13,3,0
2014,Ben,Nebraska,11,3,0
2014,Ben,NC Central,14,1,0
2014,Ben,Kansas St,9,2,0
2014,Nick,Providence,11,4,0
2014,Nick,Florida,1,47,20
2014,Nick,Oregon,7,8,2
2014,Nick,Creighton,3,16,2
2014,Nick,VCU,5,8,0
2014,Nick,Mercer,14,2,13
2014,Nick,Texas,7,5,2
2014,Nick,Memphis,8,5,2
2014,JT,New Mexico,7,7,0
2014,JT,North Carolina St,12,5,1
2014,JT,George Washington,9,4,0
2014,JT,Dayton,11,3,21
2014,JT,Virginia,1,27,6
2014,JT,North Dakota St,12,5,9
2014,JT,Michigan,2,18,12
2014,JT,Michigan St,4,31,15
2014,Justin,Pittsburgh,9,7,3
2014,Justin,Stanford,10,5,17
2014,Justin,Wisconsin,2,28,21
2014,Justin,Saint Louis,5,5,2
2014,Justin,Connecticut,7,9,60
2014,Justin,Villanova,2,18,2
2014,Justin,Oklahoma,5,7,0
2014,Justin,Kansas,2,16,2
2014,Justin,Milwaukee,15,1,0
2014,Justin,SF Austin,12,1,9
2014,Joel,Gonzaga,8,10,2
2014,Joel,Colorado,8,3,0
2014,Joel,Kentucky,8,17,53
2014,Joel,Baylor,6,10,9
2014,Joel,Tennessee,11,6,12
2014,Joel,Louisiana Laf,14,2,0
2014,Joel,Xavier,12,3,0
2014,Joel,UCLA,4,12,6
2014,Joel,Iowa St,3,19,6
2014,Joel,Syracuse,3,18,2
2013,Ryan,Arizona,6,11,6
2013,Ryan,Missouri,9,6,0
2013,Ryan,St Marys,11,5,1
2013,Ryan,Indiana,1,52,6
2013,Ryan,Boise St,13,1,0
2013,Ryan,California,12,5,9
2013,Ryan,Florida,3,13,12
2013,Kevin,Georgetown,2,35,0
2013,Kevin,Pittsburgh,8,10,0
2013,Kevin,North Carolina,8,12,2
2013,Kevin,Saint Louis,4,16,2
2013,Kevin,Oregon,12,11,21
2013,Kevin,Oklahoma,10,6,0
2013,Kevin,Oklahoma St,5,6,0
2013,Kevin,Minnesota,11,4,7
2013,Ben,Harvard,14,2,13
2013,Ben,Northwestern St,14,1,0
2013,Ben,Kansas St,4,10,0
2013,Ben,Iowa St,10,7,5
2013,Ben,La Salle,13,3,17
2013,Ben,Notre Dame,7,5,0
2013,Ben,VCU,5,12,2
2013,Ben,Middle Tennessee St,11,4,0
2013,Ben,South Dakota St,13,3,0
2013,Ben,Cincinnati,10,4,0
2013,Ben,New Mexico St,13,4,0
2013,Ben,Marquette,3,9,13
2013,Ben,Gonzaga,1,27,2
2013,Ben,Wichita St,9,3,36
2013,Ben,Creighton,7,6,2
2013,Stoner,New Mexico,3,15,0
2013,Stoner,Iona,15,2,0
2013,Stoner,UCLA,6,6,0
2013,Stoner,Duke,2,41,12
2013,Stoner,Syracuse,4,21,24
2013,Stoner,North Carolina St,8,5,0
2013,Stoner,Valparaiso,14,1,0
2013,Stoner,Colorado,10,4,0
2013,Stoner,Florida Gulf Coast,15,2,27
2013,Nick,UNLV,5,7,0
2013,Nick,Butler,6,10,2
2013,Nick,Bucknell,11,9,0
2013,Nick,Illinois,7,7,2
2013,Nick,Akron,12,5,0
2013,Nick,Wisconsin,5,17,0
2013,Nick,Kansas,1,42,6
2013,JT,Pacific,15,2,0
2013,JT,Miami,2,30,6
2013,JT,Montana,13,5,0
2013,JT,Louisville,1,48,42
2013,JT,Mississippi,12,7,9
2013,JT,Belmont,11,6,0
2013,JT,Albany,15,2,0
2013,Luke,Davidson,14,5,0
2013,Luke,Colorado St,8,4,2
2013,Luke,Temple,9,3,3
2013,Luke,Memphis,6,6,2
2013,Luke,Michigan St,3,20,6
2013,Luke,Villanova,9,2,0
2013,Luke,Ohio State,2,39,12
