Year,Region,Round,TeamA,TeamA_ID,SeedA,ScoreA,TeamB,TeamB_ID,SeedB,ScoreB,Winner,TeamA_Won,SeedDiff,IsUpset,MarginOfVictory,TotalPoints,Location
2008,West,R32,UCLA,331,1,51,Texas A&M,313,9,49,UCLA,1,8,0,2,100,"Anaheim, CA"
2008,West,R32,Western Kentucky,368,12,72,San Diego,270,13,63,Western Kentucky,1,1,0,9,135,"Tampa, FL"
2008,West,R32,Purdue,248,6,78,Xavier,379,3,85,Xavier,0,-3,0,7,163,"Washington, DC"
2008,West,R32,West Virginia,365,7,73,Duke,76,2,67,West Virginia,1,-5,1,6,140,"Washington, DC"
2008,West,S16,UCLA,331,1,88,Western Kentucky,368,12,78,UCLA,1,11,0,10,166,"Phoenix, AZ"
2008,West,S16,Xavier,379,3,79,West Virginia,365,7,75,Xavier,1,4,0,4,154,"Phoenix, AZ"
2008,West,E8,UCLA,331,1,76,Xavier,379,3,57,UCLA,1,2,0,19,133,"Phoenix, AZ"
2008,National,F4,Kansas,138,1,84,UNC,211,1,66,Kansas,1,0,0,18,150,"San Antonio, TX"
2008,National,F4,UCLA,331,1,63,Memphis,172,1,78,Memphis,0,0,0,15,141,"San Antonio, TX"
2008,National,Championship,Kansas,138,1,75,Memphis,172,1,68,Kansas,1,0,0,7,143,"San Antonio, TX"
2009,East,R64,Pitt,241,1,72,ETSU,79,16,62,Pitt,1,15,0,10,134,"Dayton, OH"
2009,East,R64,Oklahoma State,231,8,77,Tennessee,308,9,75,Oklahoma State,1,1,0,2,152,"Dayton, OH"
2009,East,R64,Florida State,96,5,59,Wisconsin,374,12,61,Wisconsin,0,7,1,2,120,"Boise, ID"
2009,East,R64,Xavier,379,4,77,Portland State,243,13,59,Xavier,1,9,0,18,136,"Boise, ID"
2009,East,R64,UCLA,331,6,65,VCU,350,11,64,UCLA,1,5,0,1,129,"Philadelphia, PA"
2009,East,R64,Villanova,355,3,80,American,9,14,67,Villanova,1,11,0,13,147,"Philadelphia, PA"
2009,East,R64,Texas,312,7,76,Minnesota,183,10,62,Texas,1,3,0,14,138,"Greensboro, NC"
2009,East,R64,Duke,76,2,86,Binghamton,25,15,62,Duke,1,13,0,24,148,"Greensboro, NC"
2009,East,R32,Pitt,241,1,84,Oklahoma State,231,8,76,Pitt,1,7,0,8,160,"Dayton, OH"
2009,East,R32,Wisconsin,374,12,49,Xavier,379,4,60,Xavier,0,-8,0,11,109,"Boise, ID"
2009,East,R32,UCLA,331,6,69,Villanova,355,3,89,Villanova,0,-3,0,20,158,"Philadelphia, PA"
2009,East,R32,Texas,312,7,69,Duke,76,2,74,Duke,0,-5,0,5,143,"Greensboro, NC"
2009,East,S16,Pitt,241,1,60,Xavier,379,4,55,Pitt,1,3,0,5,115,"Boston, MA"
2009,East,S16,Villanova,355,3,77,Duke,76,2,54,Villanova,1,-1,1,23,131,"Boston, MA"
2009,East,E8,Pitt,241,1,76,Villanova,355,3,78,Villanova,0,2,1,2,154,"Boston, MA"
2009,Midwest,R64,Louisville,159,1,74,Morehead State,192,16,54,Louisville,1,15,0,20,128,"Dayton, OH"
2009,Midwest,R64,Ohio State,229,8,72,Siena,278,9,74,Siena,0,1,1,2,146,"Dayton, OH"
2009,Midwest,R64,Utah,346,5,71,Arizona,11,12,84,Arizona,0,7,1,13,155,"Miami, FL"
2009,Midwest,R64,Wake Forest,359,4,69,Cleveland State,56,13,84,Cleveland State,0,9,1,15,153,"Miami, FL"
2009,Midwest,R64,West Virginia,365,6,60,Dayton,68,11,68,Dayton,0,5,1,8,128,"Minneapolis, MN"
2009,Midwest,R64,Kansas,138,3,84,North Dakota State,215,14,74,Kansas,1,11,0,10,158,"Minneapolis, MN"
2009,Midwest,R64,Boston College,27,7,55,USC,339,10,72,USC,0,3,1,17,127,"Minneapolis, MN"
2009,Midwest,R64,Michigan State,180,2,77,Robert Morris,257,15,62,Michigan State,1,13,0,15,139,"Minneapolis, MN"
2009,Midwest,R32,Louisville,159,1,79,Siena,278,9,72,Louisville,1,8,0,7,151,"Dayton, OH"
2009,Midwest,R32,Arizona,11,12,71,Cleveland State,56,13,57,Arizona,1,1,0,14,128,"Miami, FL"
2009,Midwest,R32,Dayton,68,11,43,Kansas,138,3,60,Kansas,0,-8,0,17,103,"Minneapolis, MN"
2009,Midwest,R32,USC,339,10,69,Michigan State,180,2,74,Michigan State,0,-8,0,5,143,"Minneapolis, MN"
2009,Midwest,S16,Louisville,159,1,103,Arizona,11,12,64,Louisville,1,11,0,39,167,"Indianapolis, IN"
2009,Midwest,S16,Kansas,138,3,62,Michigan State,180,2,67,Michigan State,0,-1,0,5,129,"Indianapolis, IN"
2009,Midwest,E8,Louisville,159,1,52,Michigan State,180,2,64,Michigan State,0,1,1,12,116,"Indianapolis, IN"
2009,South,R64,UNC,211,1,101,Radford,252,16,58,UNC,1,15,0,43,159,"Greensboro, NC"
2009,South,R64,LSU,144,8,75,Butler,35,9,71,LSU,1,1,0,4,146,"Greensboro, NC"
2009,South,R64,Illinois,125,5,72,Western Kentucky,368,12,76,Western Kentucky,0,7,1,4,148,"Portland, OR"
2009,South,R64,Gonzaga,108,4,77,Akron,3,13,64,Gonzaga,1,9,0,13,141,"Portland, OR"
2009,South,R64,Arizona State,12,6,66,Temple,307,11,57,Arizona State,1,5,0,9,123,"Miami, FL"
2009,South,R64,Syracuse,303,3,59,Stephen F. Austin,299,14,44,Syracuse,1,11,0,15,103,"Miami, FL"
2009,South,R64,Clemson,55,7,59,Michigan,179,10,62,Michigan,0,3,1,3,121,"Kansas City, MO"
2009,South,R64,Oklahoma,230,2,82,Morgan State,193,15,54,Oklahoma,1,13,0,28,136,"Kansas City, MO"
2009,South,R32,UNC,211,1,84,LSU,144,8,70,UNC,1,7,0,14,154,"Greensboro, NC"
2009,South,R32,Western Kentucky,368,12,81,Gonzaga,108,4,83,Gonzaga,0,-8,0,2,164,"Portland, OR"
2009,South,R32,Arizona State,12,6,67,Syracuse,303,3,78,Syracuse,0,-3,0,11,145,"Miami, FL"
2009,South,R32,Michigan,179,10,63,Oklahoma,230,2,73,Oklahoma,0,-8,0,10,136,"Kansas City, MO"
2009,South,S16,UNC,211,1,98,Gonzaga,108,4,77,UNC,1,3,0,21,175,"Memphis, TN"
2009,South,S16,Syracuse,303,3,71,Oklahoma,230,2,84,Oklahoma,0,-1,0,13,155,"Memphis, TN"
2009,South,E8,UNC,211,1,72,Oklahoma,230,2,60,UNC,1,1,0,12,132,"Memphis, TN"
2009,West,R64,UConn,62,1,103,Chattanooga,51,16,47,UConn,1,15,0,56,150,"Philadelphia, PA"
2009,West,R64,BYU,19,8,66,Texas A&M,313,9,79,Texas A&M,0,1,1,13,145,"Philadelphia, PA"
2009,West,R64,Purdue,248,5,61,Northern Iowa,222,12,56,Purdue,1,7,0,5,117,"Portland, OR"
2009,West,R64,Washington,360,4,71,Mississippi State,185,13,58,Washington,1,9,0,13,129,"Portland, OR"
2009,West,R64,Marquette,166,6,58,Utah State,347,11,57,Marquette,1,5,0,1,115,"Boise, ID"
2009,West,R64,Missouri,187,3,78,Cornell,64,14,59,Missouri,1,11,0,19,137,"Boise, ID"
2009,West,R64,California,41,7,71,Maryland,168,10,84,Maryland,0,3,1,13,155,"Kansas City, MO"
2009,West,R64,Memphis,172,2,81,Cal State Northridge,40,15,70,Memphis,1,13,0,11,151,"Kansas City, MO"
2009,West,R32,UConn,62,1,92,Texas A&M,313,9,66,UConn,1,8,0,26,158,"Philadelphia, PA"
2009,West,R32,Purdue,248,5,76,Washington,360,4,74,Purdue,1,-1,1,2,150,"Portland, OR"
2009,West,R32,Marquette,166,6,79,Missouri,187,3,83,Missouri,0,-3,0,4,162,"Boise, ID"
2009,West,R32,Maryland,168,10,70,Memphis,172,2,89,Memphis,0,-8,0,19,159,"Kansas City, MO"
2009,West,S16,UConn,62,1,72,Purdue,248,5,60,UConn,1,4,0,12,132,"Glendale, AZ"
2009,West,S16,Missouri,187,3,102,Memphis,172,2,91,Missouri,1,-1,1,11,193,"Glendale, AZ"
2009,West,E8,UConn,62,1,82,Missouri,187,3,75,UConn,1,2,0,7,157,"Glendale, AZ"
2009,National,F4,UNC,211,1,83,Villanova,355,3,69,UNC,1,2,0,14,152,"Detroit, MI"
2009,National,F4,UConn,62,1,73,Michigan State,180,2,82,Michigan State,0,1,1,9,155,"Detroit, MI"
2009,National,Championship,UNC,211,1,89,Michigan State,180,2,72,UNC,1,1,0,17,161,"Detroit, MI"
2010,East,R64,Kentucky,142,1,100,ETSU,79,16,71,Kentucky,1,15,0,29,171,"New Orleans, LA"
2010,East,R64,Texas,312,8,80,Wake Forest,359,9,81,Wake Forest,0,1,1,1,161,"New Orleans, LA"
2010,East,R64,Temple,307,5,65,Cornell,64,12,78,Cornell,0,7,1,13,143,"Jacksonville, FL"
2010,East,R64,Wisconsin,374,4,53,Wofford,376,13,49,Wisconsin,1,9,0,4,102,"Jacksonville, FL"
2010,East,R64,Marquette,166,6,78,Washington,360,11,80,Washington,0,5,1,2,158,"San Jose, CA"
2010,East,R64,New Mexico,204,3,62,Montana,190,14,57,New Mexico,1,11,0,5,119,"San Jose, CA"
2010,East,R64,Clemson,55,7,78,Missouri,187,10,86,Missouri,0,3,1,8,164,"Buffalo, NY"
2010,East,R64,West Virginia,365,2,77,Morgan State,193,15,50,West Virginia,1,13,0,27,127,"Buffalo, NY"
2010,East,R32,Kentucky,142,1,90,Wake Forest,359,9,60,Kentucky,1,8,0,30,150,"New Orleans, LA"
2010,East,R32,Cornell,64,12,87,Wisconsin,374,4,69,Cornell,1,-8,1,18,156,"Jacksonville, FL"
2010,East,R32,Washington,360,11,82,New Mexico,204,3,64,Washington,1,-8,1,18,146,"San Jose, CA"
2010,East,R32,Missouri,187,10,59,West Virginia,365,2,68,West Virginia,0,-8,0,9,127,"Buffalo, NY"
2010,East,S16,Kentucky,142,1,62,Cornell,64,12,45,Kentucky,1,11,0,17,107,"Syracuse, NY"
2010,East,S16,Washington,360,11,56,West Virginia,365,2,69,West Virginia,0,-9,0,13,125,"Syracuse, NY"
2010,East,E8,Kentucky,142,1,66,West Virginia,365,2,73,West Virginia,0,1,1,7,139,"Syracuse, NY"
2010,Midwest,R64,Kansas,138,1,90,Lehigh,149,16,74,Kansas,1,15,0,16,164,"Oklahoma City, OK"
2010,Midwest,R64,UNLV,338,8,66,Northern Iowa,222,9,69,Northern Iowa,0,1,1,3,135,"Oklahoma City, OK"
2010,Midwest,R64,Michigan State,180,5,70,New Mexico State,205,12,67,Michigan State,1,7,0,3,137,"Spokane, WA"
2010,Midwest,R64,Maryland,168,4,89,Houston,119,13,77,Maryland,1,9,0,12,166,"Spokane, WA"
2010,Midwest,R64,Tennessee,308,6,62,San Diego State,271,11,59,Tennessee,1,5,0,3,121,"Providence, RI"
2010,Midwest,R64,Georgetown,103,3,83,Ohio,228,14,97,Ohio,0,11,1,14,180,"Providence, RI"
2010,Midwest,R64,Oklahoma State,231,7,59,Georgia Tech,107,10,64,Georgia Tech,0,3,1,5,123,"Milwaukee, WI"
2010,Midwest,R64,Ohio State,229,2,68,UCSB,329,15,51,Ohio State,1,13,0,17,119,"Milwaukee, WI"
2010,Midwest,R32,Kansas,138,1,67,Northern Iowa,222,9,69,Northern Iowa,0,8,1,2,136,"Oklahoma City, OK"
2010,Midwest,R32,Michigan State,180,5,85,Maryland,168,4,83,Michigan State,1,-1,1,2,168,"Spokane, WA"
2010,Midwest,R32,Tennessee,308,6,83,Ohio,228,14,68,Tennessee,1,8,0,15,151,"Providence, RI"
2010,Midwest,R32,Georgia Tech,107,10,66,Ohio State,229,2,75,Ohio State,0,-8,0,9,141,"Milwaukee, WI"
2010,Midwest,S16,Northern Iowa,222,9,52,Michigan State,180,5,59,Michigan State,0,-4,0,7,111,"St. Louis, MO"
2010,Midwest,S16,Tennessee,308,6,76,Ohio State,229,2,73,Tennessee,1,-4,1,3,149,"St. Louis, MO"
2010,Midwest,E8,Michigan State,180,5,70,Tennessee,308,6,69,Michigan State,1,1,0,1,139,"St. Louis, MO"
2010,South,R64,Duke,76,1,73,Arkansas-Pine Bluff,14,16,44,Duke,1,15,0,29,117,"Jacksonville, FL"
2010,South,R64,California,41,8,77,Louisville,159,9,62,California,1,1,0,15,139,"Jacksonville, FL"
2010,South,R64,Texas A&M,313,5,69,Utah State,347,12,53,Texas A&M,1,7,0,16,122,"Spokane, WA"
2010,South,R64,Purdue,248,4,72,Siena,278,13,64,Purdue,1,9,0,8,136,"Spokane, WA"
2010,South,R64,Notre Dame,226,6,50,Old Dominion,232,11,51,Old Dominion,0,5,1,1,101,"New Orleans, LA"
2010,South,R64,Baylor,21,3,68,Sam Houston,268,14,59,Baylor,1,11,0,9,127,"New Orleans, LA"
2010,South,R64,Richmond,255,7,71,Saint Mary's,266,10,80,Saint Mary's,0,3,1,9,151,"Providence, RI"
2010,South,R64,Villanova,355,2,73,Robert Morris,257,15,70,Villanova,1,13,0,3,143,"Providence, RI"
2010,South,R32,Duke,76,1,68,California,41,8,53,Duke,1,7,0,15,121,"Jacksonville, FL"
2010,South,R32,Texas A&M,313,5,61,Purdue,248,4,63,Purdue,0,-1,0,2,124,"Spokane, WA"
2010,South,R32,Old Dominion,232,11,68,Baylor,21,3,76,Baylor,0,-8,0,8,144,"New Orleans, LA"
2010,South,R32,Saint Mary's,266,10,75,Villanova,355,2,68,Saint Mary's,1,-8,1,7,143,"Providence, RI"
2010,South,S16,Duke,76,1,70,Purdue,248,4,57,Duke,1,3,0,13,127,"Houston, TX"
2010,South,S16,Baylor,21,3,72,Saint Mary's,266,10,49,Baylor,1,7,0,23,121,"Houston, TX"
2010,South,E8,Duke,76,1,78,Baylor,21,3,71,Duke,1,2,0,7,149,"Houston, TX"
2010,West,R64,Syracuse,303,1,79,Vermont,354,16,56,Syracuse,1,15,0,23,135,"Buffalo, NY"
2010,West,R64,Gonzaga,108,8,67,Florida State,96,9,60,Gonzaga,1,1,0,7,127,"Buffalo, NY"
2010,West,R64,Butler,35,5,77,UTEP,344,12,59,Butler,1,7,0,18,136,"San Jose, CA"
2010,West,R64,Vanderbilt,353,4,65,Murray State,195,13,66,Murray State,0,9,1,1,131,"San Jose, CA"
2010,West,R64,Xavier,379,6,65,Minnesota,183,11,54,Xavier,1,5,0,11,119,"Milwaukee, WI"
2010,West,R64,Pitt,241,3,89,Oakland,227,14,66,Pitt,1,11,0,23,155,"Milwaukee, WI"
2010,West,R64,BYU,19,7,99,Florida,91,10,92,BYU,1,3,0,7,191,"Oklahoma City, OK"
2010,West,R64,Kansas State,139,2,82,North Texas,217,15,62,Kansas State,1,13,0,20,144,"Oklahoma City, OK"
2010,West,R32,Syracuse,303,1,87,Gonzaga,108,8,65,Syracuse,1,7,0,22,152,"Buffalo, NY"
