model,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,dataset,weights
Equal Weight,0.8970588235294118,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.8782407407407407,0.2809994237962165,0.08420996022553713,long,"{'Logistic Regression': np.float64(0.25), 'Random Forest': np.float64(0.25), 'SVM': np.float64(0.25), 'Gaussian NB (Calibrated)': np.float64(0.25)}"
ROC-AUC Weighted,0.8970588235294118,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.8789351851851852,0.2815610131262423,0.08444122785788521,long,"{'Logistic Regression': np.float64(0.25323153171254437), 'Random Forest': np.float64(0.25035161744022505), 'SVM': np.float64(0.2421806978769004), 'Gaussian NB (Calibrated)': np.float64(0.2542361529703302)}"
Inverse Log-Loss Weighted,0.9068627450980392,0.631578947368421,0.5,0.5581395348837209,0.8766203703703703,0.27317127901200483,0.08022295224149949,long,"{'Logistic Regression': np.float64(0.1741585914471268), 'Random Forest': np.float64(0.2404472409492457), 'SVM': np.float64(0.3070682712546873), 'Gaussian NB (Calibrated)': np.float64(0.2783258963489403)}"
Equal Weight,0.8970588235294118,0.5882352941176471,0.4166666666666667,0.4878048780487805,0.867361111111111,0.282935272925772,0.08325730792678307,rich,"{'Logistic Regression': np.float64(0.25), 'Random Forest': np.float64(0.25), 'SVM': np.float64(0.25), 'Gaussian NB (Calibrated)': np.float64(0.25)}"
ROC-AUC Weighted,0.8921568627450981,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.8673611111111111,0.2831520797520086,0.08330970756405683,rich,"{'Logistic Regression': np.float64(0.2515374738122592), 'Random Forest': np.float64(0.2520781239440427), 'SVM': np.float64(0.24173819017368386), 'Gaussian NB (Calibrated)': np.float64(0.2546462120700142)}"
Inverse Log-Loss Weighted,0.9019607843137255,0.6428571428571429,0.375,0.47368421052631576,0.8648148148148148,0.2810887747971195,0.0821053823646583,rich,"{'Logistic Regression': np.float64(0.20741606768582077), 'Random Forest': np.float64(0.2396192360864728), 'SVM': np.float64(0.2831017199523759), 'Gaussian NB (Calibrated)': np.float64(0.26986297627533057)}"
