,pct_diff_bartTorvik_Rk,pct_diff_bartTorvik_G,pct_diff_bartTorvik_Wins_Overall,pct_diff_bartTorvik_AdjOE,pct_diff_bartTorvik_AdjDE,pct_diff_bartTorvik_Barthag,pct_diff_bartTorvik_EFG%,pct_diff_bartTorvik_EFGD%,pct_diff_bartTorvik_TOR,pct_diff_bartTorvik_TORD,pct_diff_bartTorvik_ORB,pct_diff_bartTorvik_DRB,pct_diff_bartTorvik_FTR,pct_diff_bartTorvik_FTRD,pct_diff_bartTorvik_2P%,pct_diff_bartTorvik_2P%D,pct_diff_bartTorvik_3P%,pct_diff_bartTorvik_3P%D,pct_diff_bartTorvik_3PR,pct_diff_bartTorvik_3PRD,pct_diff_bartTorvik_Adj T.,pct_diff_bartTorvik_WAB,pct_diff_kenpom_Rk,pct_diff_kenpom_NetRtg,pct_diff_kenpom_ORtg,pct_diff_kenpom_ORtg_Rank,pct_diff_kenpom_DRtg,pct_diff_kenpom_DRtg_Rank,pct_diff_kenpom_AdjT,pct_diff_kenpom_AdjT_Rank,pct_diff_kenpom_Luck,pct_diff_kenpom_Luck_Rank,pct_diff_kenpom_SOS_NetRtg,pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_kenpom_SOS_ORtg,pct_diff_kenpom_SOS_ORtg_Rank,pct_diff_kenpom_SOS_DRtg,pct_diff_kenpom_SOS_DRtg_Rank,pct_diff_kenpom_NCSOS_NetRtg,pct_diff_kenpom_NCSOS_NetRtg_Rank,pct_diff_BPI,pct_diff_BPI_Rank,pct_diff_BPI_Off,pct_diff_BPI_Def,pct_diff_masseyComposite_Rank
pct_diff_bartTorvik_Rk,1.0,0.267613500425412,0.5677025361258932,0.737351743208576,-0.6799556483300092,0.9931502690755186,0.307663902010399,-0.34114493048601974,-0.2658027093556507,-0.012625718461559469,0.25891377609642674,-0.14819464733559098,-0.050042616540888894,-0.1870747605556807,0.3127210793867304,-0.31941066029689424,0.1674102944115124,-0.18970904756125503,-0.0070012883279372985,-0.04984075226631376,0.029303082903025184,-0.019457868158699137,0.9871521469433576,0.9714682833802404,0.7316377763452913,0.8044533583570965,-0.6643468746330172,0.7546047457860753,0.0096061256823645,0.005779673722246269,-0.03653948854568312,-0.21024832843207192,0.22916889431888174,0.7994632887510025,0.7267046472311925,0.7851730684498185,-0.6997046474822225,0.744980198288012,0.03008493763613947,0.0704199846962489,0.9445630459247822,0.9704799125379326,0.20721577253023374,0.07027968458331331,0.9413772477345722
pct_diff_bartTorvik_G,0.267613500425412,1.0,0.39872042751553255,0.22945170640425197,-0.23343783657603426,0.2815078475351189,-0.034669058420205186,-0.06112959154301227,-0.10980207527569573,0.02585096097213354,0.1128706401375829,0.07059770137576231,-0.003619288102155568,-0.09358356544675946,0.016046750023807402,-0.07660927858228268,-0.08240427896531072,0.0061008787270873804,0.006592563388753978,0.010112439377917958,0.09909698314154548,-0.016807084751432513,0.2899829101787967,0.2967175236687045,0.2427088968123096,0.24827375202314803,-0.25201508877996265,0.2306173527163849,0.09345908808513206,0.09045516566077008,-0.028841638460395107,-0.0696645955795143,0.14078229075164317,0.3524708868675688,0.35258146411849767,0.3333683347945969,-0.37256372445671704,0.353807080457975,-0.0013134625373224587,-0.0022564429067371424,0.28106973196695195,0.2777574623021641,0.015175939957056147,0.04341992507667483,0.2899968958685556
pct_diff_bartTorvik_Wins_Overall,0.5677025361258932,0.39872042751553255,1.0,0.5085159156923041,-0.5046818646768895,0.5835145547508446,0.3996747856326976,-0.4289890524702653,-0.28463011987866177,0.08829120325684656,0.20361546311600964,-0.21863963470016862,0.030236709959396906,-0.245658668180129,0.4230462445857354,-0.3716949080216687,0.1948054923443183,-0.2744520530443331,0.01493842721509421,-0.12080614022073285,0.08441514623364364,-0.032362611773994285,0.5761379587051049,0.6152050711576195,0.5252964103820542,0.4889299165656771,-0.5123901136163627,0.46699691342934113,0.07187934728187799,0.04497721144579889,0.01357622126327972,0.19281417466767262,0.06529507857936596,0.23012080809812274,0.14617553245250225,0.2261107899860381,-0.1383772969894946,0.20338624911650047,0.04638086257822852,0.08882899882431027,0.6010258590946895,0.5712785048735166,0.1274360348389927,0.0097754701949887,0.595662042864226
pct_diff_bartTorvik_AdjOE,0.737351743208576,0.22945170640425197,0.5085159156923041,1.0,-0.23537651673492668,0.7579018709924884,0.6250922678967736,-0.011559706783865482,-0.4649925343966326,-0.236042678627788,0.21244086833603376,-0.09485425037544895,-0.09775204540276682,-0.32512730477889673,0.5331325514330549,-0.04435430642613788,0.46228379112474344,0.05254102453522922,0.11709184137973272,-0.07652155280466681,0.13635283563793618,0.0011894570790157942,0.738588327281353,0.7643461143483837,0.9830972876981161,0.8683276922081149,-0.22738744463377286,0.2951461800870151,0.1184209120702838,0.11340248754549179,-0.026408227604788077,-0.21436511580511006,0.19458941679599168,0.6073453912340456,0.5762957904399282,0.587171240151628,-0.6040825577723403,0.5887993615928657,0.008792617571566986,0.045230159374658345,0.7489662588729095,0.7348098738309098,0.15795242170118032,0.029530184528841746,0.7190670830767935
pct_diff_bartTorvik_AdjDE,-0.6799556483300092,-0.23343783657603426,-0.5046818646768895,-0.23537651673492668,1.0,-0.7015930883837671,0.09057107090710077,0.7224408447114059,0.005910678179831557,-0.28679865937679555,-0.26677799949197134,0.14809829879759756,-0.011130397754199299,0.003465190703729417,-0.006062467255660671,0.620984245709891,0.1673128346475747,0.49088741170015315,0.18330310666370167,0.03948016660251467,0.09607690297112594,0.051639990344082135,-0.6578077722612358,-0.6906475907313084,-0.22758927974305831,-0.28331883119596174,0.9762620756638637,-0.8515412558269951,0.11829851284881938,0.13114375936358424,-0.010273282650153865,0.15108382812247806,-0.17090446620252464,-0.5569982090607178,-0.5233927381355156,-0.5557256906197667,0.48994894170078546,-0.5206674228053657,-0.03541939309599529,-0.07906377156992672,-0.6696761054508066,-0.6499847822776227,-0.051492414846222405,-0.14431943093227748,-0.6332131230477974
pct_diff_bartTorvik_Barthag,0.9931502690755186,0.2815078475351189,0.5835145547508446,0.7579018709924884,-0.7015930883837671,1.0,0.31273973266073646,-0.3558349943324844,-0.281957056186007,-0.0029367892959134873,0.2664024743493532,-0.14533793140962917,-0.05726550800515166,-0.19132915672822476,0.3183564787742348,-0.3304714118165536,0.16971935515188452,-0.20231040722888805,-0.011340053567629354,-0.04715874806299456,0.032354054126392987,-0.021626946065981745,0.9836982649128888,0.9755336083580095,0.7514710982181586,0.808339104681616,-0.6864116866978679,0.7604067252610948,0.011228746385962173,0.00623191109682113,-0.03349904653665946,-0.21595130307989702,0.2423171019834171,0.8075213983444538,0.7383408512087709,0.7905961192485289,-0.7191278596699417,0.75917000460645,0.029392190531930946,0.06541422647443985,0.9484296774405722,0.9683433021021626,0.19248603460001035,0.08068130857086818,0.9415859006750347
pct_diff_bartTorvik_EFG%,0.307663902010399,-0.034669058420205186,0.3996747856326976,0.6250922678967736,0.09057107090710077,0.31273973266073646,1.0,0.04401785430937696,-0.20972121750112238,-0.2927974836354549,-0.23291128316122825,-0.22061201110996562,-0.17268628221073007,-0.37248250003865035,0.8605357442026421,0.02064948464021191,0.7252776129755167,0.06333416511679461,0.2893209166071366,-0.10030021249876649,0.12419363129923845,0.026773101170966457,0.31242965072631923,0.3303588462622455,0.6192246419040476,0.5016185435204781,0.09657568602378432,-0.04391374451151487,0.11961587307839301,0.12124522018055982,-0.0018936053772855154,-0.07060364606698974,0.019997571201437192,0.059063467915579336,0.03317871347700841,0.08287533505218384,0.009711013076107328,0.014016596032096186,-0.026100245181811907,0.004983982404111343,0.3344159495483313,0.3177964395758549,0.08765666536765013,-0.035972607280752696,0.29710404124742534
pct_diff_bartTorvik_EFGD%,-0.34114493048601974,-0.06112959154301227,-0.4289890524702653,-0.011559706783865482,0.7224408447114059,-0.3558349943324844,0.04401785430937696,1.0,-0.10614217757662293,-0.00382107262690197,-0.21254390429888004,0.06962375828261097,-0.06133164713833585,0.006313413947597174,-0.02912023286676181,0.8872598845049802,0.10184187976048309,0.6225741030298375,0.175539203946529,0.1493992846788975,0.12107308082557061,0.038119342363194454,-0.32221963201662157,-0.3637662053226862,-0.009044384292222927,-0.02844071947258809,0.7071756370062673,-0.5765190080526782,0.13899562815664573,0.133589779214948,-0.015496161161472673,0.09150495322845871,-0.037315073952425004,-0.14694412092974596,-0.07195894285239253,-0.12291222609577977,0.10703097092714875,-0.1642201645896429,-0.052589966252905115,-0.05490712275594168,-0.3595094384408712,-0.3264787807996324,-0.023032859994964894,-0.10100397546471664,-0.3189538552830725
pct_diff_bartTorvik_TOR,-0.2658027093556507,-0.10980207527569573,-0.28463011987866177,-0.4649925343966326,0.005910678179831557,-0.281957056186007,-0.20972121750112238,-0.10614217757662293,1.0,0.12097342535871544,0.3346471942131306,0.15100776793083273,0.36049998433987657,0.2921471622334688,-0.13127153471885805,-0.0944497471956845,-0.21549820108395845,-0.08102239736668584,-0.1956741613893583,0.1455435322731737,0.081396570789544,-0.00958958190291251,-0.27504991424516406,-0.2880080010290374,-0.47086116371597325,-0.404454792702141,-0.001820819867908434,-0.02222326633847442,0.08233095722509944,0.09287047795553989,-0.012841051060940602,0.07602322273023682,-0.10137296370667437,-0.17698962511260258,-0.1446438149830899,-0.1797150117152849,0.12842963859636053,-0.15412101341596932,-0.06016486987259183,0.009190553554886351,-0.27876383989243825,-0.2736764431896908,-0.05125834890091471,-0.012480028099064257,-0.2687438318138761
pct_diff_bartTorvik_TORD,-0.012625718461559469,0.02585096097213354,0.08829120325684656,-0.236042678627788,-0.28679865937679555,-0.0029367892959134873,-0.2927974836354549,-0.00382107262690197,0.12097342535871544,1.0,0.14140842243110502,0.41645377300628034,0.029272452351481914,0.5022123351057467,-0.2295909859060711,0.060634857894223404,-0.2549120679251034,-0.12738417424660742,-0.05550310071776202,0.1809895109132126,0.061238961719985704,-0.012441645932924208,-0.009995741059781621,-0.0021582543675294293,-0.22646548737908226,-0.1670408290335103,-0.2914655913967683,0.17604647811164148,0.05512289008561661,0.03604554914491757,0.02816769860458043,-0.005078936376063026,-0.027962945478773055,-0.07379054359345225,-0.11255766913248866,-0.08860306847407547,0.06056790642467502,-0.05400537943710646,0.003486880541879011,-0.11680318450776679,0.003006357254910858,-0.0051040495525358,-0.014800147025150163,0.05110014568103207,-0.04079172151597515
