feature_1,feature_2,correlation,abs_correlation
pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_BPI_Rank,0.7651934663194454,0.7651934663194454
pct_diff_bartTorvik_AdjOE,pct_diff_kenpom_NetRtg,0.7643461143483837,0.7643461143483837
pct_diff_bartTorvik_Barthag,pct_diff_kenpom_DRtg_Rank,0.7604067252610948,0.7604067252610948
pct_diff_bartTorvik_Barthag,pct_diff_kenpom_SOS_DRtg_Rank,0.75917000460645,0.75917000460645
pct_diff_bartTorvik_AdjOE,pct_diff_bartTorvik_Barthag,0.7579018709924884,0.7579018709924884
pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_masseyComposite_Rank,0.7567472615855322,0.7567472615855322
pct_diff_kenpom_NetRtg,pct_diff_kenpom_DRtg_Rank,0.7553193799548846,0.7553193799548846
pct_diff_kenpom_ORtg,pct_diff_BPI,0.7549178335284591,0.7549178335284591
pct_diff_bartTorvik_Rk,pct_diff_kenpom_DRtg_Rank,0.7546047457860753,0.7546047457860753
pct_diff_kenpom_SOS_ORtg_Rank,pct_diff_BPI_Rank,0.7534089424107128,0.7534089424107128
pct_diff_bartTorvik_Barthag,pct_diff_kenpom_ORtg,0.7514710982181586,0.7514710982181586
pct_diff_kenpom_Rk,pct_diff_kenpom_DRtg_Rank,0.7508513636134982,0.7508513636134982
pct_diff_bartTorvik_AdjOE,pct_diff_BPI,0.7489662588729095,0.7489662588729095
pct_diff_kenpom_Rk,pct_diff_kenpom_ORtg,0.748362814425322,0.748362814425322
pct_diff_kenpom_Rk,pct_diff_kenpom_SOS_DRtg_Rank,0.7468378907776649,0.7468378907776649
pct_diff_bartTorvik_Rk,pct_diff_kenpom_SOS_DRtg_Rank,0.744980198288012,0.744980198288012
pct_diff_kenpom_SOS_ORtg_Rank,pct_diff_masseyComposite_Rank,0.7445461431143963,0.7445461431143963
pct_diff_kenpom_NetRtg,pct_diff_kenpom_SOS_DRtg_Rank,0.7440407988561334,0.7440407988561334
pct_diff_kenpom_ORtg,pct_diff_BPI_Rank,0.7410885681611805,0.7410885681611805
pct_diff_kenpom_SOS_NetRtg_Rank,pct_diff_BPI,0.7401377073179568,0.7401377073179568
pct_diff_bartTorvik_AdjOE,pct_diff_kenpom_Rk,0.738588327281353,0.738588327281353
pct_diff_bartTorvik_Barthag,pct_diff_kenpom_SOS_ORtg,0.7383408512087709,0.7383408512087709
pct_diff_bartTorvik_Rk,pct_diff_bartTorvik_AdjOE,0.737351743208576,0.737351743208576
pct_diff_bartTorvik_AdjOE,pct_diff_BPI_Rank,0.7348098738309098,0.7348098738309098
pct_diff_bartTorvik_Rk,pct_diff_kenpom_ORtg,0.7316377763452913,0.7316377763452913
pct_diff_kenpom_Rk,pct_diff_kenpom_SOS_ORtg,0.7277460829164223,0.7277460829164223
pct_diff_kenpom_SOS_ORtg_Rank,pct_diff_BPI,0.7274123657419217,0.7274123657419217
pct_diff_bartTorvik_Rk,pct_diff_kenpom_SOS_ORtg,0.7267046472311925,0.7267046472311925
pct_diff_kenpom_DRtg_Rank,pct_diff_BPI_Rank,0.7255779220135311,0.7255779220135311
pct_diff_bartTorvik_EFG%,pct_diff_bartTorvik_3P%,0.7252776129755167,0.7252776129755167
pct_diff_kenpom_NetRtg,pct_diff_kenpom_SOS_ORtg,0.7240351994356601,0.7240351994356601
