Team,Seed,Region,P_R64,Public_R64_Pct,R64_Contrarian_Ratio,P_R32,Public_R32_Pct,R32_Contrarian_Ratio,P_S16,Public_S16_Pct,S16_Contrarian_Ratio,P_E8,Public_E8_Pct,E8_Contrarian_Ratio,P_FF,Public_FF_Pct,FF_Contrarian_Ratio,P_Championship,Public_Champion_Pct,Champion_Contrarian_Ratio,P_WIN_Championship,Public_WIN_Champion_Pct
N.C. State,9,West,1.0,1.0,0.01,0.63318,50.0,0.79,0.10978,23.0,2.1,0.0258,8.0,3.1,0.0066,2.8,4.24,0.00156,1.1,7.05,0.0002,0.3
Louisville,6,West,1.0,1.0,0.01,0.44918,59.6,1.33,0.1015,37.7,3.71,0.02714,17.7,6.52,0.00436,7.4,16.97,0.00096,3.3,34.38,0.00014,1.0
Missouri,9,East,1.0,1.0,0.01,0.35064,49.5,1.41,0.04816,22.5,4.67,0.01114,7.7,6.91,0.00218,2.6,11.93,0.00028,1.0,35.71,0.00012,0.3
UCF,8,West,1.0,1.0,0.01,0.36682,49.5,1.35,0.0499,26.5,5.31,0.01116,10.1,9.05,0.00264,3.7,14.02,0.0005,1.5,30.0,8e-05,0.4
SMU,10,South,1.0,1.0,0.01,0.30262,45.5,1.5,0.05674,18.6,3.28,0.0178,6.0,3.37,0.00304,2.0,6.58,0.0005,0.8,16.0,8e-05,0.2
Miami FL,8,Midwest,1.0,1.0,0.01,0.39576,49.8,1.26,0.05744,26.7,4.65,0.01304,10.3,7.9,0.00326,3.8,11.66,0.00068,1.5,22.06,4e-05,0.4
Clemson,8,South,1.0,1.0,0.01,0.29276,49.5,1.69,0.05312,26.5,4.99,0.01138,10.1,8.88,0.00214,3.7,17.29,0.00012,1.5,125.0,4e-05,0.4
New Mexico,11,South,1.0,1.0,0.01,0.38788,21.0,0.54,0.09208,8.0,0.87,0.01524,2.4,1.57,0.00222,0.8,3.6,0.0002,0.3,15.0,4e-05,0.1
UCLA,10,East,1.0,1.0,0.01,0.36438,47.8,1.31,0.0855,20.5,2.4,0.02068,7.2,3.48,0.00372,2.6,6.99,0.00068,1.1,16.18,4e-05,0.3
TCU,10,Midwest,1.0,1.0,0.01,0.16482,45.5,2.76,0.03414,18.6,5.45,0.00714,6.0,8.4,0.0015,2.0,13.33,0.00028,0.8,28.57,2e-05,0.2
