teamIndex,team_name,championship_odds_american,final4_odds_american,vegas_champ_prob_raw,vegas_champ_prob,vegas_final4_prob_raw,vegas_final4_prob,vegas_elite8_prob,estimated_seed,scraped_date,source
179,Michigan,500,110,0.16666666666666666,0.11510053267912278,0.47619047619047616,0.36260641075631334,0.5811000172376817,2,2026-02-09,draftkings
11,Arizona,400,-130,0.2,0.13812063921494735,0.5652173913043478,0.4303980440716241,0.5567534331568714,1,2026-02-09,draftkings
76,Duke,700,130,0.125,0.0863253995093421,0.43478260869565216,0.3310754185166339,0.5305695809561441,2,2026-02-09,draftkings
119,Houston,800,175,0.1111111111111111,0.07673368845274851,0.36363636363636365,0.27689944094118474,0.44374910407241147,2,2026-02-09,draftkings
125,Illinois,1200,250,0.07692307692307693,0.05312332277497975,0.2857142857142857,0.217563846453788,0.3812861349467901,3,2026-02-09,draftkings
133,Iowa State,1500,330,0.0625,0.04316269975467105,0.23255813953488372,0.17708685176471117,0.3103491796078524,3,2026-02-09,draftkings
62,UConn,1600,350,0.058823529411764705,0.040623717416160984,0.2222222222222222,0.1692163250196129,0.2965558827363923,3,2026-02-09,draftkings
91,Florida,1600,350,0.058823529411764705,0.040623717416160984,0.2222222222222222,0.1692163250196129,0.2965558827363923,3,2026-02-09,draftkings
138,Kansas,1900,425,0.05,0.03453015980373684,0.19047619047619047,0.14504256430252532,0.29008512860505065,4,2026-02-09,draftkings
199,Nebraska,2800,450,0.034482758620689655,0.023813903312921957,0.18181818181818182,0.13844972047059237,0.27689944094118474,4,2026-02-09,draftkings
248,Purdue,2200,500,0.043478260869565216,0.0300262259162929,0.16666666666666666,0.12691224376470966,0.25382448752941933,4,2026-02-09,draftkings
108,Gonzaga,3000,650,0.03225806451612903,0.022277522454023764,0.13333333333333333,0.10152979501176773,0.20305959002353546,4,2026-02-09,draftkings
317,Texas Tech,3000,700,0.03225806451612903,0.022277522454023764,0.125,0.09518418282353225,0.1903683656470645,5,2026-02-09,draftkings
180,Michigan State,4000,800,0.024390243902439025,0.01684398039206675,0.1111111111111111,0.08460816250980645,0.1692163250196129,5,2026-02-09,draftkings
211,North Carolina,5000,1000,0.0196078431372549,0.013541239138720327,0.09090909090909091,0.06922486023529618,0.13844972047059237,5,2026-02-09,draftkings
13,Arkansas,5000,1100,0.0196078431372549,0.013541239138720327,0.08333333333333333,0.06345612188235483,0.12691224376470966,5,2026-02-09,draftkings
353,Vanderbilt,5000,1100,0.0196078431372549,0.013541239138720327,0.08333333333333333,0.06345612188235483,0.12691224376470966,5,2026-02-09,draftkings
4,Alabama,5000,1200,0.0196078431372549,0.013541239138720327,0.07692307692307693,0.058574881737558315,0.11714976347511663,6,2026-02-09,draftkings
159,Louisville,6000,1200,0.01639344262295082,0.011321363870077652,0.07692307692307693,0.058574881737558315,0.11714976347511663,6,2026-02-09,draftkings
296,St. Johns,5500,1300,0.017857142857142856,0.012332199929906012,0.07142857142857142,0.054390961613447,0.108781923226894,6,2026-02-09,draftkings
356,Virginia,6000,1400,0.01639344262295082,0.011321363870077652,0.06666666666666667,0.050764897505883866,0.10152979501176773,6,2026-02-09,draftkings
19,BYU,6000,1400,0.01639344262295082,0.011321363870077652,0.06666666666666667,0.050764897505883866,0.10152979501176773,6,2026-02-09,draftkings
308,Tennessee,6000,1500,0.01639344262295082,0.011321363870077652,0.0625,0.047592091411766124,0.09518418282353225,6,2026-02-09,draftkings
132,Iowa,10000,2200,0.009900990099009901,0.006837655406680561,0.043478260869565216,0.03310754185166339,0.0756743813752306,7,2026-02-09,draftkings
265,Saint Louis,10000,2200,0.009900990099009901,0.006837655406680561,0.043478260869565216,0.03310754185166339,0.0756743813752306,7,2026-02-09,draftkings
142,Kentucky,10000,2200,0.009900990099009901,0.006837655406680561,0.043478260869565216,0.03310754185166339,0.0756743813752306,7,2026-02-09,draftkings
196,NC State,12000,2500,0.008264462809917356,0.005707464430369725,0.038461538461538464,0.029287440868779158,0.07028985808506998,8,2026-02-09,draftkings
331,UCLA,20000,4000,0.004975124378109453,0.003435836796391725,0.024390243902439025,0.018572523477762393,0.05571757043328718,9,2026-02-09,draftkings
17,Auburn,18000,4000,0.0055248618784530384,0.003815487271131142,0.024390243902439025,0.018572523477762393,0.05571757043328718,9,2026-02-09,draftkings
55,Clemson,18000,4000,0.0055248618784530384,0.003815487271131142,0.024390243902439025,0.018572523477762393,0.05571757043328718,9,2026-02-09,draftkings
313,Texas A&M,20000,4500,0.004975124378109453,0.003435836796391725,0.021739130434782608,0.016553770925831695,0.04966131277749508,9,2026-02-09,draftkings
104,Georgia,25000,5000,0.00398406374501992,0.002751407155676242,0.0196078431372549,0.014930852207612902,0.04479255662283871,9,2026-02-09,draftkings
129,Indiana,20000,5000,0.004975124378109453,0.003435836796391725,0.0196078431372549,0.014930852207612902,0.04479255662283871,9,2026-02-09,draftkings
374,Wisconsin,20000,5000,0.004975124378109453,0.003435836796391725,0.0196078431372549,0.014930852207612902,0.04479255662283871,9,2026-02-09,draftkings
330,UCF,20000,5000,0.004975124378109453,0.003435836796391725,0.0196078431372549,0.014930852207612902,0.04479255662283871,9,2026-02-09,draftkings
347,Utah State,20000,5000,0.004975124378109453,0.003435836796391725,0.0196078431372549,0.014930852207612902,0.04479255662283871,9,2026-02-09,draftkings
229,Ohio State,20000,5000,0.004975124378109453,0.003435836796391725,0.0196078431372549,0.014930852207612902,0.04479255662283871,9,2026-02-09,draftkings
