,Team,LRMC C Rank,Index
172,James Madison,173.0,6133.0
173,WKU,174.0,6342.0
174,Cleveland St.,175.0,
175,Cal Poly,176.0,
176,Marshall,177.0,6161.0
177,Ohio,178.0,6221.0
178,South Florida,179.0,6276.0
179,UT San Antonio,180.0,
180,Winthrop,181.0,6346.0
181,Montana St.,182.0,
182,Pepperdine,183.0,6233.0
183,Valparaiso,184.0,6326.0
184,FGCU,185.0,
185,Merrimack,186.0,6168.0
186,Montana,187.0,6181.0
187,Youngstown St.,188.0,
188,Elon,189.0,6082.0
189,Indiana St.,190.0,
190,E Kentucky,191.0,
191,PFW,192.0,
192,Fordham,193.0,6092.0
193,Central Conn,194.0,
194,Missouri St.,195.0,
195,Northeastern,196.0,6211.0
196,TAM C. Christi,197.0,
197,Radford,198.0,6243.0
198,Bucknell,199.0,6031.0
199,Lamar,200.0,6142.0
200,Jacksonville,201.0,6131.0
201,Norfolk State,202.0,6204.0
202,Princeton,203.0,6239.0
203,Richmond,204.0,6246.0
204,Wright St.,205.0,
205,Fresno St.,206.0,
206,Appalachian St.,207.0,
207,Texas St.,208.0,
208,Delaware,209.0,6067.0
209,Sam Houston St.,210.0,
210,S Carolina St.,211.0,
211,SE Missouri St.,212.0,
212,Nicholls St.,213.0,
213,Longwood,214.0,6149.0
214,Tulsa,215.0,6307.0
215,Hampton,216.0,6108.0
216,Charlotte,217.0,6045.0
217,N Kentucky,218.0,
218,Quinnipiac,219.0,6242.0
219,Hofstra,220.0,6113.0
220,Monmouth NJ,221.0,
221,Portland St.,222.0,
222,Ark Little Rock,223.0,
223,Evansville,224.0,6083.0
224,William & Mary,225.0,6345.0
225,Missouri KC,226.0,
226,C Michigan,227.0,
227,Toledo,228.0,6303.0
228,Maine,229.0,6157.0
229,Queens NC,230.0,
230,Tennessee St.,231.0,
231,Campbell,232.0,6038.0
232,Iona,233.0,6126.0
233,UT Arlington,234.0,6319.0
234,Siena,235.0,6269.0
235,Colgate,236.0,6052.0
236,SE Louisiana,237.0,6265.0
237,Idaho St.,238.0,
238,Hawaii,239.0,
239,CS Bakersfield,240.0,6061.0
240,North Dakota,241.0,6207.0
