,Team,LRMC B Rank,Index
173,WKU,174.0,6342.0
174,TAM C. Christi,175.0,
175,Ohio,176.0,6221.0
176,Radford,177.0,6243.0
177,IL Chicago,178.0,
178,PFW,179.0,
179,East Carolina,180.0,6076.0
180,Loy Marymount,181.0,
181,Bucknell,182.0,6031.0
182,Elon,183.0,6082.0
183,SE Missouri St.,184.0,
184,Jacksonville,185.0,6131.0
185,Youngstown St.,186.0,
186,UT San Antonio,187.0,
187,Quinnipiac,188.0,6242.0
188,Delaware,189.0,6067.0
189,Nicholls St.,190.0,
190,Boston College,191.0,6025.0
191,Lamar,192.0,6142.0
192,Miami FL,193.0,6169.0
193,Rice,194.0,6245.0
194,Appalachian St.,195.0,
195,San Jose St.,196.0,
196,Northeastern,197.0,6211.0
197,Maine,198.0,6157.0
198,S Illinois,199.0,
199,Hofstra,200.0,6113.0
200,Portland St.,201.0,
201,Massachusetts,202.0,6163.0
202,Valparaiso,203.0,6326.0
203,La Salle,204.0,6140.0
204,Texas St.,205.0,
205,Ark Little Rock,206.0,
206,SIUE,207.0,6270.0
207,Sam Houston St.,208.0,
208,South Florida,209.0,6276.0
209,Toledo,210.0,6303.0
210,Princeton,211.0,6239.0
211,Wright St.,212.0,
212,Hampton,213.0,6108.0
213,Longwood,214.0,6149.0
214,N Kentucky,215.0,
215,Wyoming,216.0,6350.0
216,Colgate,217.0,6052.0
217,Tennessee St.,218.0,
218,Indiana St.,219.0,
219,Queens NC,220.0,
220,Southern Univ,221.0,
221,UNC Asheville,222.0,
222,Jackson St.,223.0,
223,Missouri St.,224.0,
224,Mount St. Mary's,225.0,6185.0
225,William & Mary,226.0,6345.0
226,C Michigan,227.0,
227,Idaho St.,228.0,
228,SE Louisiana,229.0,6265.0
229,Siena,230.0,6269.0
230,Alabama St.,231.0,6006.0
231,Fordham,232.0,6092.0
232,Pepperdine,233.0,6233.0
233,American,234.0,6009.0
234,Monmouth NJ,235.0,
235,Campbell,236.0,6038.0
236,Missouri KC,237.0,
237,Bethune-Cookman,238.0,6022.0
238,Dartmouth,239.0,6064.0
239,Northwestern LA,240.0,
240,Seton Hall,241.0,6268.0
241,Vermont,242.0,6329.0
242,Iona,243.0,6126.0
243,Ga Southern,244.0,
244,Presbyterian,245.0,
245,Richmond,246.0,6246.0
246,Manhattan,247.0,6158.0
247,UT Arlington,248.0,6319.0
248,MA Lowell,249.0,
249,Navy,250.0,6188.0
250,Sacred Heart,251.0,6251.0
251,Charlotte,252.0,6045.0
252,Gardner Webb,253.0,
253,North Florida,254.0,
254,South Dakota,255.0,6274.0
255,Evansville,256.0,6083.0
256,Tulsa,257.0,6307.0
257,Abilene Chr,258.0,
258,Northern Arizona,259.0,6212.0
259,UC Davis,260.0,6309.0
260,Incarnate Word,261.0,6123.0
261,North Dakota,262.0,6207.0
262,UTRGV,263.0,6324.0
263,Grambling,264.0,6105.0
264,SUNY Albany,265.0,
265,Lafayette,266.0,6141.0
266,W Michigan,267.0,
267,Hawaii,268.0,
268,Idaho,269.0,6118.0
269,Marist,270.0,6159.0
270,TN Martin,271.0,
271,Georgia St.,272.0,
272,Brown,273.0,6029.0
273,E Washington,274.0,
274,Florida Intl,275.0,
275,E Michigan,276.0,
276,CS Bakersfield,277.0,6061.0
277,Pacific,278.0,6230.0
278,LIU Brooklyn,279.0,
279,Bowling Green,280.0,6027.0
280,Austin Peay,281.0,6018.0
281,Ball St.,282.0,
282,Fresno St.,283.0,
283,Mercer,284.0,6167.0
284,TX Southern,285.0,
285,Tennessee Tech,286.0,6294.0
286,Harvard,287.0,6110.0
287,Old Dominion,288.0,6225.0
288,Rider,289.0,6247.0
289,Weber St.,290.0,
290,Boston Univ,291.0,
291,Houston Chr,292.0,
292,San Diego,293.0,6259.0
293,St Peter's,294.0,
294,Southern Miss,295.0,6279.0
295,Portland,296.0,6235.0
296,Lehigh,297.0,6143.0
297,Denver,298.0,6069.0
298,SF Austin,299.0,
299,Charleston So,300.0,
300,Louisiana,301.0,6150.0
301,F Dickinson,302.0,
302,Howard,303.0,6117.0
303,Alcorn St.,304.0,
304,Holy Cross,305.0,6114.0
305,NC Central,306.0,6191.0
306,Utah Tech,307.0,
307,UMBC,308.0,6316.0
308,Loyola MD,309.0,
309,Saint Francis (PA),310.0,6252.0
310,Niagara,311.0,6201.0
311,Lindenwood,312.0,
312,Florida A&M,313.0,6088.0
313,NC A&T,314.0,6189.0
314,E Illinois,315.0,
315,Long Beach St.,316.0,
316,Tarleton St.,317.0,
317,Delaware St.,318.0,
318,Stonehill,319.0,
319,Stony Brook,320.0,
320,IUPUI,321.0,6129.0
321,Morehead St.,322.0,
322,Coastal Car,323.0,
323,Columbia,324.0,6056.0
324,Southern Indiana,325.0,
325,Penn,326.0,
326,VMI,327.0,6333.0
327,Air Force,328.0,6002.0
328,Army,329.0,
329,Fairfield,330.0,6084.0
330,Binghamton,331.0,
331,Southern Utah,332.0,6281.0
332,Morgan St.,333.0,
333,Detroit,334.0,
334,WI Green Bay,335.0,
335,Oral Roberts,336.0,6227.0
336,Mercyhurst,337.0,
337,CS Sacramento,338.0,
338,Cent Arkansas,339.0,
339,Bellarmine,340.0,
340,Prairie View,341.0,
341,West Georgia,342.0,
342,Wagner,343.0,6334.0
343,W Illinois,344.0,
344,Le Moyne,345.0,
345,Buffalo,346.0,6032.0
346,ULM,347.0,6314.0
347,SC Upstate,348.0,
348,Stetson,349.0,6287.0
349,NJIT,350.0,
350,N Illinois,351.0,
351,New Orleans,352.0,6200.0
352,Canisius,353.0,6039.0
353,Chicago St.,354.0,
354,CS Fullerton,355.0,6062.0
355,W Carolina,356.0,
356,Alabama A&M,357.0,6005.0
357,MD E Shore,358.0,
358,New Hampshire,359.0,6197.0
359,Coppin St.,360.0,
360,Citadel,361.0,
361,Ark Pine Bluff,362.0,
362,MS Valley St.,363.0,
