,Team,Elite 8,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_Barthag,bluePower_Seed
0,Louisville,0,2.6390573296152584,3.4011973816621555,4.789157022101107,4.490881039585964,1,0.6778812468895119,4.007333185232471,3.8022081394209395,2.766319109226186,3.265759410767051,3.6454498961866,3.5234150143864045,3.7232808808312687,3.6686767467964168,3.9889840465642745,3.8044377947482086,3.6402142821326553,3.40452517175483,3.6000482404073204,3.456316680883235,4.248495242049359,1.791759469228055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214600143126404,4.728555960173844
2,Arizona,1,2.833213344056216,3.4339872044851463,4.7535901911063645,4.473921899378137,0,0.6741682139621425,3.9627161197436642,3.765840495250065,2.833213344056216,2.995732273553991,3.6428355156125294,3.295836866004329,3.754198920234579,3.56953269648137,3.949318790171843,3.7256934272366524,3.6000482404073204,3.4781584227982836,3.3141860046725258,3.3032169733019514,4.183575695950044,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4812989689764826,6.225205992397257
4,Florida,1,2.833213344056216,3.4965075614664802,4.761318868478023,4.497584975308154,0,0.6706459152134318,3.983413001514819,3.8308129500026027,2.9338568698359038,3.131136910560194,3.6000482404073204,3.3945083935113587,3.7932394694381792,3.5145260669691587,3.9569963710708773,3.7819143200811256,3.632309102625542,3.535145354171894,3.591817741270805,3.481240089335692,4.165113633110308,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4735596875970947,6.225205992397257
6,Duke,0,2.70805020110221,3.295836866004329,4.844974178195408,4.593097604753822,0,0.6672137985334408,4.007333185232471,3.912023005428146,2.7343675094195836,2.9806186357439426,3.586292865338835,3.487375077903208,3.696351468952637,3.7184382563554808,3.9473901492654373,3.9318256327243257,3.6988297849671046,3.449987545831587,3.6888794541139363,3.2188758248682006,4.216562194946349,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.466018556475533,5.950194458522068
8,Virginia,0,2.833213344056216,3.367295829986474,4.73795129722191,4.493120682179469,0,0.6654162068216343,3.9435216724875173,3.8044377947482086,2.8791984572980396,2.9856819377004897,3.5779478934066544,3.3105430133940246,3.770459441106359,3.505557396986398,3.910021002757473,3.756538102587751,3.624340932976365,3.493472657771326,3.4210000089583352,3.5524868292083815,4.131961425793407,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4620688437863358,6.225205992397257
10,Wisconsin,1,2.772588722239781,3.295836866004329,4.811371016571989,4.580877493419047,0,0.6603656910355657,3.9908341858524357,3.8815637979434374,2.6100697927420065,2.8094026953624978,3.3638415951183864,3.3568971227655755,3.8088822465086327,3.292126286607793,3.9569963710708773,3.8543938925915096,3.6454498961866,3.563882963939251,3.696351468952637,3.269568939183719,4.178992036282385,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4509717263729616,6.092000083350472
12,Creighton,0,2.70805020110221,3.295836866004329,4.848116364598481,4.619073091157083,0,0.6597455039259149,4.09933210373314,3.8918202981106265,2.785011242238338,2.7788192719904172,3.370738174177447,3.3603753871419,3.563882963939251,3.5234150143864045,4.046553898385752,3.86702563949741,3.763522997109702,3.543853682063679,3.822098297900159,3.5779478934066544,4.198704577546343,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4496090360130895,5.950194458522068
14,Kansas,0,2.772588722239781,3.2188758248682006,4.797442073635214,4.56954300834494,1,0.6594869790673101,4.0163830207523885,3.8732821771117156,2.995732273553991,2.8507065015037334,3.6402142821326553,3.40452517175483,3.910021002757473,3.845883202923601,4.037774210733707,3.8088822465086327,3.56953269648137,3.6082115510464816,3.407841924380824,3.4688560301359703,4.238444906195857,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4490409988399109,6.092000083350472
16,Villanova,0,2.772588722239781,3.367295829986474,4.763028270603671,4.541164856012179,1,0.6571054092126798,4.007333185232471,3.8628327612373745,2.9014215940827497,3.054001181677967,3.529297384289471,3.3978584803966405,3.828641396489095,3.681351187693145,4.005513348515485,3.7932394694381792,3.6136169696133895,3.594568774642695,3.8199077165203406,3.517497837358316,4.225372824628505,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443808155022674,6.092000083350472
18,Michigan St.,1,2.6390573296152584,3.295836866004329,4.782479200958502,4.562262684976814,1,0.6562757057840406,4.0163830207523885,3.8543938925915096,2.89591193827178,2.9601050959108397,3.5409593240373143,3.3568971227655755,3.5409593240373143,3.6913763343125234,3.9721769282478934,3.8066624897703196,3.6913763343125234,3.5322256440685598,3.6054978451748854,3.6375861597263857,4.209160236650682,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4419851102573678,5.798601625629939
20,Tennessee,0,1.9459101490553132,3.044522437723423,4.763881877142913,4.549657476057832,1,0.6539384673346647,3.9180050771056933,3.8480176754522337,2.9014215940827497,2.9014215940827497,3.7062280924485496,3.353406717825807,3.744787086052232,3.529297384289471,3.9160150266976834,3.8044377947482086,3.5263605246161616,3.5553480614894135,3.4531571205928664,3.342861804649192,4.165113633110308,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4368496724933038,4.27560160479232
22,Pittsburgh,0,2.1972245773362196,3.258096538021482,4.771531723203316,4.558078578454241,1,0.6538344631744044,3.949318790171843,3.86702563949741,2.8622008809294686,3.005682604407159,3.655839600035736,3.3945083935113587,3.8501476017100584,3.6375861597263857,3.9318256327243257,3.835141961092188,3.6000482404073204,3.529297384289471,3.3250360206965914,3.5380565643793527,4.175924549214524,1.791759469228055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1715140907003811,3.936897942462782
24,Ohio St.,0,2.4849066497880004,3.258096538021482,4.703203926259457,4.493120682179469,0,0.6521689238313872,3.937690752176724,3.832979798087693,2.89591193827178,3.1354942159291497,3.4339872044851463,3.4339872044851463,3.7796338173824005,3.4242626545931514,3.9512437185814275,3.8437441646748516,3.5145260669691587,3.414442608412176,3.5322256440685598,3.487375077903208,4.194189897191817,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.432961588017237,5.4598979633004
26,Wichita St.,0,2.833213344056216,3.5263605246161616,4.757891273005756,4.548599834499697,0,0.6517521051935596,3.970291913552122,3.824284091120139,2.8449093838194073,2.970414465569701,3.594568774642695,3.292126286607793,3.877431560658527,3.6000482404073204,3.970291913552122,3.7999735016195233,3.5751506887855933,3.475067230228611,3.624340932976365,3.594568774642695,4.192680462942962,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4320457438619103,6.225205992397257
28,Iowa,0,1.9459101490553132,3.044522437723423,4.802380355275797,4.594109238628667,0,0.6513351127455053,3.9569963710708773,3.877431560658527,2.8390784635086144,2.995732273553991,3.66612246699132,3.3978584803966405,3.845883202923601,3.5779478934066544,3.9454577815143836,3.871201010907891,3.591817741270805,3.4965075614664802,3.349904087274605,3.6428355156125294,4.279440045898781,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4311295178064818,4.27560160479232
30,Syracuse,0,2.70805020110221,3.332204510175204,4.7561730595246186,4.548599834499697,0,0.6511786957374437,3.8958936234982624,3.8979240810486444,2.747270914255491,3.131136910560194,3.66612246699132,3.487375077903208,3.6838669122903918,3.624340932976365,3.8815637979434374,3.845883202923601,3.5409593240373143,3.572345637857985,3.3357695763397,3.7328963395307104,4.135166556742356,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4307858345120554,5.950194458522068
32,Michigan,1,2.772588722239781,3.258096538021482,4.820281565605037,4.612145799724517,0,0.6510744041380375,4.034240638152395,3.92395157629342,2.760009940032921,2.9069010598473755,3.3978584803966405,3.3978584803966405,3.6082115510464816,3.353406717825807,3.9908341858524357,3.9396381724611196,3.6988297849671046,3.4995332823830174,3.713572066704308,3.4995332823830174,4.1588830833596715,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4305566824466305,6.092000083350472
34,Oklahoma St.,0,2.1972245773362196,3.091042453358316,4.765586907393996,4.5591262474866845,1,0.6506049572942703,3.9852734671677386,3.8501476017100584,2.7536607123542622,3.044522437723423,3.3568971227655755,3.502549875922443,3.919991175077323,3.713572066704308,3.960813169597578,3.824284091120139,3.632309102625542,3.502549875922443,3.5610460826040513,3.5234150143864045,4.248495242049359,1.791759469228055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.165727592958723,3.936897942462782
36,UCLA,0,2.6390573296152584,3.295836866004329,4.783316371371566,4.583946549536464,0,0.6467890565817958,4.014579593753238,3.933784497209659,2.766319109226186,3.068052935133617,3.4404180948154366,3.3775875160230218,3.6888794541139363,3.6216707044204863,3.9852734671677386,3.9080149840306073,3.6913763343125234,3.572345637857985,3.349904087274605,3.756538102587751,4.268297869345539,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4211408114736284,5.798601625629939
38,Gonzaga,0,2.302585092994046,3.332204510175204,4.750135956238277,4.552823705615882,0,0.6462651946598148,4.032469158504013,3.8155121050473024,2.884800712846709,2.9338568698359038,3.456316680883235,3.417726683613366,3.728100167267218,3.6712245188752153,4.007333185232471,3.7796338173824005,3.681351187693145,3.490428515390098,3.517497837358316,3.484312288372662,4.206184043977636,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4199897691835213,5.059296557734522
40,Kentucky,1,2.302585092994046,3.2188758248682006,4.761318868478023,4.571613402459248,0,0.6420643903306291,3.9259259105971376,3.828641396489095,2.9496883350525844,2.8507065015037334,3.765840495250065,3.4307561839036995,4.00369019395397,3.6584202466292277,3.9318256327243257,3.8066624897703196,3.5115454388310208,3.487375077903208,3.367295829986474,3.414442608412176,4.212127597878484,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.410759658666854,5.059296557734522
42,Iowa St.,0,2.70805020110221,3.295836866004329,4.767289035464526,4.582924577040772,0,0.6389549514765184,4.00369019395397,3.8732821771117156,2.7343675094195836,2.8449093838194073,3.370738174177447,3.3775875160230218,3.6428355156125294,3.4688560301359703,4.018183201256536,3.8372994592322094,3.586292865338835,3.543853682063679,3.66612246699132,3.5496173867804286,4.289088639014612,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4039275231948778,5.950194458522068
44,Connecticut,1,2.3978952727983707,3.295836866004329,4.72384171570559,4.541164856012179,0,0.6386909947638866,3.9589065913269965,3.8044377947482086,2.9231615807191558,3.0204248861443626,3.4719664525503626,3.5380565643793527,3.6788291182604347,3.597312260588446,3.8918202981106265,3.7471483622379123,3.681351187693145,3.5234150143864045,3.5496173867804286,3.484312288372662,4.191168746857641,2.1972245773362196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4033475510185303,5.268714427270919
46,VCU,0,2.5649493574615367,3.295836866004329,4.689511334421843,4.508659285607248,0,0.6373701650909469,3.8877303128591016,3.8815637979434374,2.9014215940827497,3.2809112157876537,3.586292865338835,3.456316680883235,3.6027767550605247,3.7013019741124933,3.8394523125933104,3.901972669574645,3.580737295494233,3.4372078191851885,3.5524868292083815,3.4339872044851463,4.276666119016055,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4004453915986723,5.635769767837233
48,San Diego St.,0,2.6390573296152584,3.332204510175204,4.695010889987881,4.517431271680085,0,0.6351472362619566,3.86702563949741,3.8155121050473024,2.791165107812717,3.095577608523707,3.6136169696133895,3.417726683613366,3.8264651170664994,3.490428515390098,3.8372994592322094,3.7977338590260183,3.5524868292083815,3.459466289786131,3.265759410767051,3.4657359027997265,4.180522258463153,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3955611177419456,5.798601625629939
51,Cincinnati,0,2.5649493574615367,3.332204510175204,4.696837374513915,4.522874943261261,0,0.6330786540938258,3.8897773964808264,3.8199077165203406,2.91235066461494,3.1570004211501135,3.6913763343125234,3.505557396986398,3.6913763343125234,3.591817741270805,3.8691155044168695,3.784189633918261,3.5409593240373143,3.493472657771326,3.4719664525503626,3.5085558999826545,4.1666652238017265,2.1972245773362196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3910159781618892,5.635769767837233
53,North Carolina,0,2.4849066497880004,3.1780538303479458,4.724729421045731,4.552823705615882,0,0.6319098710887558,3.927896354584436,3.8607297110405954,2.89591193827178,3.0155349008501706,3.6584202466292277,3.475067230228611,3.8199077165203406,3.756538102587751,3.92395157629342,3.8543938925915096,3.543853682063679,3.475067230228611,3.0819099697950434,3.5553480614894135,4.275276264727001,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3884478994175766,5.4598979633004
55,Oklahoma,0,2.5649493574615367,3.1780538303479458,4.782479200958502,4.613138355637268,0,0.6298345743481794,3.970291913552122,3.9219733362813143,2.8213788864092133,2.928523523860541,3.505557396986398,3.4531571205928664,3.713572066704308,3.673765816303888,3.9180050771056933,3.903990833730882,3.6584202466292277,3.5553480614894135,3.632309102625542,3.586292865338835,4.28771595520264,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.383888006413916,5.635769767837233
59,New Mexico,0,2.3978952727983707,3.332204510175204,4.743191483885466,4.585987366571318,0,0.6207377650418049,3.9589065913269965,3.8264651170664994,2.8273136219290276,2.766319109226186,3.520460802488973,3.3877743613300146,3.871201010907891,3.4719664525503626,3.966511190712216,3.7471483622379123,3.5467396869528134,3.5667118201397288,3.490428515390098,3.586292865338835,4.209160236650682,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8605252634116176,3.324188695236423
61,Harvard,0,1.791759469228055,3.258096538021482,4.722063937459591,4.565389315976247,0,0.6204689550619598,3.975936331171799,3.8522730010223722,2.9231615807191558,3.109060958860994,3.5145260669691587,3.3978584803966405,3.885679030088544,3.624340932976365,3.929862923556477,3.824284091120139,3.686376323895818,3.5145260669691587,3.374168709274236,3.456316680883235,4.197201947661808,1.3862943611198906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8601526136523456,2.4839060486740205
63,Saint Louis,0,2.5649493574615367,3.258096538021482,4.667205576907544,4.51085950651685,0,0.6202538550396205,3.9259259105971376,3.8066624897703196,2.975529566236472,3.091042453358316,3.407841924380824,3.40452517175483,3.728100167267218,3.563882963939251,3.9415818076696905,3.8088822465086327,3.4965075614664802,3.40452517175483,3.5145260669691587,3.2846635654062037,4.225372824628505,1.3862943611198906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8598544217042999,3.5557748308070147
67,Baylor,0,2.4849066497880004,3.1354942159291497,4.779963476361254,4.625952725170619,0,0.6189622823705687,3.9589065913269965,3.903990833730882,2.954910279033736,2.8273136219290276,3.7400477406883357,3.5234150143864045,3.7999735016195233,3.517497837358316,3.8958936234982624,3.8416005411316,3.673765816303888,3.629660094453965,3.56953269648137,3.505557396986398,4.155753190350744,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3599991392687347,5.4598979633004
69,Memphis,0,2.302585092994046,3.1354942159291497,4.730921391293652,4.577798989191959,0,0.618100306237034,3.970291913552122,3.893859034800475,2.9856819377004897,3.0726933146901194,3.6136169696133895,3.5322256440685598,3.711130063048756,3.5467396869528134,3.983413001514819,3.9080149840306073,3.5409593240373143,3.4657359027997265,3.339321977944068,3.414442608412176,4.258445572902527,1.791759469228055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1074870766329663,4.125678644075443
71,Oregon,0,2.3978952727983707,3.1780538303479458,4.773223770984341,4.6210435351443815,0,0.6175072663512002,3.996364153861897,3.9180050771056933,2.8507065015037334,3.0106208860477417,3.520460802488973,3.490428515390098,3.7819143200811256,3.8918202981106265,3.9454577815143836,3.9259259105971376,3.6938669956249757,3.505557396986398,3.5524868292083815,3.484312288372662,4.254193263163997,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.3568021423105603,5.268714427270919
73,Texas,0,2.3978952727983707,3.1780538303479458,4.716711560720999,4.565389315976247,0,0.6167519793062318,3.879499813722586,3.8501476017100584,2.928523523860541,2.8678989020441064,3.6988297849671046,3.4339872044851463,3.8022081394209395,3.7256934272366524,3.8691155044168695,3.7819143200811256,3.5085558999826545,3.5610460826040513,3.3105430133940246,3.6082115510464816,4.247065649239764,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.355142607052412,5.268714427270919
75,Kansas St.,0,2.1972245773362196,3.044522437723423,4.692264892839025,4.543294782270004,0,0.6153477881055334,3.912023005428146,3.8372994592322094,2.970414465569701,2.9856819377004897,3.58351893845611,3.5263605246161616,3.7328963395307104,3.8394523125933104,3.899950424193877,3.8501476017100584,3.5380565643793527,3.414442608412176,3.505557396986398,3.4719664525503626,4.188138441508461,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3520572836349583,4.827795843250328
81,Saint Joseph's,0,2.0794415416798357,3.2188758248682006,4.735320870453137,4.593097604753822,0,0.6094394314864602,4.005513348515485,3.883623530906448,2.9806186357439426,2.797281334830153,3.417726683613366,3.353406717825807,3.7932394694381792,3.4531571205928664,3.970291913552122,3.8522730010223722,3.6635616461296463,3.5467396869528134,3.632309102625542,3.563882963939251,4.203198967134183,1.3862943611198906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8448624473137917,2.882718083509208
85,Stanford,0,2.0794415416798357,3.091042453358316,4.7318028369214575,4.593097604753822,0,0.6067174525615576,3.9684033388642534,3.8979240810486444,2.8791984572980396,2.8903717578961645,3.417726683613366,3.367295829986474,3.8199077165203406,3.6375861597263857,3.937690752176724,3.845883202923601,3.6402142821326553,3.597312260588446,3.4111477125153233,3.5467396869528134,4.223909766576744,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6665472491335381,2.2845000312564268
89,Arizona St.,0,2.0794415416798357,3.091042453358316,4.7086288943563215,4.56954300834494,0,0.606008522743182,3.975936331171799,3.8501476017100584,2.8507065015037334,2.89591193827178,3.2268439945173775,3.4372078191851885,3.7612001156935624,3.6375861597263857,3.910021002757473,3.828641396489095,3.6788291182604347,3.5085558999826545,3.6506582412937387,3.349904087274605,4.252771798816619,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0858215090580015,3.725859073011031
93,George Washington,0,2.1972245773362196,3.2188758248682006,4.7104306966455844,4.576770711466393,0,0.6012511658554083,3.9627161197436642,3.871201010907891,2.995732273553991,3.0252910757955354,3.5779478934066544,3.4657359027997265,3.8649313978942956,3.5409593240373143,3.9357395320454622,3.871201010907891,3.634951112088381,3.4781584227982836,3.3877743613300146,3.6109179126442243,4.225372824628505,1.0986122886681098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6605419193847794,2.413897921625164
99,Massachusetts,0,2.4849066497880004,3.2188758248682006,4.706823839714591,4.575741375297279,0,0.5993308843556605,3.9435216724875173,3.858622228701031,2.9856819377004897,2.9856819377004897,3.563882963939251,3.484312288372662,3.713572066704308,3.629660094453965,3.933784497209659,3.8543938925915096,3.5751506887855933,3.475067230228611,3.3105430133940246,3.332204510175204,4.286341384539473,1.0986122886681098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6584322745314545,2.7299489816502
102,BYU,0,2.0794415416798357,3.1354942159291497,4.746669748261791,4.619073091157083,0,0.5960303697802178,3.9512437185814275,3.912023005428146,2.791165107812717,2.8735646395797834,3.58351893845611,3.3877743613300146,3.883623530906448,3.6109179126442243,3.9219733362813143,3.8877303128591016,3.6454498961866,3.55820113047182,3.1441522786722644,3.586292865338835,4.3054155323020415,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0679430590012045,3.725859073011031
104,Providence,0,1.9459101490553132,3.1354942159291497,4.73795129722191,4.61015772749913,0,0.5959752688076717,3.893859034800475,3.910021002757473,2.9069010598473755,2.856470206220483,3.594568774642695,3.4339872044851463,3.758871825933971,3.563882963939251,3.8501476017100584,3.906004933102583,3.58351893845611,3.5234150143864045,3.487375077903208,3.391147045808654,4.189654742026425,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3094915081087763,4.27560160479232
106,Xavier,0,1.791759469228055,3.091042453358316,4.732683506287051,4.6061696863211745,0,0.5953138202111823,3.9684033388642534,3.914021008090819,2.9806186357439426,2.8903717578961645,3.55820113047182,3.3945083935113587,3.7612001156935624,3.708682081410116,3.960813169597578,3.86702563949741,3.594568774642695,3.594568774642695,3.3357695763397,3.6109179126442243,4.204692619390966,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3080381569959252,3.936897942462782
112,Nebraska,0,1.9459101490553132,2.995732273553991,4.696837374513915,4.574710978503383,0,0.5906713889707091,3.8979240810486444,3.885679030088544,2.8735646395797834,2.995732273553991,3.299533727885655,3.3978584803966405,3.7796338173824005,3.7864597824528,3.8732821771117156,3.883623530906448,3.5524868292083815,3.493472657771326,3.535145354171894,3.6027767550605247,4.209160236650682,1.3862943611198906,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8188444158049476,2.6976042668813465
116,Colorado,0,2.302585092994046,3.1780538303479458,4.6913478822291435,4.571613402459248,0,0.5887306636395173,3.901972669574645,3.9180050771056933,3.0155349008501706,2.9496883350525844,3.563882963939251,3.295836866004329,3.899950424193877,3.4531571205928664,3.906004933102583,3.8691155044168695,3.4965075614664802,3.6027767550605247,3.4404180948154366,3.6082115510464816,4.219507705176107,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.054863741401022,4.125678644075443
126,Dayton,1,1.9459101490553132,3.1780538303479458,4.73795129722191,4.6210435351443815,0,0.5850050219402422,3.9815490680767565,3.919991175077323,2.9496883350525844,3.0007198150650303,3.580737295494233,3.3877743613300146,3.744787086052232,3.7887247890836524,3.9454577815143836,3.901972669574645,3.6584202466292277,3.563882963939251,3.484312288372662,3.4995332823830174,4.1956970564823886,2.1972245773362196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2853874120722144,4.27560160479232
130,N.C. State,0,1.791759469228055,3.091042453358316,4.73795129722191,4.630837932736669,0,0.5748139935980807,3.927896354584436,3.879499813722586,2.8273136219290276,2.917770732084279,3.5751506887855933,3.616308761279101,3.6216707044204863,3.7864597824528,3.9569963710708773,3.8732821771117156,3.4436180975461075,3.4965075614664802,3.288401887516811,3.459466289786131,4.212127597878484,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2629954341304874,3.936897942462782
142,Stephen F. Austin,0,1.791759469228055,3.4011973816621555,4.716711560720999,4.6210435351443815,0,0.5603012672265161,3.977810745966149,3.9357395320454622,2.8791984572980396,3.2347491740244907,3.676300671907076,3.4111477125153233,3.716008121502189,3.979681653901961,3.975936331171799,3.9219733362813143,3.5890591188317256,3.5779478934066544,3.6054978451748854,3.292126286607793,4.1713056033582285,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.003925101173589,3.210401995568401
148,New Mexico St.,0,1.6094379124341003,3.258096538021482,4.728272383122075,4.635699391022914,0,0.5568691622673175,3.9982007016691985,3.8155121050473024,2.9856819377004897,2.8390784635086144,3.6609942506244004,3.5322256440685598,4.021773869387265,3.5467396869528134,3.9926809084456005,3.7796338173824005,3.616308761279101,3.529297384289471,3.3250360206965914,3.1780538303479458,4.220977213155467,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2235666096943814,3.5362965368969035
