,Team,Elite 8,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,bluePower,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC,bluePower_Barthag,bluePower_Seed
1457,Wichita St.,0,1.9459101490553132,3.1780538303479458,4.722953221644475,4.514150787600923,0,0.6516478733819163,3.92395157629342,3.817712325956905,2.760009940032921,3.186352633162641,3.493472657771326,3.202746442938317,3.6584202466292277,3.8372994592322094,3.927896354584436,3.756538102587751,3.5234150143864045,3.517497837358316,3.676300671907076,3.6402142821326553,4.216562194946349,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4318167231636274,4.27560160479232
1459,Duke,0,2.6390573296152584,3.1780538303479458,4.808111029984782,4.600157644164547,0,0.651439377160155,4.001863709427935,3.919991175077323,2.72785282839839,2.928523523860541,3.5553480614894135,3.56953269648137,3.7184382563554808,3.2733640101522705,3.9454577815143836,3.910021002757473,3.681351187693145,3.5524868292083815,3.716008121502189,3.4011973816621555,4.2456340097683265,2.1972245773362196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4313586101408917,5.798601625629939
1461,Texas A&M,0,2.70805020110221,3.295836866004329,4.742320024135325,4.534747721691546,0,0.6510744041380375,3.9589065913269965,3.8732821771117156,2.9014215940827497,3.086486636822455,3.58351893845611,3.4339872044851463,3.6506582412937387,3.5085558999826545,3.9454577815143836,3.8416005411316,3.58351893845611,3.5234150143864045,3.6375861597263857,3.7013019741124933,4.235554730773624,1.791759469228055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.1665687287863422,4.852174590969823
1463,Indiana,0,2.5649493574615367,3.258096538021482,4.796616650559047,4.59511985013459,0,0.6479928985528356,4.087655574071304,3.9219733362813143,3.0349529867072724,2.990719731730447,3.655839600035736,3.391147045808654,3.535145354171894,3.4111477125153233,4.044804116661965,3.906004933102583,3.7495040759303713,3.563882963939251,3.735285826928092,3.4781584227982836,4.252771798816619,1.791759469228055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1610474119745775,4.595772299322124
1465,Iowa,0,2.3978952727983707,3.091042453358316,4.762173934797756,4.562262684976814,0,0.6476789925127985,3.966511190712216,3.879499813722586,2.772588722239781,2.990719731730447,3.505557396986398,3.4781584227982836,3.5380565643793527,3.265759410767051,3.906004933102583,3.8918202981106265,3.6686767467964168,3.4657359027997265,3.586292865338835,3.681351187693145,4.2626798770413155,2.1972245773362196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4230962005734822,5.268714427270919
1467,Iowa St.,0,2.6390573296152584,3.091042453358316,4.799090878625398,4.604169685654508,0,0.6450592697528901,4.056988775678332,3.9219733362813143,2.833213344056216,2.89591193827178,3.342861804649192,3.456316680883235,3.2771447329921766,3.2268439945173775,4.055257173514054,3.912023005428146,3.6635616461296463,3.543853682063679,3.58351893845611,3.6027767550605247,4.294560608892605,2.1972245773362196,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4173400813396044,5.798601625629939
1469,Arizona,0,2.4849066497880004,3.258096538021482,4.765586907393996,4.571613402459248,1,0.644114486982634,4.00369019395397,3.856510295497887,2.9391619220655967,2.8449093838194073,3.586292865338835,3.254242968705492,3.8088822465086327,3.407841924380824,3.975936331171799,3.8394523125933104,3.6712245188752153,3.4995332823830174,3.407841924380824,3.4719664525503626,4.249922794040544,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4152641814165539,5.4598979633004
1471,Oregon,1,2.833213344056216,3.332204510175204,4.776599301615622,4.583946549536464,0,0.6438518888350678,3.975936331171799,3.912023005428146,2.8507065015037334,3.0726933146901194,3.572345637857985,3.475067230228611,3.7184382563554808,3.505557396986398,3.9740583963475986,3.8543938925915096,3.586292865338835,3.6216707044204863,3.5524868292083815,3.5496173867804286,4.249922794040544,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4146871943127586,6.225205992397257
1473,Gonzaga,0,1.9459101490553132,3.258096538021482,4.770684624465665,4.577798989191959,0,0.6434841355408446,4.030694535145645,3.8308129500026027,2.8622008809294686,2.766319109226186,3.493472657771326,3.292126286607793,3.6082115510464816,3.3775875160230218,4.018183201256536,3.8264651170664994,3.653252276470785,3.4436180975461075,3.6082115510464816,3.529297384289471,4.237000862623624,2.1972245773362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4138791577362948,4.27560160479232
1475,California,0,2.6390573296152584,3.1780538303479458,4.7318028369214575,4.543294782270004,0,0.6413274318301488,3.979681653901961,3.8066624897703196,2.917770732084279,2.714694743820879,3.5085558999826545,3.2846635654062037,3.751854253275325,3.6428355156125294,3.9512437185814275,3.735285826928092,3.634951112088381,3.586292865338835,3.5467396869528134,3.3141860046725258,4.2456340097683265,1.0986122886681098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.704570197668561,2.8993008128149693
