,PowerRank Rank,Team,Index
215,216,Delaware,6067.0
216,217,Missouri State,6179.0
217,218,William & Mary,6345.0
218,219,Toledo,6303.0
219,220,SIU Edwardsville,6270.0
220,221,Maine,6157.0
221,222,Hofstra,6113.0
222,223,Quinnipiac,6242.0
223,224,Texas Arlington,
224,225,Bucknell,6031.0
225,226,Pepperdine,6233.0
226,227,Queens,
227,228,Colgate,6052.0
228,229,Missouri Kansas City,
229,230,North Florida,
230,231,Tulsa,6307.0
231,232,Massachusetts Lowell,
232,233,Arkansas Little Rock,
233,234,Northwestern State,6218.0
234,235,Evansville,6083.0
235,236,Presbyterian,
236,237,Abilene Christian,6001.0
237,238,Mount St. Mary’s,6185.0
238,239,American,6009.0
239,240,Wright State,6349.0
240,241,Fordham,6092.0
241,242,Incarnate Word,6123.0
242,243,Vermont,6329.0
243,244,Brown,6029.0
244,245,UC Davis,6309.0
245,246,Northern Kentucky,6216.0
246,247,Hawaii,
247,248,Charlotte,6045.0
248,249,Siena,6269.0
249,250,Campbell,6038.0
250,251,Manhattan,6158.0
251,252,South Dakota,6274.0
252,253,North Dakota,6207.0
253,254,Tennessee State,6293.0
254,255,Richmond,6246.0
255,256,Florida International,
256,257,Monmouth,
257,258,Harvard,6110.0
258,259,Northern Arizona,6212.0
259,260,Jackson State,6130.0
260,261,Gardner-Webb,6096.0
261,262,Georgia Southern,6101.0
262,263,Ball State,6019.0
263,264,Pacific,6230.0
264,265,Portland,6235.0
265,266,Grambling State,6105.0
266,267,Alabama State,6006.0
267,268,Bethune-Cookman,6022.0
268,269,Western Michigan,6343.0
269,270,Marist,6159.0
270,271,Eastern Washington,6081.0
271,272,Stephen F. Austin,6286.0
272,273,Navy,6188.0
273,274,CSU Bakersfield,
274,275,Eastern Michigan,6080.0
275,276,Sacred Heart,6251.0
276,277,Austin Peay,6018.0
277,278,Iona,6126.0
278,279,Albany,
279,280,Fresno State,6094.0
280,281,Mercer,6167.0
281,282,Idaho,6118.0
282,283,Tennessee Tech,6294.0
283,284,Bowling Green,6027.0
284,285,St. Peter’s,
285,286,Georgia State,6102.0
286,287,Columbia,6056.0
287,288,Tennessee-Martin,6295.0
288,289,Old Dominion,6225.0
289,290,Lafayette,6141.0
290,291,Houston Christian,
291,292,Lehigh,6143.0
292,293,San Diego,6259.0
293,294,UMBC,6316.0
294,295,Boston University,
295,296,Texas Southern,6299.0
296,297,Denver,6069.0
297,298,Howard,6117.0
298,299,Weber State,6338.0
299,300,Tarleton State,
300,301,Southern Miss,6279.0
301,302,North Carolina Central,
302,303,Pennsylvania,6232.0
303,304,Charleston Southern,6044.0
304,305,LIU Brooklyn,
305,306,Eastern Illinois,6078.0
306,307,Louisiana,6150.0
307,308,Long Beach State,6147.0
308,309,Delaware State,6068.0
309,310,Rider,6247.0
310,311,Southern Utah,6281.0
311,312,Virginia Military,
312,313,Air Force,6002.0
313,314,Florida A&M,6088.0
314,315,Holy Cross,6114.0
315,316,Loyola (MD),
316,317,Utah Tech,
317,318,Southern Indiana,
318,319,Farleigh Dickinson,
319,320,Niagara,6201.0
320,321,Stony Brook,
321,322,Morehead State,6183.0
322,323,North Carolina A&T,
323,324,Coastal Carolina,6051.0
324,325,Morgan State,6184.0
325,326,Alcorn State,6008.0
326,327,St. Francis (PA),6252.0
327,327,St. Francis (PA),6252.0
328,328,Binghamton,
329,329,IU Indy,
330,330,Lindenwood,
331,331,Army,
332,332,Stonehill,
333,333,Oral Roberts,6227.0
334,334,Fairfield,6084.0
335,335,Western Illinois,6341.0
336,336,Sacramento State,6250.0
337,337,Wagner,6334.0
338,338,East Texas A&M,
339,339,Detroit,
340,340,Louisiana Monroe,
341,341,Green Bay,6107.0
342,342,Northern Illinois,6214.0
343,343,Buffalo,6032.0
344,344,Bellarmine,
345,345,Prairie View A&M,6237.0
346,346,West Georgia,
347,347,South Carolina Upstate,
348,348,Mercyhurst,
349,349,Central Arkansas,6040.0
350,350,New Orleans,6200.0
351,351,Le Moyne,
352,352,Stetson,6287.0
353,353,NJIT,
354,354,Maryland Eastern Shore,
355,355,Cal State Fullerton,
356,356,Western Carolina,6340.0
357,357,Citadel,
358,358,Canisius,6039.0
359,359,New Hampshire,6197.0
360,360,Coppin State,6058.0
361,361,Chicago State,6047.0
362,362,Alabama A&M,6005.0
363,363,Arkansas Pine Bluff,
364,364,Mississippi Valley State,
