,Team,KenPom Rank,Index
193,Southeastern Louisiana,194.0,
194,South Florida,195.0,6276.0
195,Texas St.,196.0,
196,Elon,197.0,6082.0
197,UNC Asheville,198.0,
198,Central Michigan,199.0,6043.0
199,Ohio,200.0,6221.0
200,Indiana St.,201.0,
201,Youngstown St.,202.0,
202,Queens,203.0,
203,Southeast Missouri,204.0,
204,Dartmouth,205.0,6064.0
205,Seton Hall,206.0,6268.0
206,Portland St.,207.0,
207,Brown,208.0,6029.0
208,Northeastern,209.0,6211.0
209,Idaho St.,210.0,
210,Longwood,211.0,6149.0
211,Valparaiso,212.0,6326.0
212,Quinnipiac,213.0,6242.0
213,Massachusetts,214.0,6163.0
214,Hampton,215.0,6108.0
215,Pepperdine,216.0,6233.0
216,SIUE,217.0,6270.0
217,Maine,218.0,6157.0
218,Abilene Christian,219.0,6001.0
219,Hofstra,220.0,6113.0
220,Campbell,221.0,6038.0
221,La Salle,222.0,6140.0
222,Wright St.,223.0,
223,Hawaii,224.0,
224,Bucknell,225.0,6031.0
225,UT Arlington,226.0,6319.0
226,Little Rock,227.0,6146.0
227,Northwestern St.,228.0,
228,Fordham,229.0,6092.0
229,William & Mary,230.0,6345.0
230,Presbyterian,231.0,
231,Delaware,232.0,6067.0
232,Southern,233.0,
233,Northern Kentucky,234.0,6216.0
234,Kansas City,235.0,
235,Manhattan,236.0,6158.0
236,American,237.0,6009.0
237,Richmond,238.0,6246.0
238,Cal St. Bakersfield,239.0,
239,Toledo,240.0,6303.0
240,South Dakota,241.0,6274.0
241,UT Rio Grande Valley,242.0,
242,Vermont,243.0,6329.0
243,UMass Lowell,244.0,6315.0
244,Missouri St.,245.0,
245,UC Davis,246.0,6309.0
246,Northern Arizona,247.0,6212.0
247,Incarnate Word,248.0,6123.0
248,Jackson St.,249.0,
249,Mount St. Mary's,250.0,6185.0
250,Georgia Southern,251.0,6101.0
251,Tennessee St.,252.0,
252,Siena,253.0,6269.0
253,FIU,254.0,
254,Harvard,255.0,6110.0
255,Fresno St.,256.0,
256,Charlotte,257.0,6045.0
257,Iona,258.0,6126.0
258,North Florida,259.0,
259,Colgate,260.0,6052.0
260,Mercer,261.0,6167.0
261,Evansville,262.0,6083.0
262,Sacred Heart,263.0,6251.0
263,Gardner Webb,264.0,
264,North Dakota,265.0,6207.0
265,Georgia St.,266.0,
266,Monmouth,267.0,
267,Tulsa,268.0,6307.0
268,Portland,269.0,6235.0
269,Albany,270.0,
270,Marist,271.0,6159.0
271,Navy,272.0,6188.0
272,Alabama State,273.0,6006.0
273,Austin Peay,274.0,6018.0
274,Ball St.,275.0,
275,Idaho,276.0,6118.0
276,Columbia,277.0,6056.0
277,Stephen F. Austin,278.0,6286.0
278,Houston Christian,279.0,
279,Texas Southern,280.0,6299.0
280,Eastern Michigan,281.0,6080.0
281,Lehigh,282.0,6143.0
282,Pacific,283.0,6230.0
283,Old Dominion,284.0,6225.0
284,LIU,285.0,
285,Tarleton St.,286.0,
286,VMI,287.0,6333.0
287,Bethune Cookman,288.0,
288,Lafayette,289.0,6141.0
289,Bowling Green,290.0,6027.0
290,Penn,291.0,
291,Tennessee Martin,292.0,
292,Western Michigan,293.0,6343.0
293,Eastern Washington,294.0,6081.0
294,Southern Utah,295.0,6281.0
295,San Diego,296.0,6259.0
296,Southern Miss,297.0,6279.0
297,Saint Peter's,298.0,6256.0
298,UMBC,299.0,6316.0
299,Weber St.,300.0,
300,Utah Tech,301.0,
301,Charleston Southern,302.0,6044.0
302,Long Beach St.,303.0,
303,Tennessee Tech,304.0,6294.0
304,Boston University,305.0,
305,Loyola MD,306.0,
306,Delaware St.,307.0,
307,Fairleigh Dickinson,308.0,6085.0
308,Denver,309.0,6069.0
309,Air Force,310.0,6002.0
310,Saint Francis,311.0,6252.0
311,Howard,312.0,6117.0
312,Rider,313.0,6247.0
313,IU Indy,314.0,
314,Eastern Illinois,315.0,6078.0
315,Louisiana,316.0,6150.0
316,Florida A&M,317.0,6088.0
317,Binghamton,318.0,
318,Grambling St.,319.0,
319,Holy Cross,320.0,6114.0
320,Niagara,321.0,6201.0
321,Stonehill,322.0,
322,North Carolina Central,323.0,
323,Army,324.0,
324,Alcorn St.,325.0,
325,Lindenwood,326.0,
326,Morehead St.,327.0,
327,Oral Roberts,328.0,6227.0
328,Coastal Carolina,329.0,6051.0
329,East Texas A&M,330.0,
330,Morgan St.,331.0,
331,Stony Brook,332.0,
332,Fairfield,333.0,6084.0
333,Green Bay,334.0,6107.0
334,North Carolina A&T,335.0,
335,Southern Indiana,336.0,
336,Detroit Mercy,337.0,6071.0
337,Western Carolina,338.0,6340.0
338,USC Upstate,339.0,6318.0
339,Buffalo,340.0,6032.0
340,Bellarmine,341.0,
341,Mercyhurst,342.0,
342,Sacramento St.,343.0,
343,Wagner,344.0,6334.0
344,Northern Illinois,345.0,6214.0
345,Central Arkansas,346.0,6040.0
346,Western Illinois,347.0,6341.0
347,West Georgia,348.0,
348,New Orleans,349.0,6200.0
349,Louisiana Monroe,350.0,
350,Cal St. Fullerton,351.0,
351,Stetson,352.0,6287.0
352,NJIT,353.0,
353,Le Moyne,354.0,
354,New Hampshire,355.0,6197.0
355,The Citadel,356.0,6302.0
356,Prairie View A&M,357.0,6237.0
357,Maryland Eastern Shore,358.0,
358,Canisius,359.0,6039.0
359,Alabama A&M,360.0,6005.0
360,Coppin St.,361.0,
361,Chicago St.,362.0,
362,Arkansas Pine Bluff,363.0,
363,Mississippi Valley St.,364.0,
