Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,LRMCB,PowerRank,tournamentOutcome,elite8_flag
2016,Xavier,379,2.0,351.40880503144655,,32,27,117.118,94.524,0.921612,51.5106,47.98,17.5125,19.487,35.729,26.343,42.936,34.4115,50.012,48.4152,36.2105,31.532,34.7192,40.4316,72.637,7.76,348.9777777777778,22.52,117.1,345.5833333333333,94.6,342.0344827586207,71.9,332.9146005509642,0.047,294.91218130311614,8.16,319.38718662952647,108.2,300.4764542936288,100.0,348.7058823529412,1.73,247.07262569832403,14.1,346.0983606557377,10.1,4.0,360.6296296296296,16,348.3680981595092,R32,0
2016,Vanderbilt,353,11.0,350.2641509433962,,32,19,114.63,92.814,0.918713,53.538,43.13,16.884,14.3343,27.425,29.4149,39.5103,34.2108,50.5104,42.712,38.822,29.23,38.1103,30.527,68.6187,-0.386,336.2666666666667,18.76,113.6,321.75,94.9,340.98850574712645,67.8,180.49586776859505,-0.106,8.24929178470255,8.6,324.4568245125348,109.2,320.6426592797784,100.6,333.4117647058823,3.68,298.92737430167597,13.6,344.9049180327869,6.0,7.6,323.55555555555554,25,338.319018404908,R68,0
2016,Wichita St.,370,11.0,349.1194968553459,,31,23,111.552,90.33,0.918714,49.6189,44.57,14.81,23.25,31.91,23.64,37.8141,45.4326,49.8127,41.88,32.9249,32.77,38.591,37.1247,66.8283,0.2848,350.1333333333333,22.53,111.3,292.5,88.7,364.0,66.0,88.24242424242425,-0.079,21.65439093484419,3.61,275.7883008356546,104.8,209.7285318559557,101.2,313.0196078431373,6.45,340.6145251396648,14.4,347.2918032786885,3.3,11.1,326.9259259259259,20,337.20245398773005,R32,0
2016,Duke,76,4.0,347.9748427672956,,33,23,121.53,98.574,0.918315,53.733,49.4141,14.34,17.7199,34.047,34.5328,40.286,25.41,50.788,48.9179,38.723,33.9131,40.162,29.014,68.8178,4.217,345.5111111111111,21.87,121.9,360.75,100.0,275.09195402298855,67.7,170.46831955922866,-0.026,109.30311614730878,11.23,354.87465181058496,112.0,361.98337950138506,100.7,329.3333333333333,3.52,294.8603351955307,15.6,352.06557377049177,12.1,3.5,346.0246913580247,12,349.4846625766871,Sweet Sixteen,0
2016,Texas A&M,313,3.0,346.8301886792453,,33,26,113.533,92.19,0.917316,51.698,46.845,17.1101,21.024,34.738,30.0188,37.615,32.273,50.788,45.452,35.3143,32.664,37.0127,39.5303,68.2214,5.412,344.35555555555555,21.26,113.8,325.0,92.5,355.632183908046,67.1,134.36914600550963,0.006,197.9830028328612,8.48,322.42896935933146,109.6,328.7091412742382,101.1,314.03921568627453,3.15,287.74301675977654,13.0,340.13114754098365,5.5,7.5,353.88888888888886,11,343.90184049079755,Sweet Sixteen,0
2016,Indiana,129,5.0,345.685534591195,,32,25,120.17,98.062,0.911717,58.62,49.5149,19.8282,18.912,37.714,28.712,33.3264,29.337,56.17,48.7163,41.56,34.3152,40.954,31.446,69.315,3.324,352.44444444444446,23.05,121.7,358.58333333333337,98.7,303.33333333333337,68.2,205.56473829201104,0.0,186.64022662889516,6.4,299.10863509749305,108.8,313.584487534626,102.4,276.3137254901961,-3.12,102.6927374301676,15.8,353.2590163934426,11.5,4.3,340.40740740740745,15,346.13496932515335,Sweet Sixteen,0
2016,Iowa,132,7.0,344.54088050314465,,31,21,116.022,94.826,0.911118,51.886,47.467,15.015,18.912,32.387,31.4258,33.4263,25.29,48.7172,48.0131,38.232,31.016,35.1177,38.7286,70.0116,2.033,338.5777777777778,20.24,116.1,338.0,95.9,333.66666666666663,68.8,233.64187327823697,-0.071,27.841359773371103,9.12,334.59610027855155,110.2,338.79224376731304,101.1,315.05882352941177,1.28,230.804469273743,12.9,336.5508196721312,7.4,5.5,357.2592592592593,19,352.83435582822085,R32,0
2016,Iowa St.,133,4.0,343.39622641509436,,32,21,120.45,98.981,0.906119,56.86,49.5149,16.041,17.1241,27.3251,30.7223,25.535,24.25,56.75,49.0182,38.039,33.6113,35.0182,35.7187,72.345,3.52,342.0444444444444,20.95,121.2,357.5,100.3,269.86206896551727,71.2,315.8677685950413,-0.062,37.12181303116147,12.05,359.9442896935933,110.2,336.7756232686981,98.1,364.0,2.54,271.4748603351955,12.8,335.35737704918034,12.3,0.5,343.77777777777777,17,347.2515337423313,Sweet Sixteen,0
2016,Arizona,11,6.0,342.251572327044,,33,25,116.421,95.737,0.90432,53.831,46.329,17.9158,16.2288,35.132,24.913,44.121,29.236,52.343,45.553,38.33,32.148,29.2308,31.242,69.1163,3.522,343.2,20.97,116.8,343.4166666666667,95.8,334.71264367816093,68.3,210.5785123966942,-0.038,84.55524079320114,6.66,301.1364902506964,107.9,297.4515235457064,101.3,309.96078431372547,-3.66,91.50837988826817,14.8,348.48524590163936,9.6,5.2,348.2716049382716,10,345.0184049079754,R64,0
2016,Oregon,234,1.0,341.1069182389937,,33,27,117.716,96.949,0.903821,52.364,49.012,16.351,20.643,34.64,31.3251,40.286,32.374,52.246,46.273,35.1154,36.4261,33.9213,33.8111,69.1163,6.79,351.2888888888889,22.68,119.1,351.0,96.4,326.3448275862069,68.1,197.54269972451792,0.041,281.5070821529745,9.06,331.5543175487465,109.0,317.61772853185596,100.0,351.7647058823529,1.04,223.68715083798884,13.0,338.93770491803275,8.3,4.7,339.28395061728395,14,350.60122699386505,Elite Eight,1
