2024,,,,
Seed,Team,Index,Projected,Actual
9,Missouri,,0,0
9,St. Bonaventure,,2.01,0
9,Wisconsin,,2.01,2
9,Georgia Tech,,0.99,0
10,VCU,,0,0
10,Maryland,,0,5
10,Virginia Tech,,1.65,0
10,Rutgers,,3.35,5
11,Wichita St,,0.34,0
11,Drake,,0.66,1
11,Michigan St,,3.38,0
11,UCLA,,0,45
11,Utah St,,0,0
11,Syracuse,,0,19
12,UC Santa Barbara,,0,0
12,Georgetown,,0,0
12,Winthrop,,2.97,0
12,Oregon St,,0,31
13,Ohio,,0,11
13,NC Greensboro,,0,0
13,North Texas,,0,11
13,Liberty,,0,0
14,Eastern Washington,,0,0
14,Abilene Christian,,0,13
14,Colgate,,8.71,0
14,Morehead St,,0,0
15,Grand Canyon,,0,0
15,Iona,,0,0
15,Oral Roberts,,0,27
15,Cleveland St,,0,0
1,Duke,,42,12
1,Gonzaga,,20,12
1,North Carolina,,12,6
1,Virginia,,30,42
2,Kentucky,,20,12
2,Michigan,,2,6
2,Michigan State,,12,21
2,Tennessee,,6,6
3,Houston,,6,6
3,LSU,,0,6
3,Purdue,,13,13
3,Texas Tech,,12,34
4,Florida State,,6,6
4,Kansas,,0,2
4,Kansas State,,0,0
4,Virginia Tech,,6,6
5,Auburn,,6,28
5,Marquette,,0,0
5,Mississippi State,,2,0
5,Wisconsin,,0,0
6,Buffalo,,0,2
6,Iowa State,,0,0
6,Maryland,,0,2
6,Villanova,,0,2
7,Cincinnati,,0,0
7,Louisville,,0,0
7,Nevada,,11,0
7,Wofford,,0,2
8,Mississippi,,0,0
8,Syracuse,,0,0
8,Utah State,,0,0
8,VCU,,0,0
9,Baylor,,3,3
9,Oklahoma,,3,3
9,UCF,,3,3
9,Washington,,2,3
10,Florida,,0,5
10,Iowa,,5,5
10,Minnesota,,5,5
10,Seton Hall,,0,0
11,Arizona State,,8,1
11,Belmont,,12,1
11,Ohio State,,7,7
11,St. John's,,7,0
11,Saint Mary's,,0,0
11,Temple,,0,
12,Liberty,,0,9
12,Murray State,,9,9
12,New Mexico State,,0,0
12,Oregon,,13,13
13,Northeastern,,0,0
13,Saint Louis,,5,0
13,UC Irvine,,11,11
13,Vermont,,0,0
14,Georgia State,,0,0
14,Northern Kentucky,,11,0
14,Old Dominion,,0,0
14,Yale,,13,0
15,Abilene Christian,,0,0
15,Bradley,,0,0
15,Colgate,,0,0
15,Montana,,0,0
1,Kansas,,14,20
1,Villanova,,33.5,42
1,Virginia,,27,0
1,Xavier,,7.5,2
2,Cincinnati,,14,2
2,Duke,,15,12
2,North Carolina,,20.75,2
2,Purdue,,12,6
3,Michigan,,5,30
3,Michigan St,,16.5,2
3,Tennessee,,6,2
3,Texas Tech,,4,13
4,Arizona,,4.5,0
4,Auburn,,4,2
4,Gonzaga,,15.25,6
4,Wichita St,,2,0
5,Clemson,,3.25,7
5,Kentucky,,5.75,6
5,Ohio St,,2,2
5,West Virginia,,7,6
6,Florida,,5.5,2
6,Houston,,3.75,2
6,Miami,,1.5,0
6,TCU,,1,0
7,Arkansas,,0.5,0
7,Nevada,,1,11
7,Rhode Island,,1,2
7,Texas AM,,2,11
8,Creighton,,1,0
8,Missouri,,1.5,0
8,Seton Hall,,2,2
8,Virginia Tech,,1,0
9,Alabama,,1.5,2
9,Florida St,,0.5,26
9,Kansas St,,1.5,15
9,North Carolina St,,0,0
10,Butler,,3.75,5
10,Oklahoma,,2.5,0
10,Providence,,0,0
10,Texas,,2.5,0
11,Arizona St,,4.25,0
11,Loyola,,1.75,37
11,San Diego St,,0,0
11,St Bonaventure,,0,1
11,Syracuse,,0.25,20
11,UCLA,,1,0
12,Davidson,,0,0
12,Murray St,,0,0
12,New Mexico St,,0,0
12,South Dakota St,,0,0
13,Buffalo,,0,11
13,Charleston,,0,0
13,Marshall,,0,11
13,UNC Greensboro,,0,0
14,Bucknell,,0,0
14,Montana,,0,0
14,SF Austin,,0,0
14,Wright St,,0,0
15,Cal St Fullerton,,0,0
15,Georgia St,,0,0
15,Iona,,0,0
15,Lipscomb,,0,0
1,Gonzaga,,22.67,30
1,Kansas,,26.67,12
1,Villanova,,27.33,2
1,North Carolina,,15.33,42
2,Louisville,,12,2
2,Duke,,10,2
2,Arizona,,8.67,6
2,Kentucky,,14.67,12
3,Baylor,,3.33,6
3,UCLA,,6,6
3,Oregon,,4.67,22
3,Florida St,,6,2
4,Butler,,6,6
4,Purdue,,4.67,6
4,Florida,,2,12
4,West Virginia,,22,6
5,Virginia,,7,2
5,Minnesota,,0,0
5,Iowa St,,3.67,2
5,Notre Dame,,2,2
6,Creighton,,3.67,0
6,SMU,,10,0
6,Cincinnati,,1.33,2
6,Maryland,,0,0
7,St Marys,,8.33,2
7,South Carolina,,0,32
7,Dayton,,0,0
7,Michigan,,0.67,11
8,Wisconsin,,2,13
8,Northwestern,,0,2
8,Arkansas,,2,2
8,Miami,,0,0
9,Seton Hall,,0,0
9,Vanderbilt,,3,0
9,Virginia Tech,,0,0
9,Michigan St,,3,3
10,Marquette,,5,0
10,Oklahoma St,,3.33,0
10,Wichita St,,13.33,5
10,VCU,,0,0
11,Xavier,,7,34
11,Kansas St,,3.33,1
11,USC,,0,8
11,Wake Forest,,0,0
11,Rhode Island,,2.33,7
11,Providence,,1,0
12,Princeton,,0,0
12,Middle Tennessee St,,9,9
12,NC Wilmington,,0,0
12,Nevada,,0,0
13,Winthrop,,0,0
13,Vermont,,0,0
13,Eastern Tennessee,,0,0
13,Bucknell,,0,0
14,Iona,,0,0
14,Kent St,,0,0
14,New Mexico St,,0,0
14,Florida Gulf Coast,,0,0
15,Troy,,0,0
15,North Dakota,,0,0
15,Jacksonville St,,0,0
15,Northern Kentucky,,0,0
1,Kansas,,30.67,12
1,Oregon,,10,12
1,North Carolina,,26,30
1,Virginia,,22,12
2,Villanova,,12,44
2,Oklahoma,,24,20
2,Xavier,,8,2
2,Michigan St,,18,0
3,Miami,,3.33,6
3,Texas AM,,6,6
3,West Virginia,,10.67,0
3,Utah,,4.67,2
4,California,,2,0
4,Duke,,9,6
4,Kentucky,,12.33,2
4,Iowa St,,2,6
5,Maryland,,7,6
5,Baylor,,2,0
5,Indiana,,2,7
5,Purdue,,7,0
6,Arizona,,6.67,0
6,Texas,,2,0
6,Notre Dame,,2,12
6,Seton Hall,,0,0
7,Iowa,,2,2
7,Oregon St,,0,0
7,Wisconsin,,2,11
7,Dayton,,0,0
8,Colorado,,0,0
8,St Josephs,,0,2
8,USC,,0,0
8,Texas Tech,,0,0
9,Connecticut,,3,3
9,Cincinnati,,3,0
9,Providence,,3,3
9,Butler,,2,3
10,Temple,,0,0
10,VCU,,5,5
10,Pittsburgh,,0,0
10,Syracuse,,5,32
11,Wichita St,,1,8
11,Vanderbilt,,0,0
11,Northern Iowa,,0,7
11,Michigan,,0.67,1
11,Tulsa,,0.33,0
11,Gonzaga,,11,19
12,South Dakota St,,0,0
12,Yale,,0,9
12,Chattanooga,,0,0
12,Ark LR,,0,9
13,Hawaii,,0,11
13,NC Wilmington,,0,0
13,Stony Brook,,0,0
13,Iona,,0,0
14,Buffalo,,0,0
14,Green Bay,,0,0
14,SF Austin,,0,13
14,Fresno St,,0,0
15,NC Ash,,0,0
15,CSU Bakersfield,,0,0
15,Weber St,,0,0
15,Middle Tennessee St,,0,15
1,Kentucky,,36.5,20
1,Wisconsin,,12.5,30
1,Villanova,,26.25,2
1,Duke,,19.25,42
2,Kansas,,8,2
2,Arizona,,21.25,12
2,Virginia,,15.63,2
2,Gonzaga,,9.75,12
3,Notre Dame,,9.25,12
3,Baylor,,6,0
3,Oklahoma,,5.5,6
3,Iowa St,,11.13,0
4,Maryland,,3,2
4,North Carolina,,8.25,6
4,Louisville,,3.5,12
4,Georgetown,,3,2
5,West Virginia,,5.25,7
5,Arkansas,,1.25,2
5,Northern Iowa,,5.13,2
5,Utah,,5.75,7
6,Butler,,0.5,2
6,Xavier,,2,6
6,Providence,,2.88,0
6,SMU,,2,0
7,Wichita St,,4.25,11
7,VCU,,0,0
7,Michigan St,,6.75,32
7,Iowa,,1.25,2
8,Cincinnati,,0.75,2
8,Oregon,,0,2
8,North Carolina St,,1.25,13
8,San Diego St,,2,2
9,Purdue,,1.88,0
9,Oklahoma St,,3,0
9,LSU,,1.13,0
9,St Johns,,0,0
10,Indiana,,0,0
10,Ohio St,,5,5
10,Georgia,,0,0
10,Davidson,,1.88,0
11,Texas,,5.25,0
11,Mississippi,,0,1
11,Dayton,,0,8
11,UCLA,,0,11
11,BYU,,0,0
11,Boise St,,0,0
12,Buffalo,,2.25,0
12,Wofford,,5.63,0
12,Wyoming,,0,0
12,SF Austin,,0,0
13,Valparaiso,,0,0
13,Harvard,,0,0
13,UC Irvine,,0,0
13,Eastern Washington,,0,0
14,Northeastern,,0,0
14,Georgia St,,0,13
14,Albany,,0,0
14,UAB,,0,13
15,New Mexico St,,0,0
15,Texas Southern,,0,0
15,Belmont,,0,0
15,North Dakota St,,0,0
1,Florida,,19.2,20
1,Virginia,,8.4,6
1,Arizona,,9.2,12
1,Wichita St,,3.6,2
2,Kansas,,23.6,2
2,Villanova,,15,2
2,Wisconsin,,13,21
2,Michigan,,6,12
3,Syracuse,,2,2
3,Iowa St,,4.7,6
3,Creighton,,10.3,2
3,Duke,,30.2,0
4,UCLA,,5.6,6
4,Michigan St,,18.7,15
4,San Diego St,,8.4,6
4,Louisville,,28,6
5,VCU,,2.5,0
5,Cincinnati,,0.8,0
5,Oklahoma,,2,0
5,Saint Louis,,1,2
6,Ohio St,,9,0
6,North Carolina,,5.5,2
6,Baylor,,2,9
6,Massachusetts,,0,0
7,New Mexico,,1,0
7,Connecticut,,1.2,60
7,Oregon,,1.2,2
7,Texas,,0.8,2
8,Colorado,,0,0
8,Memphis,,2,2
8,Gonzaga,,0,2
8,Kentucky,,8.6,53
9,Pittsburgh,,3,3
9,George Washington,,0,0
9,Oklahoma St,,12.4,0
9,Kansas St,,0,0
10,Stanford,,2.5,17
10,St. Josephs,,2,0
10,BYU,,2,0
10,Arizona St,,3,0
11,Dayton,,0,21
11,Providence,,0,0
11,Nebraska,,0,0
11,Tennessee,,2.4,12
11,Iowa,,5.6,0
12,Xavier,,2.5,0
12,North Carolina St,,2.5,1
12,SF Austin,,0,9
12,Harvard,,5.4,9
12,North Dakota St,,0,9
13,Tulsa,,0,0
13,Delaware,,0,0
13,New Mexico St,,0,0
13,Manhattan,,0,0
14,Western Michigan,,0,0
14,NC Central,,0,0
14,LA Lafayette,,0,0
14,Mercer,,0,13
15,Eastern Kentucky,,0,0
15,Milwaukee,,0,0
15,American,,0,0
15,Wofford,,0,0
1,Louisville,,29,42
1,Gonzaga,,22.4,2
1,Kansas,,12.8,6
1,Indiana,,33.2,6
2,Duke,,8.3,12
2,Ohio State,,14.8,12
2,Georgetown,,6,0
2,Miami,,11.4,6
3,Michigan St,,9.1,6
3,New Mexico,,3.6,0
3,Florida,,26.8,12
3,Marquette,,3.6,13
4,Saint Louis,,6,2
4,Kansas St,,2,0
4,Michigan,,4,35
4,Syracuse,,6,24
5,Oklahoma St,,1.8,0
5,Wisconsin,,7,0
5,VCU,,4.5,2
5,UNLV,,1,0
6,Memphis,,0.2,2
6,Arizona,,6.2,6
6,UCLA,,0.2,0
6,Butler,,7.2,2
7,Creighton,,5.6,2
7,Notre Dame,,1.6,0
7,San Diego St,,2,2
7,Illinois,,2,2
8,Colorado St,,0,2
8,Pittsburgh,,2,0
8,North Carolina,,2,2
8,North Carolina St,,2,0
9,Missouri,,2.9,0
9,Wichita St,,0,36
9,Villanova,,0,0
9,Temple,,0,3
10,Cincinnati,,0,0
10,Iowa St,,1,5
10,Oklahoma,,0,0
10,Colorado,,0,0
11,St Marys,,7.3,1
11,Middle Tennessee St,,0,0
11,Belmont,,0,0
11,Minnesota,,6.3,7
11,Bucknell,,0,0
13,La Salle,,0.9,17
13,Boise St,,0.1,0
12,Oregon,,0.9,21
12,Mississippi,,0,9
12,Akron,,0,0
12,California,,4.5,9
13,New Mexico St,,0,0
13,South Dakota St,,0,0
13,Montana,,0,0
14,Valparaiso,,0,0
14,Harvard,,0,13
14,Northwestern St,,0,0
14,Davidson,,0,0
15,Albany,,0,0
15,Iona,,0,0
15,Florida Gulf Coast,,0,27
15,Pacific,,0,0
