Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(16-12-3),,,,,,,(9-6-1),,(5-5-2),,(2-1-0),,,(6-11-3),,(10-1-0),,,(0-7-1),(6-0-1),(6-7-2),(1-5-1),(2-0-0),(7-0-0)
,59,Penn_St,Big Ten,,16-15,116,,183,45,---,,6-Nov,159,8-Mar,53,1-Feb,107,,14-Jun,47,1-Oct,242,,5-Feb,5-Jan,10-Mar,4-Mar,1-Apr,Jun-00
,,,,,(16-15-0),,,,,,,(11-6-0),,(3-8-0),,(2-1-0),,,(6-14-0),,(10-1-0),,,(2-5-0),(1-5-0),(3-10-0),(3-4-0),(4-1-0),(6-0-0)
,60,Dayton,Atlantic 10,,21-10,118,,139,71,121,,15-3,140,4-May,114,3-Jan,26,,7-Dec,109,3-Sep,132,,1-Jan,3-Mar,4-Apr,3-Mar,3-Sep,May-00
,,,,,(19-9-3),,,,,,,(13-2-3),,(5-4-0),,(1-3-0),,,(10-6-3),,(9-3-0),,,(1-1-0),(3-3-0),(4-4-0),(2-2-2),(9-3-0),(4-0-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,Colorado,Atlantic Coast,,14-20,80,,150,32,134,,7-Nov,120,0-10,43,3-Mar,25,,0-0,---,14-20,80,,0-11,2-Apr,13-Apr,7-Mar,Feb-00,May-00
,,,,,(13-20-1),,,,,,,(10-7-1),,(0-10-0),,(3-3-0),,,(0-0-0),,(13-20-1),,,(0-11-0),(4-2-0),(4-13-0),(3-7-0),(1-0-1),(5-0-0)
,62,San_Diego_St,Mountain West,,20-9,104,,124,54,141,,3-Nov,117,4-Jun,116,2-Mar,43,,14-7,113,2-Jun,80,,1-Jan,4-May,5-Jun,4-Apr,May-00,May-00
,,,,,(18-9-2),,,,,,,(11-3-0),,(5-4-1),,(2-2-1),,,(13-7-1),,(5-2-1),,,(0-1-1),(5-4-0),(5-5-1),(4-4-0),(5-0-0),(4-0-1)
,63,Utah_St,Mountain West,,25-7,125,,145,53,---,,14-2,152,5-Jul,102,Apr-00,87,,16-6,111,1-Sep,156,,Jan-00,5-Feb,5-Mar,2-Aug,Jul-00,Jul-00
,,,,,(25-7-0),,,,,,,(14-2-0),,(7-5-0),,(4-0-0),,,(16-6-0),,(9-1-0),,,(1-0-0),(2-5-0),(3-5-0),(8-2-0),(7-0-0),(7-0-0)
,64,UC_San_Diego,Big West,,28-4,195,,207,111,---,,2-Dec,206,2-Dec,194,Apr-00,160,,20-2,198,2-Aug,188,,0-0,0-0,0-0,2-Mar,2-Nov,14-0
,,,,,(28-4-0),,,,,,,(12-2-0),,(12-2-0),,(4-0-0),,,(20-2-0),,(8-2-0),,,(0-0-0),(0-0-0),(0-0-0),(3-2-0),(11-2-0),(14-0-0)
,65,TCU,Big 12,,16-16,75,,114,35,46,,14-3,108,9-Feb,31,0-4,54,,10-Aug,35,6-Aug,126,,6-Feb,4-Mar,10-May,6-May,Mar-00,Mar-00
,,,,,(16-15-1),,,,,,,(14-3-0),,(2-9-0),,(0-3-1),,,(8-10-0),,(8-5-1),,,(2-6-0),(3-3-1),(5-9-1),(5-6-0),(3-0-0),(3-0-0)
,66,Wake_Forest,Atlantic Coast,,21-11,109,,146,37,---,,13-3,162,6-Jun,63,2-Feb,33,,13-8,69,3-Aug,184,,5-Jan,3-Feb,8-Mar,2-Aug,1-May,May-00
,,,,,(21-11-0),,,,,,,(13-3-0),,(6-6-0),,(2-2-0),,,(13-8-0),,(8-3-0),,,(1-5-0),(2-3-0),(3-8-0),(8-2-0),(5-1-0),(5-0-0)
,67,Rutgers,Big Ten,,15-17,90,,148,48,82,,5-Nov,118,8-Mar,55,4-Jan,75,,13-Aug,43,4-Jul,179,,8-Jan,4-Feb,12-Mar,3-May,1-Mar,1-Apr
,,,,,(12-16-4),,,,,,,(10-5-1),,(2-8-1),,(0-3-2),,,(6-12-3),,(6-4-1),,,(1-8-0),(2-4-0),(3-12-0),(3-2-3),(2-1-1),(4-1-0)
,68,Utah,Big 12,,16-16,104,,184,34,21,,15-4,148,9-Jan,35,0-3,53,,13-Jul,38,3-Sep,213,,6-Feb,6-Jan,12-Mar,4-May,Jan-00,Jul-00
,,,,,(15-16-1),,,,,,,(14-4-1),,(1-9-0),,(0-3-0),,,(6-13-1),,(9-3-0),,,(1-6-1),(1-6-0),(2-12-1),(5-4-0),(1-0-0),(7-0-0)
,69,Butler,Big East,,14-19,81,,127,48,28,,8-Sep,116,9-Feb,47,2-Mar,35,,15-Jul,51,4-Jul,140,,0-7,8-Mar,15-Mar,2-May,1-Apr,1-Feb
,,,,,(14-18-1),,,,,,,(9-8-0),,(2-8-1),,(3-2-0),,,(7-14-1),,(7-4-0),,,(0-7-0),(3-7-1),(3-14-1),(5-2-0),(4-1-0),(2-1-0)
,70,St_Joseph's_PA,Atlantic 10,,22-12,141,,164,108,86,,13-4,168,6-May,126,2-Apr,93,,14-8,116,4-Aug,188,,Jan-00,2-Jan,2-Feb,4-Feb,5-Dec,1-Jun
,,,,,(21-11-2),,,,,,,(13-4-0),,(4-5-2),,(4-2-0),,,(13-7-2),,(8-4-0),,,(1-0-0),(1-2-0),(2-2-0),(1-4-1),(12-4-1),(6-1-0)
,71,San_Francisco,West Coast,,23-9,136,,179,41,53,,15-2,160,6-May,111,1-Mar,102,,14-6,120,3-Sep,163,,5-Jan,1-Jan,6-Feb,1-Apr,2-Sep,Aug-00
,,,,,(22-9-1),,,,,,,(14-2-1),,(5-6-0),,(3-1-0),,,(13-6-1),,(9-3-0),,,(1-5-0),(1-1-0),(2-6-0),(3-1-1),(9-2-0),(8-0-0)
,72,Arizona_St,Big 12,,13-19,60,,106,30,18,,9-May,79,8-Mar,37,2-May,60,,17-Feb,34,2-Nov,100,,11-Jan,2-Feb,13-Mar,6-May,Mar-00,Feb-00
,,,,,(13-17-2),,,,,,,(5-8-1),,(3-7-1),,(5-2-0),,,(2-15-2),,(11-2-0),,,(1-10-1),(2-1-1),(3-11-2),(5-6-0),(3-0-0),(2-0-0)
,73,Iowa,Big Ten,,16-16,94,,164,31,58,,6-Nov,138,8-Feb,37,2-Mar,59,,14-Aug,42,2-Aug,210,,0-9,4-Mar,13-Mar,3-May,Feb-00,Jun-00
,,,,,(15-16-1),,,,,,,(10-6-1),,(2-8-0),,(3-2-0),,,(7-14-1),,(8-2-0),,,(0-9-0),(3-4-0),(3-13-0),(4-3-1),(2-0-0),(6-0-0)
,74,Georgetown,Big East,,17-15,120,,184,47,---,,14-5,162,9-Mar,54,0-1,94,,13-Aug,54,2-Sep,246,,0-4,5-Apr,9-Apr,6-Mar,Feb-00,Aug-00
,,,,,(17-15-0),,,,,,,(14-5-0),,(3-9-0),,(0-1-0),,,(8-13-0),,(9-2-0),,,(0-4-0),(4-5-0),(4-9-0),(3-6-0),(2-0-0),(8-0-0)
,75,Providence,Big East,,20-Dec,93,,170,51,94,,6-Oct,121,9-Feb,59,0-5,79,,15-Jun,52,5-Jun,171,,4-Jan,8-Jan,12-Feb,5-Mar,3-Mar,Apr-00
,,,,,(11-20-1),,,,,,,(10-6-0),,(1-9-1),,(0-5-0),,,(5-15-1),,(6-5-0),,,(1-4-0),(1-8-0),(2-12-0),(2-5-1),(3-3-0),(4-0-0)
,76,Notre_Dame,Atlantic Coast,,15-18,107,,167,62,105,,5-Nov,153,9-Mar,78,4-Jan,34,,13-Sep,75,5-Jun,172,,0-4,0-5,0-9,5-Aug,4-Feb,May-00
,,,,,(13-17-3),,,,,,,(10-5-1),,(2-9-1),,(1-3-1),,,(7-13-2),,(6-4-1),,,(0-4-0),(0-5-0),(0-9-0),(7-4-2),(1-4-1),(5-0-0)
,77,Stanford,Atlantic Coast,,20-13,108,,141,58,---,,16-2,155,8-Mar,48,3-Jan,63,,10-Dec,71,3-Aug,183,,0-4,2-Feb,6-Feb,6-Jul,1-Jun,May-00
,,,,,(20-13-0),,,,,,,(16-2-0),,(3-8-0),,(1-3-0),,,(12-10-0),,(8-3-0),,,(0-4-0),(2-2-0),(2-6-0),(7-6-0),(6-1-0),(5-0-0)
,78,South_Carolina,Southeastern,,20-Dec,87,,176,42,27,,8-Oct,117,10-Jan,47,2-Jan,60,,17-Feb,31,3-Oct,169,,7-Jan,9-Feb,16-Mar,0-3,May-00,1-Apr
,,,,,(11-19-2),,,,,,,(9-7-2),,(1-10-0),,(1-2-0),,,(2-16-1),,(9-3-1),,,(0-7-1),(2-8-1),(2-15-2),(0-3-0),(5-0-0),(4-1-0)
,79,George_Mason,Atlantic 10,,25-8,149,,177,80,115,,17-1,193,6-Jul,102,1-Jan,52,,17-4,115,4-Aug,208,,0-2,0-2,0-4,Apr-00,13-3,1-Aug
,,,,,(22-7-4),,,,,,,(15-1-2),,(6-5-2),,(1-1-0),,,(14-4-3),,(8-3-1),,,(0-2-0),(0-2-0),(0-4-0),(3-0-1),(11-2-3),(8-1-0)
,80,Minnesota,Big Ten,,15-17,95,,160,41,61,,9-Oct,126,5-May,42,0-3,77,,14-Jul,41,3-Aug,199,,7-Jan,4-Feb,11-Mar,4-Apr,2-Mar,May-00
,,,,,(14-14-4),,,,,,,(9-8-2),,(5-4-1),,(0-2-1),,,(6-12-3),,(8-2-1),,,(0-7-1),(2-3-1),(2-10-2),(4-3-1),(3-1-1),(5-0-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,Nevada,Mountain West,,17-16,123,,171,71,123,,6-Nov,138,8-Mar,116,2-Mar,85,,13-Sep,115,3-Aug,139,,0-0,7-Jan,7-Jan,6-Mar,3-May,Aug-00
,,,,,(16-15-2),,,,,,,(11-6-0),,(2-7-2),,(3-2-0),,,(8-12-2),,(8-3-0),,,(0-0-0),(1-6-1),(1-6-1),(3-6-0),(5-3-0),(7-0-1)
,82,Georgia_Tech,Atlantic Coast,,17-16,120,,183,68,59,,14-5,161,9-Feb,69,2-Jan,47,,11-Nov,72,5-Jun,217,,3-Feb,0-5,8-Feb,6-May,1-Apr,1-Jun
,,,,,(15-16-2),,,,,,,(13-5-1),,(1-9-1),,(1-2-0),,,(9-11-2),,(6-5-0),,,(1-3-1),(0-5-0),(1-8-1),(4-6-1),(4-1-0),(6-1-0)
,83,Oklahoma_St,Big 12,,15-17,86,,139,39,---,,3-Dec,108,10-Feb,59,4-Jan,85,,14-Jun,35,3-Sep,170,,7-Jan,3-Jan,10-Feb,6-May,1-Apr,Apr-00
,,,,,(15-17-0),,,,,,,(12-3-0),,(2-10-0),,(1-4-0),,,(6-14-0),,(9-3-0),,,(1-7-0),(1-3-0),(2-10-0),(5-6-0),(4-1-0),(4-0-0)
,84,North_Texas,American Athletic,,22-8,148,,166,100,---,,14-1,182,5-Jul,121,2-Jan,87,,15-5,142,3-Jul,162,,0-0,0-1,0-1,4-Mar,3-Dec,Jul-00
,,,,,(22-8-0),,,,,,,(14-1-0),,(7-5-0),,(1-2-0),,,(15-5-0),,(7-3-0),,,(0-0-0),(0-1-0),(0-1-0),(3-4-0),(12-3-0),(7-0-0)
,85,UC_Irvine,Big West,,27-6,180,,194,93,204,,2-Oct,200,14-3,179,1-Mar,123,,18-4,196,2-Sep,147,,0-0,0-0,0-0,3-Jan,15-3,Nov-00
,,,,,(25-5-3),,,,,,,(10-2-0),,(12-2-3),,(3-1-0),,,(16-3-3),,(9-2-0),,,(0-0-0),(0-0-0),(0-0-0),(1-3-0),(14-2-2),(10-0-1)
,86,Florida_St,Atlantic Coast,,17-15,106,,147,58,101,,5-Nov,120,9-Feb,76,1-Apr,129,,13-Aug,71,2-Sep,173,,0-6,1-Jan,7-Jan,5-May,3-Jul,Apr-00
,,,,,(17-14-1),,,,,,,(11-5-0),,(2-8-1),,(4-1-0),,,(8-12-1),,(9-2-0),,,(0-6-0),(1-1-0),(1-7-0),(5-5-0),(7-2-1),(4-0-0)
,87,LSU,Southeastern,,14-18,103,,208,30,52,,7-Nov,154,8-Feb,33,3-Jan,46,,16-Mar,32,2-Nov,206,,0-6,10-Jan,16-Jan,2-May,Jan-00,Jul-00
,,,,,(13-18-1),,,,,,,(11-7-0),,(2-8-0),,(0-3-1),,,(3-16-0),,(10-2-1),,,(0-6-0),(1-10-0),(1-16-0),(4-2-1),(1-0-0),(7-0-0)
,88,McNeese State,Southland,,23-6,211,,242,89,---,,1-Oct,223,2-Sep,238,3-Apr,148,,19-1,255,5-Apr,113,,0-1,0-1,0-2,2-Jan,1-Jun,16-1
,,,,,(23-6-0),,,,,,,(10-1-0),,(9-2-0),,(4-3-0),,,(19-1-0),,(4-5-0),,,(0-1-0),(0-1-0),(0-2-0),(1-2-0),(6-1-0),(16-1-0)
,89,UNLV,Mountain West,,18-15,121,,174,56,---,,5-Dec,138,7-May,101,3-Jan,106,,10-Dec,118,5-Jun,125,,0-0,0-10,0-10,4-Apr,1-Jul,Jul-00
,,,,,(18-15-0),,,,,,,(12-5-0),,(5-7-0),,(1-3-0),,,(12-10-0),,(6-5-0),,,(0-0-0),(0-10-0),(0-10-0),(4-4-0),(7-1-0),(7-0-0)
,90,Oregon_St,West Coast,,19-12,160,,224,86,72,,14-3,183,7-Mar,132,2-Feb,135,,9-Oct,137,3-Sep,197,,3-Jan,0-1,4-Jan,5-Feb,2-May,1-Nov
,,,,,(17-11-3),,,,,,,(13-3-1),,(3-6-1),,(1-2-1),,,(9-8-2),,(8-3-1),,,(0-3-1),(0-1-0),(0-4-1),(2-4-1),(4-2-1),(11-1-0)
,91,Loyola-Chicago,Atlantic 10,,21-11,150,,181,94,114,,16-1,178,5-May,126,0-5,105,,13-7,106,4-Aug,224,,0-0,0-2,0-2,4-Feb,5-Nov,Aug-00
,,,,,(20-9-3),,,,,,,(16-1-0),,(4-3-3),,(0-5-0),,,(12-5-3),,(8-4-0),,,(0-0-0),(0-2-0),(0-2-0),(2-2-2),(11-5-0),(7-0-1)
,92,Drake,Missouri Valley,,28-3,158,,164,130,147,,2-Dec,184,1-Oct,148,Jun-00,115,,20-3,151,Aug-00,177,,0-0,0-0,0-0,Feb-00,21-3,May-00
,,,,,(23-3-5),,,,,,,(10-2-2),,(7-1-3),,(6-0-0),,,(16-3-4),,(7-0-1),,,(0-0-0),(0-0-0),(0-0-0),(1-0-1),(17-3-4),(5-0-0)
,93,Virginia,Atlantic Coast,,15-17,102,,166,45,---,,7-Oct,142,7-Apr,65,3-Jan,33,,13-Aug,70,4-Jul,162,,0-7,4-Jan,11-Jan,5-Apr,1-Apr,Jun-00
,,,,,(15-17-0),,,,,,,(10-7-0),,(4-7-0),,(1-3-0),,,(8-13-0),,(7-4-0),,,(0-7-0),(1-4-0),(1-11-0),(4-5-0),(4-1-0),(6-0-0)
,94,DePaul,Big East,,14-19,106,,189,31,116,,8-Nov,150,10-Feb,46,1-Jan,50,,17-May,50,2-Sep,219,,0-5,0-10,0-15,3-Apr,1-Apr,Jun-00
,,,,,(13-15-5),,,,,,,(10-6-3),,(2-9-1),,(1-0-1),,,(5-13-4),,(8-2-1),,,(0-4-1),(0-9-1),(0-13-2),(4-2-1),(4-0-1),(5-0-1)
,95,Syracuse,Atlantic Coast,,14-19,97,,159,47,149,,6-Nov,126,9-Feb,77,4-Jan,40,,14-Aug,74,5-Jun,142,,0-6,0-4,0-10,7-May,2-Jun,Mar-00
,,,,,(12-18-3),,,,,,,(9-6-2),,(2-8-1),,(1-4-0),,,(7-13-2),,(5-5-1),,,(0-6-0),(0-4-0),(0-10-0),(5-7-0),(4-1-3),(3-0-0)
,96,Liberty,Conference USA,,25-6,175,,180,157,115,,3-Oct,198,2-Sep,165,1-Jun,146,,16-5,166,1-Sep,193,,0-0,0-0,0-0,Feb-00,15-6,Aug-00
,,,,,(25-5-1),,,,,,,(10-3-0),,(9-2-0),,(6-0-1),,,(16-5-0),,(9-0-1),,,(0-0-0),(0-0-0),(0-0-0),(2-0-0),(15-5-1),(8-0-0)
,97,UAB,American Athletic,,21-12,167,,195,119,100,,14-4,193,5-May,130,3-Feb,147,,15-6,131,6-Jun,230,,0-0,0-3,0-3,2-Feb,5-Oct,2-Sep
,,,,,(21-11-1),,,,,,,(14-3-1),,(5-5-0),,(2-3-0),,,(15-6-0),,(6-5-1),,,(0-0-0),(0-3-0),(0-3-0),(2-1-1),(10-5-0),(9-2-0)
,98,California,Atlantic Coast,,14-19,109,,184,59,99,,6-Nov,161,11-Feb,48,2-Jan,83,,15-Jul,74,4-Jul,180,,0-4,0-3,0-7,10-Mar,2-Jun,May-00
,,,,,(12-17-4),,,,,,,(10-6-1),,(2-9-2),,(0-2-1),,,(5-13-4),,(7-4-0),,,(0-4-0),(0-3-0),(0-7-0),(3-8-2),(4-2-2),(5-0-0)
,99,Grand_Canyon,Western Athletic,,25-7,206,,221,131,260,,16-1,223,4-Jun,211,2-Mar,136,,16-3,219,4-Sep,187,,0-0,0-1,0-1,1-Jan,3-Sep,15-2
,,,,,(25-6-1),,,,,,,(16-1-0),,(6-3-1),,(3-2-0),,,(16-2-1),,(9-4-0),,,(0-0-0),(0-1-0),(0-1-0),(1-1-0),(9-3-0),(15-1-1)
,100,Arkansas_St,Sun Belt,,23-10,199,,237,140,104,,2-Dec,235,5-Aug,175,3-Mar,168,,15-6,218,4-Aug,167,,0-1,Jan-00,1-Jan,Jan-00,8-May,16-1
,,,,,(21-10-2),,,,,,,(11-2-1),,(7-5-1),,(3-3-0),,,(15-6-0),,(6-4-2),,,(0-1-0),(1-0-0),(1-1-0),(0-0-1),(4-8-1),(16-1-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,NC_State,Atlantic Coast,,19-Dec,114,,216,57,86,,6-Dec,151,0-11,72,0-2,20,,15-May,70,4-Jul,195,,0-6,0-4,0-10,7-Apr,2-Jan,Jul-00
,,,,,(11-19-1),,,,,,,(11-6-1),,(0-11-0),,(0-2-0),,,(4-15-1),,(7-4-0),,,(0-6-0),(0-4-0),(0-10-0),(3-7-1),(1-2-0),(7-0-0)
,102,Bradley,Missouri Valley,,25-8,157,,175,106,165,,3-Dec,174,3-Aug,144,2-May,141,,17-6,145,2-Aug,186,,0-0,0-0,0-0,3-Feb,17-5,Jun-00
,,,,,(22-8-3),,,,,,,(10-3-2),,(7-3-1),,(5-2-0),,,(14-6-3),,(8-2-0),,,(0-0-0),(0-0-0),(0-0-0),(2-3-0),(14-5-3),(6-0-0)
,103,Northern_Iowa,Missouri Valley,,19-12,155,,178,122,92,,13-3,173,5-May,145,4-Jan,120,,14-7,149,5-May,169,,0-0,0-0,0-0,0-4,16-8,Mar-00
,,,,,(19-11-1),,,,,,,(13-2-1),,(5-5-0),,(1-4-0),,,(14-6-1),,(5-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-1),(16-8-0),(3-0-0)
,104,St_Louis,Atlantic 10,,17-14,127,,163,87,96,,3-Dec,149,9-Apr,108,2-Jan,97,,8-Dec,104,6-May,168,,0-0,1-Jan,1-Jan,9-Feb,4-Sep,May-00
,,,,,(16-13-2),,,,,,,(11-2-2),,(4-9-0),,(1-2-0),,,(11-7-2),,(5-6-0),,,(0-0-0),(1-1-0),(1-1-0),(2-8-1),(8-4-1),(5-0-0)
,105,St_Bonaventure,Atlantic 10,,21-11,149,,180,83,156,,3-Nov,171,7-Jul,144,1-Mar,88,,10-Oct,112,1-Nov,210,,0-0,2-Jan,2-Jan,4-Feb,5-Dec,Jun-00
,,,,,(21-10-1),,,,,,,(11-2-1),,(7-7-0),,(3-1-0),,,(10-9-1),,(11-1-0),,,(0-0-0),(1-2-0),(1-2-0),(2-4-0),(12-4-1),(6-0-0)
,106,Washington_St,West Coast,,19-14,136,,177,68,251,,4-Oct,154,7-Apr,125,3-May,120,,11-Sep,131,3-Oct,144,,0-4,1-Jan,5-Jan,6-Feb,1-Aug,2-Aug
,,,,,(19-13-1),,,,,,,(10-3-1),,(4-7-0),,(5-3-0),,,(9-10-1),,(10-3-0),,,(0-4-0),(1-1-0),(1-5-0),(2-6-0),(8-1-0),(8-1-1)
,107,Lipscomb,Atlantic Sun,,23-9,222,,256,136,---,,13-3,239,6-Oct,204,0-0,---,,17-4,256,5-Jun,156,,0-1,0-1,0-2,0-0,6-Jun,17-1
,,,,,(23-9-0),,,,,,,(13-3-0),,(10-6-0),,(0-0-0),,,(17-4-0),,(6-5-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(6-6-0),(17-1-0)
,108,G_Washington,Atlantic 10,,20-12,174,,211,103,164,,4-Dec,194,7-May,152,1-Mar,161,,10-Oct,123,2-Oct,259,,0-0,0-1,0-1,6-Jan,3-Sep,2-Oct
,,,,,(20-10-2),,,,,,,(12-4-0),,(5-5-2),,(3-1-0),,,(10-9-1),,(10-1-1),,,(0-0-0),(0-1-0),(0-1-0),(1-5-1),(9-3-0),(10-1-1)
,109,Yale,Ivy League,,21-7,224,,248,153,---,,Oct-00,258,6-Jul,207,1-Apr,202,,15-1,247,6-Jun,193,,0-1,0-0,0-1,0-1,3-Apr,17-2
,,,,,(21-7-0),,,,,,,(10-0-0),,(7-6-0),,(4-1-0),,,(15-1-0),,(6-6-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(4-3-0),(17-2-0)
,110,Virginia_Tech,Atlantic Coast,,13-19,108,,179,63,96,,9-Aug,137,5-May,81,0-5,65,,13-Aug,74,6-May,174,,0-5,0-2,0-7,10-May,1-Apr,1-Apr
,,,,,(12-18-2),,,,,,,(7-9-1),,(5-5-0),,(0-4-1),,,(7-12-2),,(5-6-0),,,(0-5-0),(0-2-0),(0-7-0),(4-9-2),(4-1-0),(4-1-0)
,111,High_Point,Big South,,27-5,234,,239,205,246,,14-1,240,3-Jul,235,1-Jun,220,,17-2,246,3-Oct,216,,0-0,0-0,0-0,Feb-00,2-Jul,18-3
,,,,,(26-5-1),,,,,,,(13-1-1),,(7-3-0),,(6-1-0),,,(16-2-1),,(10-3-0),,,(0-0-0),(0-0-0),(0-0-0),(2-0-0),(7-2-0),(17-3-1)
,112,Akron,Mid-American,,26-6,218,,239,133,100,,15-0,227,4-Aug,218,2-Mar,191,,20-1,244,5-Jun,168,,0-1,0-0,0-1,0-1,3-Aug,18-1
,,,,,(26-5-1),,,,,,,(15-0-0),,(8-3-1),,(3-2-0),,,(20-1-0),,(6-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-1),(8-3-0),(18-1-0)
,113,Duquesne,Atlantic 10,,19-Dec,137,,142,140,87,,7-Aug,133,8-Feb,121,4-Feb,176,,11-Aug,112,8-Apr,177,,0-0,0-1,0-1,4-Apr,9-Jun,5-Feb
,,,,,(11-18-2),,,,,,,(7-7-1),,(2-7-1),,(2-4-0),,,(7-10-2),,(4-8-0),,,(0-0-0),(0-1-0),(0-1-0),(3-4-1),(6-8-1),(2-5-0)
,114,Tulane,American Athletic,,17-14,171,,202,117,351,,13-3,205,7-Apr,146,0-4,102,,13-7,144,7-Apr,220,,0-0,0-2,0-2,4-Jan,6-Aug,2-Aug
,,,,,(17-13-1),,,,,,,(13-2-1),,(4-7-0),,(0-4-0),,,(13-7-0),,(4-6-1),,,(0-0-0),(0-2-0),(0-2-0),(1-4-0),(8-6-0),(8-1-1)
,115,FL_Atlantic,American Athletic,,17-15,139,,184,90,119,,5-Jul,152,8-Jun,129,2-Apr,135,,9-Nov,140,6-Jun,137,,0-1,0-2,0-3,6-Feb,6-Aug,Jul-00
,,,,,(16-14-2),,,,,,,(7-5-0),,(6-7-1),,(3-2-1),,,(11-9-0),,(5-5-2),,,(0-1-0),(0-2-0),(0-3-0),(1-6-1),(8-5-1),(7-0-0)
,116,Illinois_St,Missouri Valley,,18-14,160,,175,142,119,,4-Nov,181,7-May,149,3-Feb,121,,11-Nov,151,3-Jul,177,,0-0,0-0,0-0,3-Jan,14-9,2-Mar
,,,,,(18-13-1),,,,,,,(11-4-0),,(5-6-1),,(2-3-0),,,(11-10-1),,(7-3-0),,,(0-0-0),(0-0-0),(0-0-0),(1-3-0),(14-8-1),(3-2-0)
,117,Washington,Big Ten,,18-Dec,91,,155,47,53,,9-Aug,125,9-Feb,46,Feb-00,49,,16-Apr,41,2-Aug,190,,5-Jan,6-Feb,11-Mar,6-Mar,1-Jan,May-00
,,,,,(12-16-2),,,,,,,(8-7-2),,(2-9-0),,(2-0-0),,,(4-14-2),,(8-2-0),,,(1-5-0),(2-5-1),(3-10-1),(3-5-1),(1-1-0),(5-0-0)
,118,Wichita_St,American Athletic,,18-14,142,,168,124,61,,6-Oct,160,7-May,136,1-Mar,91,,11-Sep,141,3-Sep,144,,0-1,2-Jan,3-Jan,4-Feb,4-Nov,3-Apr
,,,,,(16-14-2),,,,,,,(9-6-1),,(5-7-0),,(2-1-1),,,(8-11-1),,(8-3-1),,,(0-1-0),(0-2-1),(0-3-1),(1-4-1),(11-4-0),(4-3-0)
