Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,14,Wisconsin,Big Ten,,26-9,84,,104,24,40,,14-3,131,5-Jul,39,1-May,42,,16-8,45,1-Oct,169,,6-Apr,2-May,8-Sep,1-Oct,Feb-00,May-00
,,,,,(26-8-1),,,,,,,(14-2-1),,(7-5-0),,(5-1-0),,,(16-7-1),,(10-1-0),,,(4-6-0),(5-1-1),(9-7-1),(10-1-0),(2-0-0),(5-0-0)
,15,Kansas,Big 12,,21-12,63,,87,25,27,,14-3,91,8-Apr,37,1-Mar,19,,10-Oct,36,2-Nov,103,,7-Apr,3-Feb,10-Jun,2-Sep,Apr-00,Feb-00
,,,,,(20-11-2),,,,,,,(14-2-1),,(4-8-0),,(2-1-1),,,(9-9-2),,(11-2-0),,,(4-6-1),(2-3-0),(6-9-1),(8-2-1),(4-0-0),(2-0-0)
,16,Louisville,Atlantic Coast,,27-7,89,,107,29,42,,15-3,106,2-Sep,83,2-Mar,43,,20-3,71,4-Jul,128,,4-Feb,1-Apr,5-Jun,2-Dec,Jul-00,Feb-00
,,,,,(26-7-1),,,,,,,(15-3-0),,(9-2-0),,(2-2-1),,,(20-3-0),,(6-4-1),,,(2-4-0),(3-1-1),(5-5-1),(12-2-0),(7-0-0),(2-0-0)
,17,Missouri,Southeastern,,22-11,106,,143,27,56,,18-2,155,8-Mar,30,1-Jan,29,,9-Nov,36,2-Nov,212,,5-Mar,4-May,9-Aug,2-May,Jan-00,Aug-00
,,,,,(22-10-1),,,,,,,(18-2-0),,(3-7-1),,(1-1-0),,,(11-8-1),,(11-2-0),,,(3-5-0),(5-4-0),(8-9-0),(5-1-1),(1-0-0),(8-0-0)
,18,Marquette,Big East,,23-10,80,,105,25,50,,14-3,112,7-Jul,47,Feb-00,34,,14-8,54,2-Sep,132,,4-Mar,5-May,9-Aug,1-Sep,Feb-00,Apr-00
,,,,,(22-9-2),,,,,,,(14-2-1),,(6-7-1),,(2-0-0),,,(13-7-2),,(9-2-0),,,(3-3-1),(5-5-0),(8-8-1),(8-1-1),(2-0-0),(4-0-0)
,19,Purdue,Big Ten,,22-11,64,,83,26,---,,14-2,83,7-May,48,2-Mar,45,,14-8,45,3-Aug,102,,7-Mar,3-May,10-Aug,1-Jul,May-00,Feb-00
,,,,,(22-11-0),,,,,,,(14-2-0),,(5-7-0),,(3-2-0),,,(14-8-0),,(8-3-0),,,(3-7-0),(5-3-0),(8-10-0),(7-1-0),(5-0-0),(2-0-0)
,20,Clemson,Atlantic Coast,,27-6,100,,114,27,63,,15-2,125,4-Sep,77,Mar-00,59,,19-3,74,3-Aug,151,,2-Feb,2-Mar,4-May,2-Dec,Jul-00,Mar-00
,,,,,(26-3-4),,,,,,,(15-0-2),,(8-3-2),,(3-0-0),,,(18-2-2),,(8-1-2),,,(2-2-0),(3-1-1),(5-3-1),(11-0-3),(7-0-0),(3-0-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,BYU,Big 12,,24-9,94,,126,29,33,,15-2,136,6-Jun,41,1-Mar,74,,14-7,37,2-Oct,193,,4-Apr,2-Apr,6-Aug,3-Jul,Mar-00,Jun-00
