Team,Index
Sam Houston State,6257
Samford,6258
San Diego,6259
San Diego St.,6260
San Diego State,6260
San Francisco,6261
San Jose State,6262
San_Diego_St,6260
Santa Clara,6263
SC State,6264
SE Louisiana,6265
SE Missouri State(SEMO),6266
Seattle,6267
Seton Hall,6268
Seton_Hall,6268
Siena,6269
SIU-Edwardsville,6270
SIU Edwardsville,6270
SIUE,6270
SMU,6271
South Alabama,6272
South Carolina,6273
South Dakota,6274
South Dakota State,6275
S_Dakota_St,6275
South Florida,6276
South_Carolina,6273
Southern California,6277
Southern Illinois,6278
Southern Miss,6279
Southern U.,6280
Southern Utah,6281
St_John's,6284
St_Mary's_CA,6255
St Mary's CA,6255
St. Mary's,6255
St. Bonaventure,6282
St. Francis-NY,6283
St. John’s,6284
St. John's,6284
St John's,6284
St_John's,6284
Stanford,6285
Stephen F. Austin,6286
Stetson,6287
Stony Brook-NY,6288
Syracuse,6289
TAM_C._Christi,6354
TCU,6290
Temple,6291
Tennessee,6292
Tennessee State,6293
Tennessee Tech,6294
Tennessee-Martin,6295
Texas,6296
Texas A&M,6297
Texas A&M CC,6354
Texas A&M Corpus Chris,6354
"Texas A&M-Corpus Christi
",6354
Texas A&M-CorpusChristi,6298
Texas A&M-CorpusChristi,6354
Texas Southern,6299
Texas State,6300
Texas Tech,6301
Texas_A&M,6297
Texas_Tech,6301
The Citadel,6302
Toledo,6303
Towson,6304
Troy,6305
Tulane,6306
Tulsa,6307
TX_Southern,6299
UAB,6308
UC Davis,6309
UC Irvine,6310
UC Riverside,6311
UC San Diego,6354
UC Santa Barbara,6312
UC_Santa_Barbara,6312
UCLA,6313
UConn,6057
UCSB,6312
ULM,6314
UMass Lowell,6315
UMBC,6316
UNC_Asheville,6190
UNLV,6317
USC,6277
USC Upstate,6318
UT Arlington,6319
Utah,6320
Utah St.,6321
Utah State,6321
Utah Valley,6322
Utah_St,6321
UTEP,6323
UTRGV,6324
UTSA,6325
Valparaiso,6326
Vanderbilt,6327
VCU,6328
Vermont,6329
Villanova,6330
Virginia,6331
Virginia Tech,6332
Virginia_Tech,6332
VMI,6333
Wagner,6334
Wake Forest,6335
Wake_Forest,6335
Washington,6336
Washington State,6337
Washington_St,6337
Weber State,6338
West Virginia,6339
West_Virginia,6339
Western Carolina,6340
Western Illinois,6341
Western Kentucky,6342
WKU,6342
Western Michigan,6343
Wichita State,6344
William & Mary,6345
Winthrop,6346
Wisconsin,6347
Wofford,6348
Wright State,6349
Wyoming,6350
Xavier,6351
Xavier-Ohio,6351
Yale,6352
Youngstown State,6353
