Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,59,UC_Irvine,Big West,,27-6,186,,204,84,210,,2-Oct,209,14-3,188,1-Mar,112,,18-4,201,2-Sep,157,,0-0,2-Jan,2-Jan,0-1,14-3,Dec-00
,,,,,(25-5-3),,,,,,,(10-2-0),,(12-2-3),,(3-1-0),,,(16-3-3),,(9-2-0),,,(0-0-0),(1-2-0),(1-2-0),(0-1-0),(13-2-2),(11-0-1)
,60,Kansas_St,Big 12,,16-17,90,,131,51,62,,6-Oct,113,9-Mar,56,2-Mar,96,,12-Sep,46,5-Jul,166,,6-Mar,2-Jan,8-Apr,7-May,2-Mar,Apr-00
,,,,,(16-16-1),,,,,,,(10-5-1),,(3-9-0),,(3-2-0),,,(9-12-0),,(7-4-1),,,(3-6-0),(1-2-0),(4-8-0),(5-6-1),(3-2-0),(4-0-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,Pittsburgh,Atlantic Coast,,17-15,103,,150,60,30,,13-4,135,9-Mar,69,2-Jan,64,,13-Aug,87,2-Sep,136,,0-5,2-Mar,7-Mar,5-Feb,3-Sep,Mar-00
,,,,,(16-14-2),,,,,,,(13-3-1),,(2-9-1),,(1-2-0),,,(8-12-1),,(8-2-1),,,(0-4-1),(2-2-1),(2-6-2),(2-5-0),(9-3-0),(3-0-0)
,62,Drake,Missouri Valley,,28-3,169,,174,132,166,,2-Dec,192,1-Oct,161,Jun-00,129,,20-3,164,Aug-00,183,,0-0,0-0,0-0,1-Apr,13-2,Nov-00
,,,,,(23-3-5),,,,,,,(10-2-2),,(7-1-3),,(6-0-0),,,(16-3-4),,(7-0-1),,,(0-0-0),(0-0-0),(0-0-0),(3-1-1),(12-2-1),(8-0-3)
,63,Penn_St,Big Ten,,16-15,121,,189,49,---,,6-Nov,160,8-Mar,57,1-Feb,133,,14-Jun,51,1-Oct,248,,4-Feb,0-4,8-Feb,6-Apr,1-Mar,Jul-00
,,,,,(16-15-0),,,,,,,(11-6-0),,(3-8-0),,(2-1-0),,,(6-14-0),,(10-1-0),,,(2-4-0),(0-4-0),(2-8-0),(4-6-0),(3-1-0),(7-0-0)
,64,Nebraska,Big Ten,,17-14,98,,150,40,47,,6-Oct,126,7-May,63,1-Feb,84,,13-Jul,47,1-Oct,189,,6-Jan,2-Apr,8-May,6-Mar,Feb-00,Jul-00
,,,,,(16-12-3),,,,,,,(9-6-1),,(5-5-2),,(2-1-0),,,(6-11-3),,(10-1-0),,,(0-6-1),(4-1-1),(4-7-2),(3-5-1),(2-0-0),(7-0-0)
,65,St_Joseph's_PA,Atlantic 10,,22-12,157,,185,114,104,,13-4,179,6-May,147,2-Apr,114,,14-8,141,4-Aug,188,,Jan-00,2-Jan,2-Feb,3-Jan,5-Aug,2-Nov
,,,,,(21-11-2),,,,,,,(13-4-0),,(4-5-2),,(4-2-0),,,(13-7-2),,(8-4-0),,,(1-0-0),(1-2-0),(2-2-0),(0-3-1),(8-4-1),(11-2-0)
,66,USC,Big Ten,,16-17,85,,135,41,73,,7-Dec,114,7-Mar,48,3-Jan,37,,14-Aug,49,3-Aug,156,,5-Feb,0-7,12-Feb,4-Apr,1-Jun,Apr-00
,,,,,(15-17-1),,,,,,,(12-7-0),,(3-7-0),,(0-3-1),,,(7-14-1),,(8-3-0),,,(2-5-0),(0-7-0),(2-12-0),(3-4-1),(6-1-0),(4-0-0)
,67,Yale,Ivy League,,21-7,225,,248,156,---,,Oct-00,255,6-Jul,212,1-Apr,196,,15-1,251,6-Jun,190,,0-1,0-0,0-1,1-Jan,4-Apr,16-1
,,,,,(21-7-0),,,,,,,(10-0-0),,(7-6-0),,(4-1-0),,,(15-1-0),,(6-6-0),,,(0-1-0),(0-0-0),(0-1-0),(1-1-0),(4-4-0),(16-1-0)
,68,UCF,Big 12,,17-16,86,,131,36,54,,13-5,106,8-Feb,47,3-Feb,92,,13-Jul,46,3-Oct,146,,9-Feb,0-2,11-Feb,4-Jun,1-Jun,Mar-00
,,,,,(17-14-2),,,,,,,(13-5-0),,(2-8-0),,(2-1-2),,,(7-12-1),,(10-2-1),,,(2-8-1),(0-2-0),(2-10-1),(6-3-1),(6-1-0),(3-0-0)
,69,Arizona_St,Big 12,,13-19,66,,112,37,22,,9-May,84,8-Mar,45,2-May,65,,17-Feb,41,2-Nov,104,,11-Jan,1-Feb,12-Mar,6-May,1-Feb,Mar-00
,,,,,(13-17-2),,,,,,,(5-8-1),,(3-7-1),,(5-2-0),,,(2-15-2),,(11-2-0),,,(1-10-1),(2-0-1),(3-10-2),(5-6-0),(2-1-0),(3-0-0)
,70,San_Francisco,West Coast,,23-9,148,,196,39,57,,15-2,168,6-May,125,1-Mar,124,,14-6,137,3-Sep,166,,5-Jan,1-Jan,6-Feb,2-Mar,1-Aug,Oct-00
,,,,,(22-9-1),,,,,,,(14-2-1),,(5-6-0),,(3-1-0),,,(13-6-1),,(9-3-0),,,(1-5-0),(1-1-0),(2-6-0),(2-2-1),(8-1-0),(10-0-0)
,71,Dayton,Atlantic 10,,21-10,130,,149,82,147,,15-3,149,4-May,135,3-Jan,30,,7-Dec,128,3-Sep,133,,1-Jan,2-Feb,3-Mar,3-Mar,3-Aug,1-Jul
,,,,,(19-9-3),,,,,,,(13-2-3),,(5-4-0),,(1-3-0),,,(10-6-3),,(9-3-0),,,(1-1-0),(2-2-0),(3-3-0),(3-2-1),(7-3-1),(6-1-1)
,72,Wake_Forest,Atlantic Coast,,21-11,120,,161,42,---,,13-3,172,6-Jun,77,2-Feb,38,,13-8,85,3-Aug,186,,0-6,2-Feb,8-Feb,1-Jun,2-Aug,May-00
,,,,,(21-11-0),,,,,,,(13-3-0),,(6-6-0),,(2-2-0),,,(13-8-0),,(8-3-0),,,(0-6-0),(2-2-0),(2-8-0),(6-1-0),(8-2-0),(5-0-0)
,73,Rutgers,Big Ten,,15-17,95,,158,49,92,,5-Nov,126,8-Mar,58,4-Jan,79,,13-Aug,46,4-Jul,188,,7-Jan,4-Jan,11-Feb,4-Jun,1-Feb,1-May
,,,,,(12-16-4),,,,,,,(10-5-1),,(2-8-1),,(0-3-2),,,(6-12-3),,(6-4-1),,,(1-7-0),(1-4-0),(2-11-0),(4-3-3),(1-1-1),(5-1-0)
,74,George_Mason,Atlantic 10,,25-8,161,,189,85,134,,17-1,207,6-Jul,113,1-Jan,47,,17-4,134,4-Aug,207,,0-2,0-2,0-4,Mar-00,3-Nov,1-Nov
,,,,,(22-7-4),,,,,,,(15-1-2),,(6-5-2),,(1-1-0),,,(14-4-3),,(8-3-1),,,(0-2-0),(0-2-0),(0-4-0),(3-0-0),(8-2-4),(11-1-0)
,75,North_Texas,American Athletic,,22-8,158,,181,95,---,,14-1,198,5-Jul,127,2-Jan,83,,15-5,158,3-Jul,158,,0-0,0-2,0-2,4-Mar,2-Dec,Jul-00
,,,,,(22-8-0),,,,,,,(14-1-0),,(7-5-0),,(1-2-0),,,(15-5-0),,(7-3-0),,,(0-0-0),(0-2-0),(0-2-0),(3-4-0),(12-2-0),(7-0-0)
,76,Nevada,Mountain West,,17-16,137,,196,73,157,,6-Nov,148,8-Mar,137,2-Mar,104,,13-Sep,135,3-Aug,142,,0-0,11-Jan,11-Jan,2-Feb,2-May,1-Sep
,,,,,(16-15-2),,,,,,,(11-6-0),,(2-7-2),,(3-2-0),,,(8-12-2),,(8-3-0),,,(0-0-0),(1-10-1),(1-10-1),(2-2-0),(5-2-0),(8-1-1)
,77,Iowa,Big Ten,,16-16,96,,166,32,64,,6-Nov,139,8-Feb,40,2-Mar,62,,14-Aug,45,2-Aug,208,,0-8,5-Jan,13-Jan,3-Jul,Feb-00,Jun-00
,,,,,(15-16-1),,,,,,,(10-6-1),,(2-8-0),,(3-2-0),,,(7-14-1),,(8-2-0),,,(0-8-0),(1-5-0),(1-13-0),(6-3-1),(2-0-0),(6-0-0)
,78,South_Carolina,Southeastern,,20-Dec,87,,178,41,26,,8-Oct,112,10-Jan,49,2-Jan,77,,17-Feb,29,3-Oct,172,,8-Jan,8-Feb,16-Mar,0-3,Jun-00,1-Mar
,,,,,(11-19-2),,,,,,,(9-7-2),,(1-10-0),,(1-2-0),,,(2-16-1),,(9-3-1),,,(0-8-1),(2-7-1),(2-15-2),(0-3-0),(6-0-0),(3-1-0)
,79,Colorado,Atlantic Coast,,14-20,85,,156,38,104,,7-Nov,121,0-10,52,3-Mar,30,,0-0,---,14-20,85,,0-11,1-Apr,12-Apr,7-Mar,1-Feb,May-00
,,,,,(13-20-1),,,,,,,(10-7-1),,(0-10-0),,(3-3-0),,,(0-0-0),,(13-20-1),,,(0-11-0),(4-1-0),(4-12-0),(3-7-0),(1-1-1),(5-0-0)
,80,High_Point,Big South,,27-5,223,,230,190,222,,14-1,224,3-Jul,228,1-Jun,216,,17-2,234,3-Oct,208,,0-0,0-0,0-0,Feb-00,2-Aug,17-3
,,,,,(26-5-1),,,,,,,(13-1-1),,(7-3-0),,(6-1-0),,,(16-2-1),,(10-3-0),,,(0-0-0),(0-0-0),(0-0-0),(2-0-0),(8-2-0),(16-3-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,TCU,Big 12,,16-16,78,,114,42,44,,14-3,109,9-Feb,37,0-4,58,,10-Aug,42,6-Aug,125,,5-Feb,4-Mar,9-May,7-Apr,Apr-00,Mar-00
,,,,,(16-15-1),,,,,,,(14-3-0),,(2-9-0),,(0-3-1),,,(8-10-0),,(8-5-1),,,(2-5-0),(3-3-1),(5-8-1),(4-7-0),(4-0-0),(3-0-0)
,82,Lipscomb,Atlantic Sun,,23-9,214,,247,127,---,,13-3,228,6-Oct,199,0-0,---,,17-4,249,5-Jun,146,,0-1,0-1,0-2,0-0,6-Aug,15-1
,,,,,(23-9-0),,,,,,,(13-3-0),,(10-6-0),,(0-0-0),,,(17-4-0),,(6-5-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(8-6-0),(15-1-0)
,83,Butler,Big East,,14-19,95,,153,53,28,,8-Sep,128,9-Feb,68,2-Mar,42,,15-Jul,72,4-Jul,139,,0-7,8-Jan,15-Jan,2-May,1-Mar,1-May
,,,,,(14-18-1),,,,,,,(9-8-0),,(2-8-1),,(3-2-0),,,(7-14-1),,(7-4-0),,,(0-7-0),(1-7-1),(1-14-1),(5-2-0),(3-1-0),(5-1-0)
,84,Arkansas_St,Sun Belt,,23-10,197,,238,132,95,,2-Dec,231,5-Aug,174,3-Mar,168,,15-6,217,4-Aug,162,,0-1,Jan-00,1-Jan,2-Mar,7-Mar,16-0
,,,,,(21-10-2),,,,,,,(11-2-1),,(7-5-1),,(3-3-0),,,(15-6-0),,(6-4-2),,,(0-1-0),(1-0-0),(1-1-0),(1-2-2),(3-7-0),(16-0-0)
,85,Grand_Canyon,Western Athletic,,25-7,207,,224,127,258,,16-1,222,4-Jun,209,2-Mar,147,,16-3,221,4-Sep,186,,0-0,0-1,0-1,1-Jan,3-Oct,14-2
,,,,,(25-6-1),,,,,,,(16-1-0),,(6-3-1),,(3-2-0),,,(16-2-1),,(9-4-0),,,(0-0-0),(0-1-0),(0-1-0),(1-1-0),(10-3-0),(14-1-1)
,86,Utah,Big 12,,16-16,107,,184,41,21,,15-4,148,9-Jan,44,0-3,60,,13-Jul,46,3-Sep,209,,6-Feb,0-5,11-Feb,4-May,1-Feb,Jul-00
,,,,,(15-16-1),,,,,,,(14-4-1),,(1-9-0),,(0-3-0),,,(6-13-1),,(9-3-0),,,(1-6-1),(0-5-0),(1-11-1),(5-4-0),(2-1-0),(7-0-0)
,87,Bradley,Missouri Valley,,25-8,164,,183,103,184,,3-Dec,180,3-Aug,156,2-May,140,,17-6,155,2-Aug,185,,0-0,0-0,0-0,3-Feb,5-Dec,Nov-00
,,,,,(22-8-3),,,,,,,(10-3-2),,(7-3-1),,(5-2-0),,,(14-6-3),,(8-2-0),,,(0-0-0),(0-0-0),(0-0-0),(2-3-0),(11-5-1),(9-0-2)
,88,Stanford,Atlantic Coast,,20-13,115,,150,62,---,,16-2,164,8-Mar,56,3-Jan,64,,10-Dec,86,3-Aug,175,,0-4,1-Jan,5-Jan,6-Mar,2-Dec,Apr-00
,,,,,(20-13-0),,,,,,,(16-2-0),,(3-8-0),,(1-3-0),,,(12-10-0),,(8-3-0),,,(0-4-0),(1-1-0),(1-5-0),(3-6-0),(12-2-0),(4-0-0)
,89,Notre_Dame,Atlantic Coast,,15-18,120,,179,74,124,,5-Nov,163,9-Mar,95,4-Jan,41,,13-Sep,92,5-Jun,176,,0-4,0-4,0-8,4-Apr,6-Jun,May-00
,,,,,(13-17-3),,,,,,,(10-5-1),,(2-9-1),,(1-3-1),,,(7-13-2),,(6-4-1),,,(0-4-0),(0-4-0),(0-8-0),(4-3-1),(4-6-2),(5-0-0)
,90,Akron,Mid-American,,26-6,209,,231,123,84,,15-0,217,4-Aug,216,2-Mar,171,,20-1,240,5-Jun,151,,0-1,0-0,0-1,0-2,2-Aug,18-1
,,,,,(26-5-1),,,,,,,(15-0-0),,(8-3-1),,(3-2-0),,,(20-1-0),,(6-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-1-1),(8-2-0),(18-1-0)
,91,LSU,Southeastern,,14-18,101,,205,28,68,,7-Nov,151,8-Feb,31,3-Jan,53,,16-Mar,29,2-Nov,206,,0-8,7-Feb,15-Feb,3-Apr,Jan-00,Jul-00
,,,,,(13-18-1),,,,,,,(11-7-0),,(2-8-0),,(0-3-1),,,(3-16-0),,(10-2-1),,,(0-8-0),(2-7-0),(2-15-0),(3-3-1),(1-0-0),(7-0-0)
,92,Georgetown,Big East,,17-15,134,,199,60,---,,14-5,171,9-Mar,75,0-1,135,,13-Aug,76,2-Sep,245,,0-4,5-Apr,9-Apr,3-Feb,3-Jan,Oct-00
,,,,,(17-15-0),,,,,,,(14-5-0),,(3-9-0),,(0-1-0),,,(8-13-0),,(9-2-0),,,(0-4-0),(4-5-0),(4-9-0),(2-3-0),(1-3-0),(10-0-0)
,93,Florida_St,Atlantic Coast,,17-15,122,,166,70,118,,5-Nov,131,9-Feb,92,1-Apr,162,,13-Aug,89,2-Sep,185,,0-6,0-1,0-7,2-Apr,6-Sep,Apr-00
,,,,,(17-14-1),,,,,,,(11-5-0),,(2-8-1),,(4-1-0),,,(8-12-1),,(9-2-0),,,(0-6-0),(0-1-0),(0-7-0),(4-2-0),(9-5-1),(4-0-0)
,94,Minnesota,Big Ten,,15-17,94,,153,42,66,,9-Oct,121,5-May,46,0-3,83,,14-Jul,44,3-Aug,189,,0-7,1-Mar,8-Mar,7-May,2-Feb,May-00
,,,,,(14-14-4),,,,,,,(9-8-2),,(5-4-1),,(0-2-1),,,(6-12-3),,(8-2-1),,,(0-7-0),(2-0-2),(2-7-2),(5-6-1),(2-1-1),(5-0-0)
,95,UNLV,Mountain West,,18-15,133,,197,57,---,,5-Dec,148,7-May,118,3-Jan,116,,10-Dec,136,5-Jun,127,,0-0,11-Mar,11-Mar,3-Jan,May-00,1-Sep
,,,,,(18-15-0),,,,,,,(12-5-0),,(5-7-0),,(1-3-0),,,(12-10-0),,(6-5-0),,,(0-0-0),(3-11-0),(3-11-0),(1-3-0),(5-0-0),(9-1-0)
,96,Oregon_St,West Coast,,19-12,174,,241,98,77,,14-3,193,7-Mar,151,2-Feb,153,,9-Oct,160,3-Sep,197,,3-Jan,0-1,4-Jan,5-Feb,1-Mar,13-2
,,,,,(17-11-3),,,,,,,(13-3-1),,(3-6-1),,(1-2-1),,,(9-8-2),,(8-3-1),,,(0-3-1),(0-1-0),(0-4-1),(2-4-1),(2-1-1),(13-2-0)
,97,Troy,Sun Belt,,21-10,202,,238,128,---,,4-Sep,226,6-Sep,187,Mar-00,176,,16-5,220,5-May,165,,0-1,0-2,0-3,1-Feb,4-Jun,13-2
,,,,,(21-10-0),,,,,,,(9-4-0),,(9-6-0),,(3-0-0),,,(16-5-0),,(5-5-0),,,(0-1-0),(0-2-0),(0-3-0),(2-1-0),(6-4-0),(13-2-0)
,98,Providence,Big East,,20-Dec,107,,188,60,135,,6-Oct,131,9-Feb,80,0-5,87,,15-Jun,73,5-Jun,170,,4-Jan,8-Jan,12-Feb,4-Feb,4-Feb,Jun-00
,,,,,(11-20-1),,,,,,,(10-6-0),,(1-9-1),,(0-5-0),,,(5-15-1),,(6-5-0),,,(1-4-0),(1-8-0),(2-12-0),(2-4-0),(1-4-1),(6-0-0)
,99,UNC_Wilmington,Colonial Athletic,,25-7,205,,214,188,154,,13-3,203,4-Sep,213,Mar-00,182,,17-4,205,3-Aug,205,,0-1,0-0,0-1,0-0,3-Dec,13-3
,,,,,(24-6-2),,,,,,,(13-2-1),,(8-4-1),,(3-0-0),,,(16-3-2),,(8-3-0),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(11-2-2),(13-3-0)
,100,UAB,American Athletic,,21-12,173,,207,116,84,,14-4,198,5-May,140,3-Feb,149,,15-6,144,6-Jun,223,,0-0,0-3,0-3,3-Feb,4-Aug,2-Nov
,,,,,(21-11-1),,,,,,,(14-3-1),,(5-5-0),,(2-3-0),,,(15-6-0),,(6-5-1),,,(0-0-0),(0-3-0),(0-3-0),(2-2-1),(8-4-0),(11-2-0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,Georgia_Tech,Atlantic Coast,,17-16,130,,197,76,63,,14-5,171,9-Feb,80,2-Jan,55,,11-Nov,87,5-Jun,216,,3-Feb,0-3,6-Feb,6-Mar,3-Jun,1-Jun
,,,,,(15-16-2),,,,,,,(13-5-1),,(1-9-1),,(1-2-0),,,(9-11-2),,(6-5-0),,,(1-3-1),(0-3-0),(1-6-1),(3-6-0),(5-3-1),(6-1-0)
,102,St_Bonaventure,Atlantic 10,,21-11,160,,191,89,204,,3-Nov,183,7-Jul,155,1-Mar,96,,10-Oct,134,1-Nov,202,,0-0,3-Jan,3-Jan,2-Feb,5-Aug,1-Oct
,,,,,(21-10-1),,,,,,,(11-2-1),,(7-7-0),,(3-1-0),,,(10-9-1),,(11-1-0),,,(0-0-0),(1-3-0),(1-3-0),(2-2-0),(8-5-0),(10-0-1)
,103,Northern_Iowa,Missouri Valley,,19-12,159,,186,123,62,,13-3,174,5-May,154,4-Jan,125,,14-7,160,5-May,159,,0-0,0-0,0-0,5-Jan,5-Nov,2-Jul
,,,,,(19-11-1),,,,,,,(13-2-1),,(5-5-0),,(1-4-0),,,(14-6-1),,(5-5-0),,,(0-0-0),(0-0-0),(0-0-0),(1-4-1),(11-5-0),(7-2-0)
,104,N_Colorado,Big Sky,,22-9,213,,246,142,153,,2-Oct,246,6-Sep,197,1-Mar,179,,17-4,236,5-May,166,,0-1,0-0,0-1,0-1,5-Jun,16-2
,,,,,(21-8-2),,,,,,,(9-2-1),,(9-5-1),,(3-1-0),,,(16-4-1),,(5-4-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-1),(6-5-0),(15-2-1)
,105,Utah_Valley,Western Athletic,,23-8,209,,232,132,277,,1-Nov,206,6-Oct,202,1-Feb,260,,17-2,220,6-Jun,192,,0-0,0-0,0-0,3-Jan,4-Jul,15-1
,,,,,(21-8-2),,,,,,,(11-1-0),,(8-6-2),,(2-1-0),,,(15-2-2),,(6-6-0),,,(0-0-0),(0-0-0),(0-0-0),(1-3-0),(7-4-0),(13-1-2)
,106,St_Thomas_MN,Summit,,21-10,209,,235,157,143,,Nov-00,230,8-Jul,196,2-Mar,204,,14-5,222,5-Jul,189,,0-0,0-0,0-0,0-1,7-Jun,15-2
,,,,,(21-9-1),,,,,,,(11-0-0),,(7-7-1),,(3-2-0),,,(14-5-0),,(7-4-1),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(6-6-1),(15-2-0)
,107,Chattanooga,Southern,,22-9,208,,243,112,184,,3-Nov,223,5-Oct,192,1-Jan,215,,16-4,224,5-Jun,179,,0-1,0-0,0-1,0-3,3-Oct,2-Dec
,,,,,(21-7-3),,,,,,,(10-3-1),,(10-4-1),,(1-0-1),,,(15-2-3),,(6-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-3-0),(9-2-2),(12-1-1)
,108,California,Atlantic Coast,,14-19,122,,198,66,133,,6-Nov,178,11-Feb,55,2-Jan,95,,15-Jul,91,4-Jul,185,,0-4,0-2,0-6,9-Feb,4-Jul,May-00
,,,,,(12-17-4),,,,,,,(10-6-1),,(2-9-2),,(0-2-1),,,(5-13-4),,(7-4-0),,,(0-4-0),(0-2-0),(0-6-0),(2-8-1),(5-3-3),(5-0-0)
,109,Virginia,Atlantic Coast,,15-17,111,,176,53,---,,7-Oct,146,7-Apr,82,3-Jan,41,,13-Aug,87,4-Jul,156,,0-7,2-Jan,9-Jan,4-Mar,4-May,Jun-00
,,,,,(15-17-0),,,,,,,(10-7-0),,(4-7-0),,(1-3-0),,,(8-13-0),,(7-4-0),,,(0-7-0),(1-2-0),(1-9-0),(3-4-0),(5-4-0),(6-0-0)
,110,S_Dakota_St,Summit,,17-12,191,,229,138,---,,1-Oct,240,8-Apr,173,3-Mar,138,,6-Nov,222,6-Jun,147,,0-1,0-1,0-2,2-Jan,5-Apr,3-Dec
,,,,,(17-12-0),,,,,,,(10-1-0),,(4-8-0),,(3-3-0),,,(11-6-0),,(6-6-0),,,(0-1-0),(0-1-0),(0-2-0),(1-2-0),(4-5-0),(12-3-0)
,111,Oklahoma_St,Big 12,,15-17,98,,160,43,---,,3-Dec,116,10-Feb,77,4-Jan,96,,14-Jun,42,3-Sep,191,,7-Jan,0-3,10-Jan,6-Jun,1-Mar,May-00
,,,,,(15-17-0),,,,,,,(12-3-0),,(2-10-0),,(1-4-0),,,(6-14-0),,(9-3-0),,,(1-7-0),(0-3-0),(1-10-0),(6-6-0),(3-1-0),(5-0-0)
,112,G_Washington,Atlantic 10,,20-12,190,,227,122,154,,4-Dec,204,7-May,174,1-Mar,178,,10-Oct,147,2-Oct,261,,0-0,0-1,0-1,5-Jan,2-May,14-4
,,,,,(20-10-2),,,,,,,(12-4-0),,(5-5-2),,(3-1-0),,,(10-9-1),,(10-1-1),,,(0-0-0),(0-1-0),(0-1-0),(1-4-1),(5-2-0),(14-3-1)
,113,FL_Atlantic,American Athletic,,17-15,153,,207,98,100,,5-Jul,159,8-Jun,146,2-Apr,156,,9-Nov,157,6-Jun,145,,0-1,0-2,0-3,6-Jan,5-Jul,1-Sep
,,,,,(16-14-2),,,,,,,(7-5-0),,(6-7-1),,(3-2-1),,,(11-9-0),,(5-5-2),,,(0-1-0),(0-2-0),(0-3-0),(0-6-1),(7-4-1),(9-1-0)
,114,St_Louis,Atlantic 10,,17-14,137,,179,91,106,,3-Dec,152,9-Apr,126,2-Jan,111,,8-Dec,124,6-May,161,,0-0,1-Jan,1-Jan,7-Jan,6-Aug,Jul-00
,,,,,(16-13-2),,,,,,,(11-2-2),,(4-9-0),,(1-2-0),,,(11-7-2),,(5-6-0),,,(0-0-0),(1-1-0),(1-1-0),(1-6-1),(7-6-1),(7-0-0)
,115,MTSU,Conference USA,,20-11,153,,182,104,163,,4-Sep,159,6-Aug,147,1-Mar,154,,13-7,158,4-Jul,144,,0-1,0-0,0-1,3-Feb,7-Nov,Jul-00
,,,,,(17-11-3),,,,,,,(9-4-0),,(7-6-1),,(1-1-2),,,(11-7-2),,(6-4-1),,,(0-1-0),(0-0-0),(0-1-0),(2-3-0),(8-7-3),(7-0-0)
,116,Washington_St,West Coast,,19-14,150,,196,71,278,,4-Oct,165,7-Apr,140,3-May,135,,11-Sep,152,3-Oct,147,,0-4,Jan-00,4-Jan,7-Mar,1-Apr,2-Nov
,,,,,(19-13-1),,,,,,,(10-3-1),,(4-7-0),,(5-3-0),,,(9-10-1),,(10-3-0),,,(0-4-0),(1-0-0),(1-4-0),(3-7-0),(4-1-0),(11-1-1)
,117,North_Alabama,Atlantic Sun,,22-10,230,,270,142,202,,14-1,243,9-Jul,209,Jan-00,347,,16-5,237,5-Jun,216,,0-1,0-0,0-1,2-Jan,5-Apr,17-2
,,,,,(21-9-2),,,,,,,(13-0-2),,(7-9-0),,(1-0-0),,,(15-5-1),,(6-4-1),,,(0-1-0),(0-0-0),(0-1-0),(1-2-0),(4-4-1),(16-2-1)
,118,NC_State,Atlantic Coast,,19-Dec,123,,220,69,93,,6-Dec,155,0-11,90,0-2,20,,15-May,85,4-Jul,191,,0-6,0-3,0-9,3-Apr,7-Jan,Jul-00
,,,,,(11-19-1),,,,,,,(11-6-1),,(0-11-0),,(0-2-0),,,(4-15-1),,(7-4-0),,,(0-6-0),(0-3-0),(0-9-0),(3-3-1),(1-7-0),(7-0-0)
,119,Illinois_St,Missouri Valley,,18-14,167,,188,141,129,,4-Nov,190,7-May,157,3-Feb,124,,11-Nov,163,3-Jul,175,,0-0,0-0,0-0,4-Feb,7-Aug,3-Aug
