Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,14,Arizona,Big 12,,22-12,74,,108,19,28,,13-3,111,5-Jul,37,4-Feb,50,,15-8,38,4-Jul,149,,8-May,3-Mar,11-Aug,1-Jul,Mar-00,Apr-00
,,,,,(21-11-2),,,,,,,(12-3-1),,(7-5-0),,(2-3-1),,,(14-7-2),,(7-4-0),,,(4-8-1),(3-2-1),(7-10-2),(7-1-0),(3-0-0),(4-0-0)
,15,Kentucky,Southeastern,,22-11,71,,98,26,5,,15-3,109,7-Apr,27,1-Mar,23,,9-Nov,31,2-Nov,132,,5-Aug,5-Mar,10-Nov,1-Apr,Feb-00,May-00
,,,,,(21-11-1),,,,,,,(15-3-0),,(4-7-0),,(2-1-1),,,(11-9-0),,(10-2-1),,,(7-5-1),(3-5-0),(10-10-1),(4-1-0),(2-0-0),(5-0-0)
,16,Missouri,Southeastern,,22-11,103,,141,24,54,,18-2,151,8-Mar,28,1-Jan,28,,9-Nov,34,2-Nov,208,,6-Mar,4-Jun,10-Sep,1-Mar,Feb-00,Aug-00
,,,,,(22-10-1),,,,,,,(18-2-0),,(3-7-1),,(1-1-0),,,(11-8-1),,(11-2-0),,,(3-6-0),(6-4-0),(9-10-0),(3-0-1),(2-0-0),(8-0-0)
,17,Kansas,Big 12,,21-12,68,,92,30,36,,14-3,95,8-Apr,45,1-Mar,24,,10-Oct,44,2-Nov,105,,7-Apr,3-Jan,10-May,2-Oct,Apr-00,Feb-00
,,,,,(20-11-2),,,,,,,(14-2-1),,(4-8-0),,(2-1-1),,,(9-9-2),,(11-2-0),,,(4-6-1),(1-3-0),(5-9-1),(9-2-1),(4-0-0),(2-0-0)
,18,Clemson,Atlantic Coast,,27-6,109,,124,30,69,,15-2,128,4-Sep,95,Mar-00,61,,19-3,92,3-Aug,143,,2-Feb,2-Jan,4-Mar,1-Oct,1-Nov,Mar-00
,,,,,(26-3-4),,,,,,,(15-0-2),,(8-3-2),,(3-0-0),,,(18-2-2),,(8-1-2),,,(2-2-0),(1-1-1),(3-3-1),(9-0-2),(11-0-1),(3-0-0)
,19,Marquette,Big East,,23-10,94,,123,30,72,,14-3,125,7-Jul,65,Feb-00,39,,14-8,75,2-Sep,132,,4-Mar,5-May,9-Aug,1-Jul,Feb-00,Jun-00
,,,,,(22-9-2),,,,,,,(14-2-1),,(6-7-1),,(2-0-0),,,(13-7-2),,(9-2-0),,,(3-3-1),(5-5-0),(8-8-1),(7-1-0),(1-0-1),(6-0-0)
