,Elite 8,Rk,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ind,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC
22,0,5.8664680569332965,4.51085950651685,3.332204510175204,4.782479200958502,4.570578741218473,1,0.65289793865226,4.028916756899646,3.824284091120139,2.89591193827178,2.7788192719904172,3.4995332823830174,3.295836866004329,3.5667118201397288,3.370738174177447,4.012772908528289,3.8155121050473024,3.6584202466292277,3.4436180975461075,3.6000482404073204,3.517497837358316,4.223909766576744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,0,5.863631175598097,4.605170185988092,3.367295829986474,4.777441406928545,4.56746831880408,1,0.6519605362296954,3.9589065913269965,3.8877303128591016,2.91235066461494,3.0106208860477417,3.5890591188317256,3.295836866004329,3.754198920234579,3.543853682063679,3.927896354584436,3.903990833730882,3.6189933266497696,3.4688560301359703,3.5610460826040513,3.7256934272366524,4.283586561860629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,5.860786223465865,4.59511985013459,3.332204510175204,4.798266815950004,4.592084946439436,0,0.6505006058384728,4.01096295328305,3.8979240810486444,2.8622008809294686,2.91235066461494,3.4372078191851885,3.417726683613366,3.730501128804756,3.40452517175483,3.9926809084456005,3.8691155044168695,3.6506582412937387,3.5667118201397288,3.5524868292083815,3.4468078929142076,4.206184043977636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,5.857933154483459,4.574710978503383,3.332204510175204,4.812997033190408,4.61015772749913,0,0.6489862847741755,4.089332020398556,3.927896354584436,3.0252910757955354,2.990719731730447,3.6428355156125294,3.407841924380824,3.5524868292083815,3.4404180948154366,4.044804116661965,3.912023005428146,3.751854253275325,3.563882963939251,3.7328963395307104,3.4719664525503626,4.242764567340374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,5.855071922202427,4.61512051684126,3.4339872044851463,4.788324729085938,4.585987366571318,0,0.6485158564143514,3.975936331171799,3.910021002757473,2.8390784635086144,3.054001181677967,3.55820113047182,3.449987545831587,3.720862499966987,3.4965075614664802,3.9815490680767565,3.8522730010223722,3.5667118201397288,3.616308761279101,3.563882963939251,3.55820113047182,4.235554730773624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,0,5.8522024797744745,4.51085950651685,2.995732273553991,4.755312844417811,4.557029810660157,0,0.6468937960424833,3.9871304779149512,3.7864597824528,2.8791984572980396,2.7212954278522306,3.339321977944068,3.4111477125153233,3.708682081410116,3.5667118201397288,3.933784497209659,3.775057150354989,3.6686767467964168,3.414442608412176,3.6635616461296463,3.4531571205928664,4.229749199228304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,5.849324779946859,4.59511985013459,3.367295829986474,4.74406218485471,4.546481189639412,0,0.6462651946598148,3.955082494888593,3.879499813722586,2.91235066461494,3.077312260546414,3.5779478934066544,3.407841924380824,3.66612246699132,3.505557396986398,3.9569963710708773,3.8416005411316,3.55820113047182,3.535145354171894,3.6454498961866,3.716008121502189,4.22683374526818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0,5.846438775057725,4.584967478670572,3.258096538021482,4.811371016571989,4.61512051684126,0,0.645793484176475,4.001863709427935,3.9219733362813143,2.72785282839839,2.91235066461494,3.5322256440685598,3.5751506887855933,3.728100167267218,3.269568939183719,3.9512437185814275,3.910021002757473,3.676300671907076,3.5553480614894135,3.711130063048756,3.4210000089583352,4.231203744939298,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,5.84354441703136,4.584967478670572,3.1780538303479458,4.812997033190408,4.617098756853365,0,0.6454264443485336,4.062165663857866,3.927896354584436,2.8154087194227095,2.8791984572980396,3.3032169733019514,3.4372078191851885,3.299533727885655,3.254242968705492,4.055257173514054,3.9219733362813143,3.681351187693145,3.5409593240373143,3.586292865338835,3.6000482404073204,4.283586561860629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,5.840641657373398,4.564348191467836,3.258096538021482,4.768988271217486,4.582924577040772,0,0.6401682557690587,4.000033882750859,3.8543938925915096,2.954910279033736,2.833213344056216,3.58351893845611,3.254242968705492,3.8022081394209395,3.4111477125153233,3.9740583963475986,3.8437441646748516,3.66612246699132,3.484312288372662,3.414442608412176,3.475067230228611,4.237000862623624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0,5.8377304471659395,4.584967478670572,3.1780538303479458,4.73795129722191,4.552823705615882,0,0.6399573520458262,3.9740583963475986,3.8133070324889884,2.928523523860541,2.714694743820879,3.5085558999826545,3.269568939183719,3.754198920234579,3.6506582412937387,3.9531649487593215,3.7495040759303713,3.6189933266497696,3.5751506887855933,3.5467396869528134,3.3141860046725258,4.232656178019613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,0,5.834810737062605,4.564348191467836,3.258096538021482,4.722953221644475,4.537961436294641,0,0.6395354111112962,3.927896354584436,3.8372994592322094,3.0155349008501706,3.0204248861443626,3.5751506887855933,3.459466289786131,3.7232808808312687,3.5496173867804286,3.9080149840306073,3.8133070324889884,3.5751506887855933,3.487375077903208,3.4242626545931514,3.5263605246161616,4.255612709818223,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,5.831882477283517,0.6931471805599453,3.258096538021482,4.7808027546312495,4.59511985013459,0,0.6394298980539574,4.030694535145645,3.8628327612373745,2.9856819377004897,2.9601050959108397,3.742420221041966,3.3843902633457743,3.5496173867804286,3.4468078929142076,3.979681653901961,3.8199077165203406,3.7612001156935624,3.529297384289471,3.3250360206965914,3.713572066704308,4.200204952921578,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,5.8289456176102075,4.553876891600541,3.1354942159291497,4.758749273916392,4.582924577040772,0,0.6340339160674388,3.9569963710708773,3.8918202981106265,2.760009940032921,2.9856819377004897,3.493472657771326,3.475067230228611,3.5263605246161616,3.258096538021482,3.906004933102583,3.906004933102583,3.648057459593681,3.475067230228611,3.597312260588446,3.6686767467964168,4.247065649239764,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,5.82600010738045,4.532599493153256,3.1354942159291497,4.788324729085938,4.613138355637268,0,0.6336094678437489,3.9815490680767565,3.9259259105971376,2.740840023925201,2.975529566236472,3.502549875922443,3.349904087274605,3.696351468952637,3.6054978451748854,3.929862923556477,3.914021008090819,3.696351468952637,3.5496173867804286,3.449987545831587,3.6189933266497696,4.238444906195857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,5.823045895483019,0.6931471805599453,3.367295829986474,4.784152841516532,4.611152257665639,0,0.6320693310513549,4.084294226368599,3.8543938925915096,2.797281334830153,2.803360380906535,3.427514689979529,3.3214324131932926,3.4011973816621555,3.2228678461377385,4.050044303325521,3.824284091120139,3.7376696182833684,3.517497837358316,3.6838669122903918,3.484312288372662,4.136765278106052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,5.820082930352362,4.574710978503383,3.295836866004329,4.762173934797756,4.590056548178043,0,0.6312717768418578,4.028916756899646,3.8607297110405954,2.990719731730447,2.856470206220483,3.40452517175483,3.4307561839036995,3.6375861597263857,3.332204510175204,4.039536325727106,3.8394523125933104,3.616308761279101,3.4995332823830174,3.6712245188752153,3.586292865338835,4.220977213155467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,5.817111159963204,4.5217885770490405,3.1780538303479458,4.7318028369214575,4.5612182984589085,0,0.630526818578278,3.9318256327243257,3.877431560658527,2.9496883350525844,3.0633909220278057,3.5409593240373143,3.591817741270805,3.594568774642695,3.367295829986474,3.8753590210565547,3.893859034800475,3.6109179126442243,3.456316680883235,3.763522997109702,3.7062280924485496,4.183575695950044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,5.814130531825066,4.5217885770490405,3.258096538021482,4.735320870453137,4.566429357671661,0,0.6298345743481794,3.9512437185814275,3.9160150266976834,2.8507065015037334,3.109060958860994,3.5322256440685598,3.3568971227655755,3.502549875922443,3.632309102625542,3.933784497209659,3.903990833730882,3.5890591188317256,3.5467396869528134,3.535145354171894,3.4436180975461075,4.254193263163997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,5.811140992976701,4.59511985013459,3.295836866004329,4.7664383335842135,4.599152113662528,0,0.6287153204005564,4.027135812528651,3.8918202981106265,2.954910279033736,2.791165107812717,3.407841924380824,3.3603753871419,3.6609942506244004,3.1780538303479458,4.034240638152395,3.817712325956905,3.6189933266497696,3.6402142821326553,3.6454498961866,3.493472657771326,4.204692619390966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,0,5.808142489980444,4.574710978503383,3.091042453358316,4.786658062033468,4.620058798481842,0,0.6277549617928931,3.9627161197436642,3.955082494888593,2.975529566236472,3.0349529867072724,3.713572066704308,3.3945083935113587,3.6788291182604347,3.6788291182604347,3.927896354584436,3.914021008090819,3.648057459593681,3.634951112088381,3.380994674344636,3.5496173867804286,4.212127597878484,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,5.805134968916488,4.532599493153256,3.258096538021482,4.722063937459591,4.560172820057356,0,0.6245470890676884,3.960813169597578,3.817712325956905,2.8507065015037334,2.954910279033736,3.3877743613300146,3.40452517175483,3.4210000089583352,3.594568774642695,3.929862923556477,3.7612001156935624,3.624340932976365,3.5145260669691587,3.543853682063679,3.616308761279101,4.203198967134183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,5.802118375377063,0.6931471805599453,3.091042453358316,4.716711560720999,4.557029810660157,0,0.6226710667556209,3.901972669574645,3.8649313978942956,2.833213344056216,2.975529566236472,3.5234150143864045,3.417726683613366,3.7013019741124933,3.6027767550605247,3.910021002757473,3.8155121050473024,3.493472657771326,3.563882963939251,3.6375861597263857,3.502549875922443,4.248495242049359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,0,5.799092654460526,4.5217885770490405,3.044522437723423,4.752727750345706,4.594109238628667,0,0.6222417670441711,3.9531649487593215,3.9318256327243257,2.917770732084279,2.884800712846709,3.634951112088381,3.349904087274605,3.6136169696133895,3.5085558999826545,3.9396381724611196,3.899950424193877,3.58351893845611,3.594568774642695,3.4531571205928664,3.5667118201397288,4.1956970564823886,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,5.796057750765372,4.532599493153256,3.1354942159291497,4.718498871295094,4.560172820057356,0,0.6215974717198695,3.9180050771056933,3.8416005411316,2.8507065015037334,3.0587070727153796,3.629660094453965,3.4531571205928664,3.5322256440685598,3.332204510175204,3.885679030088544,3.744787086052232,3.5779478934066544,3.6027767550605247,3.6270040503958487,3.5890591188317256,4.191168746857641,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,5.793013608384144,4.543294782270004,3.367295829986474,4.754451888703846,4.602165676967792,0,0.6177768735351687,3.955082494888593,3.893859034800475,2.72785282839839,2.8390784635086144,3.3775875160230218,3.288401887516811,3.648057459593681,3.258096538021482,3.975936331171799,3.9160150266976834,3.517497837358316,3.4688560301359703,3.6000482404073204,3.7495040759303713,4.2626798770413155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,5.7899601708972535,0.6931471805599453,3.044522437723423,4.742320024135325,4.589040804058207,0,0.6177768735351687,4.00369019395397,3.912023005428146,2.8390784635086144,2.917770732084279,3.342861804649192,3.299533727885655,3.6506582412937387,3.5409593240373143,4.0163830207523885,3.8815637979434374,3.5890591188317256,3.572345637857985,3.6788291182604347,3.5496173867804286,4.268297869345539,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,5.786897381366708,4.564348191467836,3.044522437723423,4.73444252169223,4.585987366571318,0,0.6149153322903715,3.919991175077323,3.885679030088544,2.797281334830153,2.970414465569701,3.456316680883235,3.4965075614664802,3.7013019741124933,3.673765816303888,3.901972669574645,3.845883202923601,3.55820113047182,3.56953269648137,3.616308761279101,3.5234150143864045,4.1956970564823886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,5.783825182329737,0.6931471805599453,3.367295829986474,4.686750172980514,4.541164856012179,0,0.6123166626453966,3.9454577815143836,3.817712325956905,2.995732273553991,2.970414465569701,3.5890591188317256,3.250374491927572,3.586292865338835,3.681351187693145,3.8979240810486444,3.7495040759303713,3.624340932976365,3.5524868292083815,3.6686767467964168,3.5115454388310208,4.213607983048918,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,5.780743515792329,4.553876891600541,3.1354942159291497,4.705015520957808,4.5591262474866845,0,0.6121540213504134,3.901972669574645,3.893859034800475,2.89591193827178,2.975529566236472,3.529297384289471,3.3568971227655755,3.6635616461296463,3.543853682063679,3.8628327612373745,3.824284091120139,3.580737295494233,3.648057459593681,3.5610460826040513,3.4011973816621555,4.162003210695915,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,5.777652323222656,0.6931471805599453,3.367295829986474,4.761318868478023,4.616110126026426,0,0.6118286593823569,3.9473901492654373,3.906004933102583,2.8622008809294686,2.917770732084279,3.5667118201397288,3.3638415951183864,3.6913763343125234,3.332204510175204,3.899950424193877,3.8958936234982624,3.6402142821326553,3.5263605246161616,3.529297384289471,3.6027767550605247,4.209160236650682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,5.7745515455444085,0.6931471805599453,3.091042453358316,4.751000634199631,4.609162207257629,0,0.6090044124475172,3.927896354584436,3.914021008090819,2.8735646395797834,2.747270914255491,3.6506582412937387,3.339321977944068,3.487375077903208,3.487375077903208,3.899950424193877,3.9219733362813143,3.6027767550605247,3.4965075614664802,3.3603753871419,3.449987545831587,4.21803603456465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,5.771441123130016,0.6931471805599453,3.295836866004329,4.663439094112067,4.525044141508807,0,0.6061721665455383,3.8753590210565547,3.7727609380946383,2.9652730660692823,2.9444389791664403,3.5524868292083815,3.339321977944068,3.7727609380946383,3.475067230228611,3.856510295497887,3.751854253275325,3.5145260669691587,3.414442608412176,3.520460802488973,3.5890591188317256,4.189654742026425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,0,5.768320995793772,0.6931471805599453,2.8903717578961645,4.703203926259457,4.565389315976247,0,0.6061721665455383,3.883623530906448,3.912023005428146,3.0587070727153796,3.0819099697950434,3.6375861597263857,3.4657359027997265,3.7727609380946383,3.7232808808312687,3.906004933102583,3.9396381724611196,3.4339872044851463,3.4657359027997265,3.4688560301359703,3.6189933266497696,4.215086179918229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
