,Elite 8,Rk,Seed,Win,AdjOE,AdjDE,AdjOD,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,Conf_A10,Conf_ACC,Conf_AE,Conf_ASun,Conf_Amer,Conf_B10,Conf_B12,Conf_BE,Conf_BSky,Conf_BSth,Conf_BW,Conf_CAA,Conf_CUSA,Conf_Horz,Conf_Ind,Conf_Ivy,Conf_MAAC,Conf_MAC,Conf_MEAC,Conf_MVC,Conf_MWC,Conf_NEC,Conf_OVC,Conf_P12,Conf_Pat,Conf_SB,Conf_SC,Conf_SEC,Conf_SWAC,Conf_Slnd,Conf_Sum,Conf_WAC,Conf_WCC
949,0,5.517452896464707,4.624972813284271,2.8903717578961645,4.705015520957808,4.666265285347902,0,0.4766067803793075,3.9512437185814275,3.9396381724611196,2.9652730660692823,2.8449093838194073,3.5234150143864045,3.242592351485517,3.5496173867804286,3.5263605246161616,3.9080149840306073,3.9160150266976834,3.616308761279101,3.58351893845611,3.696351468952637,3.597312260588446,4.204692619390966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
951,0,5.5134287461649825,4.624972813284271,3.044522437723423,4.665324108807838,4.628886712605407,0,0.4725628516406584,3.8979240810486444,3.912023005428146,2.9806186357439426,2.9806186357439426,3.6375861597263857,3.299533727885655,3.8416005411316,3.8732821771117156,3.9160150266976834,3.879499813722586,3.4531571205928664,3.563882963939251,3.3068867021909143,3.703768066607687,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
953,0,5.5093883366279774,4.624972813284271,3.091042453358316,4.6434288981051814,4.607168188650764,0,0.4721263746267143,3.9318256327243257,3.8088822465086327,3.039749158970765,2.791165107812717,3.493472657771326,3.3105430133940246,3.4242626545931514,3.7184382563554808,3.8958936234982624,3.751854253275325,3.6000482404073204,3.517497837358316,3.580737295494233,3.529297384289471,4.213607983048918,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,0,5.5053315359323625,4.624972813284271,2.995732273553991,4.620058798481842,4.584967478670572,0,0.4713152686705316,3.8416005411316,3.858622228701031,2.917770732084279,3.0492730404820207,3.597312260588446,3.2809112157876537,3.55820113047182,3.6788291182604347,3.817712325956905,3.8066624897703196,3.5085558999826545,3.543853682063679,3.349904087274605,3.66612246699132,4.130354999745133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,0,5.501258210544727,4.624972813284271,3.091042453358316,4.6913478822291435,4.65586330030361,0,0.47037855895080877,3.9646154555473165,3.955082494888593,2.9601050959108397,2.917770732084279,3.5263605246161616,3.202746442938317,3.5380565643793527,3.4781584227982836,3.937690752176724,3.9454577815143836,3.6402142821326553,3.5751506887855933,3.3357695763397,3.7932394694381792,4.177459468932607,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,0,5.497168225293202,4.624972813284271,2.8903717578961645,4.697749367281185,4.662495252607361,0,0.47025359800094296,4.014579593753238,3.955082494888593,2.970414465569701,2.7212954278522306,3.4011973816621555,3.2771447329921766,3.6712245188752153,3.339321977944068,4.018183201256536,3.975936331171799,3.6136169696133895,3.505557396986398,3.6375861597263857,3.4242626545931514,4.216562194946349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,0,5.493061443340548,4.624972813284271,2.833213344056216,4.679349584162343,4.6443908991413725,0,0.47025359800094296,3.9080149840306073,3.92395157629342,2.9391619220655967,2.970414465569701,3.3357695763397,3.3357695763397,3.845883202923601,3.735285826928092,3.8753590210565547,3.8897773964808264,3.634951112088381,3.580737295494233,3.0007198150650303,3.6838669122903918,4.213607983048918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
963,0,5.488937726156687,4.624972813284271,2.8903717578961645,4.675628649636653,4.640537329825382,0,0.46931589280923763,3.977810745966149,3.966511190712216,2.8273136219290276,2.995732273553991,2.9601050959108397,3.2386784521643803,3.2188758248682006,3.5890591188317256,3.8897773964808264,3.9180050771056933,3.6712245188752153,3.6635616461296463,3.8691155044168695,3.517497837358316,4.155753190350744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
965,0,5.484796933490655,4.624972813284271,3.044522437723423,4.681204872264089,4.647271362006727,0,0.4675004990276171,4.032469158504013,3.9357395320454622,3.0349529867072724,2.975529566236472,3.186352633162641,3.2228678461377385,3.4965075614664802,3.370738174177447,3.996364153861897,3.912023005428146,3.6938669956249757,3.5779478934066544,3.66612246699132,3.6712245188752153,4.258445572902527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
967,0,5.480638923341991,4.624972813284271,2.772588722239781,4.724729421045731,4.6913478822291435,0,0.4663093136574639,3.9589065913269965,4.032469158504013,2.72785282839839,2.9601050959108397,3.2347491740244907,3.502549875922443,3.493472657771326,3.4307561839036995,3.906004933102583,4.041295341132285,3.6270040503958487,3.6216707044204863,3.8022081394209395,3.735285826928092,4.26689632742025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
970,0,5.476463551931511,4.477336814478207,3.1354942159291497,4.711330381816482,4.679349584162343,0,0.464865451389612,3.996364153861897,3.9318256327243257,2.8622008809294686,2.9444389791664403,3.332204510175204,3.4995332823830174,3.4657359027997265,3.5380565643793527,3.9180050771056933,3.885679030088544,3.7062280924485496,3.6136169696133895,3.713572066704308,3.597312260588446,4.268297869345539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
972,0,5.472270673671475,4.624972813284271,3.044522437723423,4.690430029938915,4.660604892876192,0,0.4601426693988601,3.9219733362813143,3.9357395320454622,3.0106208860477417,2.8449093838194073,3.517497837358316,3.3105430133940246,3.6270040503958487,3.32862668882732,3.8416005411316,3.910021002757473,3.6402142821326553,3.594568774642695,3.6712245188752153,3.5085558999826545,4.198704577546343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,0,5.4680601411351315,4.624972813284271,3.1780538303479458,4.666265285347902,4.637637376125593,0,0.46001642271266785,3.9627161197436642,3.8543938925915096,2.928523523860541,2.8449093838194073,3.1654750481410856,3.3568971227655755,3.6506582412937387,3.6988297849671046,3.9454577815143836,3.8437441646748516,3.586292865338835,3.4781584227982836,3.8522730010223722,3.572345637857985,4.302712827954156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
976,0,5.4638318050256105,4.624972813284271,3.1780538303479458,4.6709579265260945,4.642465970731788,0,0.45894268188631065,4.009149716158869,3.977810745966149,2.833213344056216,3.1612467120315646,3.2347491740244907,3.342861804649192,3.580737295494233,3.4719664525503626,3.966511190712216,3.960813169597578,3.6888794541139363,3.6054978451748854,3.591817741270805,3.673765816303888,4.237000862623624,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,0,5.459585514144159,4.624972813284271,3.044522437723423,4.653007515402251,4.623991940228679,0,0.4583105306546896,3.9889840465642745,3.912023005428146,3.044522437723423,3.0349529867072724,3.4307561839036995,3.40452517175483,3.5524868292083815,3.713572066704308,3.9945242269398897,3.919991175077323,3.58351893845611,3.5085558999826545,3.629660094453965,3.8501476017100584,4.237000862623624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
980,0,5.455321115357702,4.624972813284271,3.1354942159291497,4.628886712605407,4.604169685654508,0,0.45196694175958424,3.899950424193877,3.8877303128591016,2.954910279033736,3.086486636822455,3.40452517175483,3.3638415951183864,3.763522997109702,3.484312288372662,3.8877303128591016,3.877431560658527,3.5263605246161616,3.5115454388310208,3.5553480614894135,3.5667118201397288,4.248495242049359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
982,0,5.4510384535657,4.624972813284271,2.772588722239781,4.631812116934513,4.607168188650764,0,0.4511393115993389,3.822098297900159,3.8815637979434374,3.0301337002713233,2.990719731730447,3.6506582412937387,3.4372078191851885,3.4719664525503626,3.4719664525503626,3.817712325956905,3.8628327612373745,3.4404180948154366,3.517497837358316,3.265759410767051,3.6506582412937387,4.212127597878484,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,0,5.44673737166631,4.624972813284271,2.8903717578961645,4.730039168033961,4.7059200890882344,0,0.4505022065828856,4.046553898385752,3.975936331171799,2.91235066461494,2.740840023925201,3.2809112157876537,3.3463891451671604,3.681351187693145,3.586292865338835,4.039536325727106,3.9512437185814275,3.6584202466292277,3.6136169696133895,3.7400477406883357,3.735285826928092,4.272490747605575,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,0,5.442417710521793,4.624972813284271,3.258096538021482,4.684905154006945,4.661550519424199,0,0.4504384737508955,3.977810745966149,3.9357395320454622,3.039749158970765,3.0155349008501706,3.563882963939251,3.4468078929142076,3.4372078191851885,3.5779478934066544,3.9396381724611196,3.883623530906448,3.6375861597263857,3.6216707044204863,3.6838669122903918,3.634951112088381,4.219507705176107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
988,0,5.438079308923196,4.624972813284271,3.044522437723423,4.670021158307708,4.646312129319266,0,0.4497371443842676,3.9684033388642534,3.9160150266976834,2.975529566236472,2.9856819377004897,3.4657359027997265,3.349904087274605,3.7495040759303713,3.756538102587751,3.9259259105971376,3.927896354584436,3.655839600035736,3.4965075614664802,3.5085558999826545,3.5779478934066544,4.223909766576744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
990,0,5.43372200355424,4.624972813284271,2.772588722239781,4.678420647727684,4.6549122778829055,0,0.4490353228095392,3.979681653901961,3.9160150266976834,2.954910279033736,2.8213788864092133,3.254242968705492,3.3250360206965914,3.586292865338835,3.5467396869528134,3.9318256327243257,3.885679030088544,3.6635616461296463,3.56953269648137,3.6136169696133895,3.648057459593681,4.215086179918229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
992,0,5.429345628954441,4.624972813284271,3.044522437723423,4.680277658474897,4.659658371272161,0,0.445326641533295,3.9180050771056933,3.903990833730882,2.9806186357439426,2.7212954278522306,3.484312288372662,3.2386784521643803,3.7062280924485496,3.3568971227655755,3.901972669574645,3.899950424193877,3.5610460826040513,3.517497837358316,3.3568971227655755,3.6270040503958487,4.242764567340374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,0,5.424950017481403,4.465908118654584,3.1354942159291497,4.7059200890882344,4.684905154006945,0,0.445326641533295,3.9627161197436642,3.933784497209659,2.9338568698359038,2.9231615807191558,3.459466289786131,3.427514689979529,3.716008121502189,3.520460802488973,3.949318790171843,3.9219733362813143,3.586292865338835,3.55820113047182,3.720862499966987,3.7062280924485496,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
996,0,5.420534999272286,4.624972813284271,2.772588722239781,4.704110133842995,4.685828089005546,0,0.4405748185549233,3.9396381724611196,3.9318256327243257,2.9444389791664403,2.8154087194227095,3.5524868292083815,3.380994674344636,3.520460802488973,3.591817741270805,3.92395157629342,3.885679030088544,3.5667118201397288,3.591817741270805,3.6938669956249757,3.8088822465086327,4.138361447638875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
998,0,5.41610040220442,4.624972813284271,2.5649493574615367,4.661550519424199,4.6434288981051814,0,0.4405104498509651,3.9627161197436642,3.9926809084456005,3.0492730404820207,2.9014215940827497,3.2809112157876537,3.2268439945173775,3.4210000089583352,3.703768066607687,3.914021008090819,3.9926809084456005,3.648057459593681,3.594568774642695,3.6216707044204863,3.5890591188317256,4.279440045898781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,5.4116460518550396,4.624972813284271,2.772588722239781,4.7086288943563215,4.6913478822291435,0,0.4390288249463051,3.9945242269398897,4.012772908528289,2.975529566236472,2.928523523860541,3.2846635654062037,3.353406717825807,3.6712245188752153,3.529297384289471,3.977810745966149,3.9569963710708773,3.6216707044204863,3.6988297849671046,3.7612001156935624,3.673765816303888,4.241326752570746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,0,5.407171771460119,4.624972813284271,2.8903717578961645,4.657762636107262,4.642465970731788,0,0.4339229809246487,3.9454577815143836,3.8958936234982624,3.0349529867072724,2.917770732084279,3.5322256440685598,3.407841924380824,3.6454498961866,3.7819143200811256,3.9589065913269965,3.845883202923601,3.5263605246161616,3.586292865338835,3.655839600035736,3.5890591188317256,4.276666119016055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,0,5.402677381872279,4.624972813284271,2.9444389791664403,4.653007515402251,4.638604962074329,0,0.43262621617053715,3.9721769282478934,3.903990833730882,2.8678989020441064,2.766319109226186,3.2268439945173775,3.3214324131932926,3.456316680883235,3.3105430133940246,3.949318790171843,3.9080149840306073,3.6027767550605247,3.502549875922443,3.8394523125933104,3.6988297849671046,4.231203744939298,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,0,5.3981627015177525,4.465908118654584,3.2188758248682006,4.677490847567717,4.663439094112067,0,0.4324964471591949,3.977810745966149,3.9259259105971376,2.9856819377004897,2.8903717578961645,3.4719664525503626,3.3105430133940246,3.624340932976365,3.449987545831587,3.9627161197436642,3.9357395320454622,3.6027767550605247,3.5085558999826545,3.770459441106359,3.5409593240373143,4.232656178019613,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,0,5.393627546352362,4.477336814478207,3.1354942159291497,4.664382045619937,4.651099117876491,0,0.4296372600791496,3.8958936234982624,3.933784497209659,2.9391619220655967,2.995732273553991,3.66612246699132,3.427514689979529,3.5115454388310208,3.563882963939251,3.901972669574645,3.901972669574645,3.487375077903208,3.591817741270805,3.580737295494233,3.591817741270805,4.237000862623624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,0,5.389071729816501,4.624972813284271,2.8903717578961645,4.616110126026426,4.604169685654508,0,0.4292467367729628,3.906004933102583,3.901972669574645,3.122364924487357,3.109060958860994,3.5610460826040513,3.367295829986474,3.7013019741124933,3.906004933102583,3.8979240810486444,3.8372994592322094,3.529297384289471,3.58351893845611,3.4372078191851885,3.8066624897703196,4.220977213155467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1012,0,5.384495062789089,4.624972813284271,3.1354942159291497,4.637637376125593,4.624972813284271,0,0.4292467367729628,3.9415818076696905,3.885679030088544,2.954910279033736,3.039749158970765,3.374168709274236,3.4210000089583352,3.632309102625542,3.6136169696133895,3.933784497209659,3.879499813722586,3.55820113047182,3.4995332823830174,3.5610460826040513,3.6000482404073204,4.146304301152812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1014,0,5.37989735354046,4.624972813284271,2.833213344056216,4.706823839714591,4.694096395182493,0,0.4290514179143062,3.983413001514819,3.996364153861897,2.917770732084279,2.9444389791664403,3.370738174177447,3.374168709274236,3.493472657771326,3.6712245188752153,3.919991175077323,4.018183201256536,3.673765816303888,3.5610460826040513,3.716008121502189,3.5496173867804286,4.215086179918229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1016,0,5.375278407684165,4.624972813284271,2.772588722239781,4.658710952916121,4.647271362006727,0,0.42813942514703673,3.910021002757473,3.9396381724611196,3.126760535960395,2.9652730660692823,3.417726683613366,3.3775875160230218,3.7796338173824005,3.529297384289471,3.8753590210565547,3.8958936234982624,3.563882963939251,3.6082115510464816,3.7328963395307104,3.6913763343125234,4.237000862623624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,0,5.3706380281276624,4.624972813284271,3.091042453358316,4.71760561531788,4.706823839714591,0,0.4267046111005835,3.960813169597578,4.014579593753238,2.9391619220655967,3.0492730404820207,3.6189933266497696,3.3603753871419,3.765840495250065,3.6454498961866,3.960813169597578,4.00369019395397,3.5610460826040513,3.6402142821326553,3.5409593240373143,3.535145354171894,4.294560608892605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1021,0,5.365976015021851,4.624972813284271,2.8903717578961645,4.620058798481842,4.609162207257629,0,0.42618234969688606,3.949318790171843,3.885679030088544,3.0633909220278057,2.91235066461494,3.2108436531709366,3.246490991901174,3.6454498961866,3.5890591188317256,3.9871304779149512,3.8732821771117156,3.505557396986398,3.5145260669691587,3.835141961092188,3.5145260669691587,4.302712827954156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1023,0,5.3612921657094255,4.624972813284271,2.5649493574615367,4.634728988229636,4.623991940228679,0,0.4253984458156144,3.832979798087693,3.92395157629342,2.884800712846709,3.005682604407159,3.374168709274236,3.4404180948154366,3.681351187693145,3.775057150354989,3.828641396489095,3.8979240810486444,3.4468078929142076,3.5667118201397288,3.6888794541139363,3.7013019741124933,4.238444906195857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1025,0,5.356586274672012,4.624972813284271,2.833213344056216,4.676560182074764,4.666265285347902,0,0.4252677354043441,3.9080149840306073,3.9396381724611196,2.89591193827178,3.1135153092103742,3.543853682063679,3.58351893845611,3.591817741270805,3.9473901492654373,3.8918202981106265,3.9357395320454622,3.543853682063679,3.5524868292083815,3.459466289786131,3.696351468952637,4.238444906195857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,0,5.351858133476067,4.624972813284271,3.044522437723423,4.71492104994721,4.705015520957808,0,0.4241560065516536,4.000033882750859,3.960813169597578,2.8273136219290276,2.8791984572980396,3.2347491740244907,3.520460802488973,3.6402142821326553,3.4657359027997265,3.966511190712216,3.9569963710708773,3.648057459593681,3.572345637857985,3.7773481021015445,3.417726683613366,4.364371699435161,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,0,5.3471075307174685,4.624972813284271,3.044522437723423,4.6913478822291435,4.683056724645162,0,0.4214040719096669,3.9889840465642745,3.927896354584436,2.995732273553991,2.9014215940827497,3.414442608412176,3.4719664525503626,3.7495040759303713,3.490428515390098,3.9357395320454622,3.927896354584436,3.686376323895818,3.535145354171894,3.572345637857985,3.7256934272366524,4.239886867512759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1031,0,5.342334251964811,4.624972813284271,2.9444389791664403,4.676560182074764,4.671893818030999,0,0.41541543896133254,3.975936331171799,3.9259259105971376,3.0106208860477417,2.8903717578961645,3.4719664525503626,3.3843902633457743,3.5524868292083815,3.3068867021909143,3.966511190712216,3.92395157629342,3.597312260588446,3.5322256440685598,3.580737295494233,3.681351187693145,4.231203744939298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,0,5.337538079701318,4.465908118654584,3.1354942159291497,4.653007515402251,4.648229675448539,0,0.4144248494796363,3.996364153861897,3.9454577815143836,2.9601050959108397,3.0252910757955354,3.295836866004329,3.3603753871419,3.6136169696133895,3.7062280924485496,3.9589065913269965,3.9318256327243257,3.681351187693145,3.5779478934066544,3.4404180948154366,3.4995332823830174,4.278054044290903,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,5.332718793265369,4.624972813284271,2.6390573296152584,4.6434288981051814,4.638604962074329,0,0.41396223836211066,3.9627161197436642,3.9080149840306073,2.990719731730447,3.0492730404820207,3.353406717825807,3.414442608412176,3.295836866004329,3.543853682063679,3.9740583963475986,3.835141961092188,3.5524868292083815,3.6109179126442243,3.7864597824528,3.7013019741124933,4.215086179918229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,5.327876168789581,4.624972813284271,3.044522437723423,4.6913478822291435,4.687671407499835,0,0.4131686924931969,4.050044303325521,3.9982007016691985,2.9338568698359038,2.9338568698359038,3.3945083935113587,3.242592351485517,3.288401887516811,3.505557396986398,4.023564380161053,3.929862923556477,3.6888794541139363,3.6913763343125234,3.742420221041966,3.7471483622379123,4.283586561860629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1039,0,5.3230099791384085,4.624972813284271,2.5649493574615367,4.680277658474897,4.676560182074764,0,0.41257311956754217,3.9435216724875173,3.9852734671677386,2.9856819377004897,2.856470206220483,3.580737295494233,3.4781584227982836,3.459466289786131,3.5751506887855933,3.919991175077323,3.92395157629342,3.594568774642695,3.711130063048756,3.520460802488973,3.456316680883235,4.280824129164719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1041,0,5.318119993844216,4.624972813284271,3.2188758248682006,4.647271362006727,4.6443908991413725,0,0.41131463289705594,3.9569963710708773,3.9627161197436642,2.9856819377004897,3.1780538303479458,3.4111477125153233,3.4688560301359703,3.6402142821326553,3.742420221041966,3.9721769282478934,3.9569963710708773,3.520460802488973,3.572345637857985,3.3843902633457743,3.7471483622379123,4.238444906195857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1043,0,5.313205979041787,4.465908118654584,3.044522437723423,4.667205576907544,4.664382045619937,0,0.4109831887920695,3.9815490680767565,3.919991175077323,3.077312260546414,2.8678989020441064,3.4719664525503626,3.3843902633457743,3.5380565643793527,3.5667118201397288,3.9473901492654373,3.8308129500026027,3.6428355156125294,3.6584202466292277,3.629660094453965,3.6375861597263857,4.169761201506855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1045,0,5.308267697401205,4.454347296253507,3.258096538021482,4.637637376125593,4.634728988229636,0,0.4109831887920695,3.9569963710708773,3.835141961092188,2.9338568698359038,3.0349529867072724,3.484312288372662,3.4719664525503626,3.5610460826040513,3.367295829986474,3.983413001514819,3.8522730010223722,3.517497837358316,3.407841924380824,3.6686767467964168,3.6000482404073204,4.215086179918229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,0,5.303304908059076,4.624972813284271,2.833213344056216,4.672828834461906,4.6709579265260945,0,0.40885934117618,3.949318790171843,4.007333185232471,2.9231615807191558,2.9601050959108397,3.4688560301359703,3.3141860046725258,3.58351893845611,3.5610460826040513,3.8958936234982624,4.005513348515485,3.6712245188752153,3.6136169696133895,3.407841924380824,3.6428355156125294,4.232656178019613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,0,5.298317366548036,4.624972813284271,3.044522437723423,4.684905154006945,4.6839813664123815,0,0.4071969409529233,4.02535169073515,3.970291913552122,3.0492730404820207,3.0587070727153796,3.3775875160230218,3.462606009790799,3.742420221041966,3.8110970868381857,4.037774210733707,3.949318790171843,3.6109179126442243,3.6109179126442243,3.858622228701031,3.5779478934066544,4.321480134805848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,5.293304824724492,4.624972813284271,2.772588722239781,4.619073091157083,4.618086411254637,0,0.4057317392255952,3.9259259105971376,3.8691155044168695,3.0587070727153796,3.0252910757955354,3.370738174177447,3.4404180948154366,3.572345637857985,3.817712325956905,3.9945242269398897,3.817712325956905,3.4242626545931514,3.56953269648137,3.730501128804756,3.5085558999826545,4.293195420967266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,0,5.288267030694535,4.624972813284271,3.044522437723423,4.674696248636701,4.674696248636701,0,0.40499833251872047,3.970291913552122,3.970291913552122,3.0633909220278057,3.0204248861443626,3.414442608412176,3.3141860046725258,3.6635616461296463,3.6402142821326553,3.919991175077323,3.970291913552122,3.6428355156125294,3.5779478934066544,3.744787086052232,3.6988297849671046,4.249922794040544,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,0,5.2832037287379885,4.624972813284271,3.1354942159291497,4.651099117876491,4.6520537718869415,0,0.40419763854119917,3.92395157629342,3.9473901492654373,2.8449093838194073,2.970414465569701,3.349904087274605,3.342861804649192,3.7773481021015445,3.493472657771326,3.9080149840306073,3.885679030088544,3.5610460826040513,3.6506582412937387,3.517497837358316,3.6189933266497696,4.272490747605575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1057,0,5.278114659230517,4.624972813284271,2.5649493574615367,4.651099117876491,4.6549122778829055,0,0.39716408306877793,3.893859034800475,4.00369019395397,3.0633909220278057,3.044522437723423,3.4307561839036995,3.4339872044851463,3.6000482404073204,3.7184382563554808,3.885679030088544,4.000033882750859,3.5145260669691587,3.6136169696133895,3.475067230228611,3.7184382563554808,4.231203744939298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
