Year,Region,Round,TeamA,TeamA_ID,SeedA,ScoreA,TeamB,TeamB_ID,SeedB,ScoreB,Winner,TeamA_Won,SeedDiff,IsUpset,MarginOfVictory,TotalPoints,Location
2008,West,R64,BYU,19,8,62.0,Texas A&M,313,9,67.0,Texas A&M,0,1,1,5.0,129.0,"Anaheim, CA"
2008,West,R64,Drake,74,5,99.0,Western Kentucky,368,12,101.0,Western Kentucky,0,7,1,2.0,200.0,"Tampa, FL"
2008,West,R64,UConn,62,4,69.0,San Diego,270,13,70.0,San Diego,0,9,1,1.0,139.0,"Tampa, FL"
2008,West,R64,Purdue,248,6,90.0,Baylor,21,11,79.0,Purdue,1,5,0,11.0,169.0,"Washington, DC"
2008,West,R64,Xavier,379,3,73.0,Georgia,104,14,61.0,Xavier,1,11,0,12.0,134.0,"Washington, DC"
2008,West,R64,West Virginia,365,7,75.0,Arizona,11,10,65.0,West Virginia,1,3,0,10.0,140.0,"Washington, DC"
2008,West,R64,Duke,76,2,71.0,Belmont,23,15,70.0,Duke,1,13,0,1.0,141.0,"Washington, DC"
2008,West,R32,UCLA,331,1,51.0,Texas A&M,313,9,49.0,UCLA,1,8,0,2.0,100.0,"Anaheim, CA"
2008,West,R32,Western Kentucky,368,12,72.0,San Diego,270,13,63.0,Western Kentucky,1,1,0,9.0,135.0,"Tampa, FL"
2008,West,R32,Purdue,248,6,78.0,Xavier,379,3,85.0,Xavier,0,-3,0,7.0,163.0,"Washington, DC"
2008,West,R32,West Virginia,365,7,73.0,Duke,76,2,67.0,West Virginia,1,-5,1,6.0,140.0,"Washington, DC"
2008,West,S16,UCLA,331,1,88.0,Western Kentucky,368,12,78.0,UCLA,1,11,0,10.0,166.0,"Phoenix, AZ"
2008,West,S16,Xavier,379,3,79.0,West Virginia,365,7,75.0,Xavier,1,4,0,4.0,154.0,"Phoenix, AZ"
2008,West,E8,UCLA,331,1,76.0,Xavier,379,3,57.0,UCLA,1,2,0,19.0,133.0,"Phoenix, AZ"
2008,National,F4,Kansas,138,1,84.0,UNC,211,1,66.0,Kansas,1,0,0,18.0,150.0,"San Antonio, TX"
2008,National,F4,UCLA,331,1,63.0,Memphis,172,1,78.0,Memphis,0,0,0,15.0,141.0,"San Antonio, TX"
2008,National,Championship,Kansas,138,1,75.0,Memphis,172,1,68.0,Kansas,1,0,0,7.0,143.0,"San Antonio, TX"
2009,East,R64,Pitt,241,1,72.0,ETSU,79,16,62.0,Pitt,1,15,0,10.0,134.0,"Dayton, OH"
2009,East,R64,Oklahoma State,231,8,77.0,Tennessee,308,9,75.0,Oklahoma State,1,1,0,2.0,152.0,"Dayton, OH"
2009,East,R64,Florida State,96,5,59.0,Wisconsin,374,12,61.0,Wisconsin,0,7,1,2.0,120.0,"Boise, ID"
2009,East,R64,Xavier,379,4,77.0,Portland State,243,13,59.0,Xavier,1,9,0,18.0,136.0,"Boise, ID"
2009,East,R64,UCLA,331,6,65.0,VCU,350,11,64.0,UCLA,1,5,0,1.0,129.0,"Philadelphia, PA"
2009,East,R64,Villanova,355,3,80.0,American,9,14,67.0,Villanova,1,11,0,13.0,147.0,"Philadelphia, PA"
2009,East,R64,Texas,312,7,76.0,Minnesota,183,10,62.0,Texas,1,3,0,14.0,138.0,"Greensboro, NC"
2009,East,R64,Duke,76,2,86.0,Binghamton,25,15,62.0,Duke,1,13,0,24.0,148.0,"Greensboro, NC"
2009,East,R32,Pitt,241,1,84.0,Oklahoma State,231,8,76.0,Pitt,1,7,0,8.0,160.0,"Dayton, OH"
2009,East,R32,Wisconsin,374,12,49.0,Xavier,379,4,60.0,Xavier,0,-8,0,11.0,109.0,"Boise, ID"
2009,East,R32,UCLA,331,6,69.0,Villanova,355,3,89.0,Villanova,0,-3,0,20.0,158.0,"Philadelphia, PA"
2009,East,R32,Texas,312,7,69.0,Duke,76,2,74.0,Duke,0,-5,0,5.0,143.0,"Greensboro, NC"
2009,East,S16,Pitt,241,1,60.0,Xavier,379,4,55.0,Pitt,1,3,0,5.0,115.0,"Boston, MA"
2009,East,S16,Villanova,355,3,77.0,Duke,76,2,54.0,Villanova,1,-1,1,23.0,131.0,"Boston, MA"
2009,East,E8,Pitt,241,1,76.0,Villanova,355,3,78.0,Villanova,0,2,1,2.0,154.0,"Boston, MA"
2009,Midwest,R64,Louisville,159,1,74.0,Morehead State,192,16,54.0,Louisville,1,15,0,20.0,128.0,"Dayton, OH"
2009,Midwest,R64,Ohio State,229,8,72.0,Siena,278,9,74.0,Siena,0,1,1,2.0,146.0,"Dayton, OH"
2009,Midwest,R64,Utah,346,5,71.0,Arizona,11,12,84.0,Arizona,0,7,1,13.0,155.0,"Miami, FL"
2009,Midwest,R64,Wake Forest,359,4,69.0,Cleveland State,56,13,84.0,Cleveland State,0,9,1,15.0,153.0,"Miami, FL"
2009,Midwest,R64,West Virginia,365,6,60.0,Dayton,68,11,68.0,Dayton,0,5,1,8.0,128.0,"Minneapolis, MN"
2009,Midwest,R64,Kansas,138,3,84.0,North Dakota State,215,14,74.0,Kansas,1,11,0,10.0,158.0,"Minneapolis, MN"
2009,Midwest,R64,Boston College,27,7,55.0,USC,339,10,72.0,USC,0,3,1,17.0,127.0,"Minneapolis, MN"
2009,Midwest,R64,Michigan State,180,2,77.0,Robert Morris,257,15,62.0,Michigan State,1,13,0,15.0,139.0,"Minneapolis, MN"
2009,Midwest,R32,Louisville,159,1,79.0,Siena,278,9,72.0,Louisville,1,8,0,7.0,151.0,"Dayton, OH"
2009,Midwest,R32,Arizona,11,12,71.0,Cleveland State,56,13,57.0,Arizona,1,1,0,14.0,128.0,"Miami, FL"
2009,Midwest,R32,Dayton,68,11,43.0,Kansas,138,3,60.0,Kansas,0,-8,0,17.0,103.0,"Minneapolis, MN"
2009,Midwest,R32,USC,339,10,69.0,Michigan State,180,2,74.0,Michigan State,0,-8,0,5.0,143.0,"Minneapolis, MN"
2009,Midwest,S16,Louisville,159,1,103.0,Arizona,11,12,64.0,Louisville,1,11,0,39.0,167.0,"Indianapolis, IN"
2009,Midwest,S16,Kansas,138,3,62.0,Michigan State,180,2,67.0,Michigan State,0,-1,0,5.0,129.0,"Indianapolis, IN"
2009,Midwest,E8,Louisville,159,1,52.0,Michigan State,180,2,64.0,Michigan State,0,1,1,12.0,116.0,"Indianapolis, IN"
2009,South,R64,UNC,211,1,101.0,Radford,252,16,58.0,UNC,1,15,0,43.0,159.0,"Greensboro, NC"
2009,South,R64,LSU,144,8,75.0,Butler,35,9,71.0,LSU,1,1,0,4.0,146.0,"Greensboro, NC"
2009,South,R64,Illinois,125,5,72.0,Western Kentucky,368,12,76.0,Western Kentucky,0,7,1,4.0,148.0,"Portland, OR"
2009,South,R64,Gonzaga,108,4,77.0,Akron,3,13,64.0,Gonzaga,1,9,0,13.0,141.0,"Portland, OR"
2009,South,R64,Arizona State,12,6,66.0,Temple,307,11,57.0,Arizona State,1,5,0,9.0,123.0,"Miami, FL"
2009,South,R64,Syracuse,303,3,59.0,Stephen F. Austin,299,14,44.0,Syracuse,1,11,0,15.0,103.0,"Miami, FL"
2009,South,R64,Clemson,55,7,59.0,Michigan,179,10,62.0,Michigan,0,3,1,3.0,121.0,"Kansas City, MO"
2009,South,R64,Oklahoma,230,2,82.0,Morgan State,193,15,54.0,Oklahoma,1,13,0,28.0,136.0,"Kansas City, MO"
2009,South,R32,UNC,211,1,84.0,LSU,144,8,70.0,UNC,1,7,0,14.0,154.0,"Greensboro, NC"
2009,South,R32,Western Kentucky,368,12,81.0,Gonzaga,108,4,83.0,Gonzaga,0,-8,0,2.0,164.0,"Portland, OR"
2009,South,R32,Arizona State,12,6,67.0,Syracuse,303,3,78.0,Syracuse,0,-3,0,11.0,145.0,"Miami, FL"
2009,South,R32,Michigan,179,10,63.0,Oklahoma,230,2,73.0,Oklahoma,0,-8,0,10.0,136.0,"Kansas City, MO"
2009,South,S16,UNC,211,1,98.0,Gonzaga,108,4,77.0,UNC,1,3,0,21.0,175.0,"Memphis, TN"
2009,South,S16,Syracuse,303,3,71.0,Oklahoma,230,2,84.0,Oklahoma,0,-1,0,13.0,155.0,"Memphis, TN"
2009,South,E8,UNC,211,1,72.0,Oklahoma,230,2,60.0,UNC,1,1,0,12.0,132.0,"Memphis, TN"
2009,West,R64,UConn,62,1,103.0,Chattanooga,51,16,47.0,UConn,1,15,0,56.0,150.0,"Philadelphia, PA"
2009,West,R64,BYU,19,8,66.0,Texas A&M,313,9,79.0,Texas A&M,0,1,1,13.0,145.0,"Philadelphia, PA"
2009,West,R64,Purdue,248,5,61.0,Northern Iowa,222,12,56.0,Purdue,1,7,0,5.0,117.0,"Portland, OR"
2009,West,R64,Washington,360,4,71.0,Mississippi State,185,13,58.0,Washington,1,9,0,13.0,129.0,"Portland, OR"
2009,West,R64,Marquette,166,6,58.0,Utah State,347,11,57.0,Marquette,1,5,0,1.0,115.0,"Boise, ID"
2009,West,R64,Missouri,187,3,78.0,Cornell,64,14,59.0,Missouri,1,11,0,19.0,137.0,"Boise, ID"
2009,West,R64,California,41,7,71.0,Maryland,168,10,84.0,Maryland,0,3,1,13.0,155.0,"Kansas City, MO"
2009,West,R64,Memphis,172,2,81.0,Cal State Northridge,40,15,70.0,Memphis,1,13,0,11.0,151.0,"Kansas City, MO"
2009,West,R32,UConn,62,1,92.0,Texas A&M,313,9,66.0,UConn,1,8,0,26.0,158.0,"Philadelphia, PA"
2009,West,R32,Purdue,248,5,76.0,Washington,360,4,74.0,Purdue,1,-1,1,2.0,150.0,"Portland, OR"
2009,West,R32,Marquette,166,6,79.0,Missouri,187,3,83.0,Missouri,0,-3,0,4.0,162.0,"Boise, ID"
2009,West,R32,Maryland,168,10,70.0,Memphis,172,2,89.0,Memphis,0,-8,0,19.0,159.0,"Kansas City, MO"
2009,West,S16,UConn,62,1,72.0,Purdue,248,5,60.0,UConn,1,4,0,12.0,132.0,"Glendale, AZ"
2009,West,S16,Missouri,187,3,102.0,Memphis,172,2,91.0,Missouri,1,-1,1,11.0,193.0,"Glendale, AZ"
2009,West,E8,UConn,62,1,82.0,Missouri,187,3,75.0,UConn,1,2,0,7.0,157.0,"Glendale, AZ"
2009,National,F4,UNC,211,1,83.0,Villanova,355,3,69.0,UNC,1,2,0,14.0,152.0,"Detroit, MI"
2009,National,F4,UConn,62,1,73.0,Michigan State,180,2,82.0,Michigan State,0,1,1,9.0,155.0,"Detroit, MI"
2009,National,Championship,UNC,211,1,89.0,Michigan State,180,2,72.0,UNC,1,1,0,17.0,161.0,"Detroit, MI"
2010,East,R64,Kentucky,142,1,100.0,ETSU,79,16,71.0,Kentucky,1,15,0,29.0,171.0,"New Orleans, LA"
2010,East,R64,Texas,312,8,80.0,Wake Forest,359,9,81.0,Wake Forest,0,1,1,1.0,161.0,"New Orleans, LA"
2010,East,R64,Temple,307,5,65.0,Cornell,64,12,78.0,Cornell,0,7,1,13.0,143.0,"Jacksonville, FL"
2010,East,R64,Wisconsin,374,4,53.0,Wofford,376,13,49.0,Wisconsin,1,9,0,4.0,102.0,"Jacksonville, FL"
2010,East,R64,Marquette,166,6,78.0,Washington,360,11,80.0,Washington,0,5,1,2.0,158.0,"San Jose, CA"
2010,East,R64,New Mexico,204,3,62.0,Montana,190,14,57.0,New Mexico,1,11,0,5.0,119.0,"San Jose, CA"
2010,East,R64,Clemson,55,7,78.0,Missouri,187,10,86.0,Missouri,0,3,1,8.0,164.0,"Buffalo, NY"
2010,East,R64,West Virginia,365,2,77.0,Morgan State,193,15,50.0,West Virginia,1,13,0,27.0,127.0,"Buffalo, NY"
2010,East,R32,Kentucky,142,1,90.0,Wake Forest,359,9,60.0,Kentucky,1,8,0,30.0,150.0,"New Orleans, LA"
2010,East,R32,Cornell,64,12,87.0,Wisconsin,374,4,69.0,Cornell,1,-8,1,18.0,156.0,"Jacksonville, FL"
2010,East,R32,Washington,360,11,82.0,New Mexico,204,3,64.0,Washington,1,-8,1,18.0,146.0,"San Jose, CA"
2010,East,R32,Missouri,187,10,59.0,West Virginia,365,2,68.0,West Virginia,0,-8,0,9.0,127.0,"Buffalo, NY"
2010,East,S16,Kentucky,142,1,62.0,Cornell,64,12,45.0,Kentucky,1,11,0,17.0,107.0,"Syracuse, NY"
2010,East,S16,Washington,360,11,56.0,West Virginia,365,2,69.0,West Virginia,0,-9,0,13.0,125.0,"Syracuse, NY"
2010,East,E8,Kentucky,142,1,66.0,West Virginia,365,2,73.0,West Virginia,0,1,1,7.0,139.0,"Syracuse, NY"
2010,Midwest,R64,Kansas,138,1,90.0,Lehigh,149,16,74.0,Kansas,1,15,0,16.0,164.0,"Oklahoma City, OK"
2010,Midwest,R64,UNLV,338,8,66.0,Northern Iowa,222,9,69.0,Northern Iowa,0,1,1,3.0,135.0,"Oklahoma City, OK"
2010,Midwest,R64,Michigan State,180,5,70.0,New Mexico State,205,12,67.0,Michigan State,1,7,0,3.0,137.0,"Spokane, WA"
2010,Midwest,R64,Maryland,168,4,89.0,Houston,119,13,77.0,Maryland,1,9,0,12.0,166.0,"Spokane, WA"
2010,Midwest,R64,Tennessee,308,6,62.0,San Diego State,271,11,59.0,Tennessee,1,5,0,3.0,121.0,"Providence, RI"
2010,Midwest,R64,Georgetown,103,3,83.0,Ohio,228,14,97.0,Ohio,0,11,1,14.0,180.0,"Providence, RI"
2010,Midwest,R64,Oklahoma State,231,7,59.0,Georgia Tech,107,10,64.0,Georgia Tech,0,3,1,5.0,123.0,"Milwaukee, WI"
2010,Midwest,R64,Ohio State,229,2,68.0,UCSB,329,15,51.0,Ohio State,1,13,0,17.0,119.0,"Milwaukee, WI"
2010,Midwest,R32,Kansas,138,1,67.0,Northern Iowa,222,9,69.0,Northern Iowa,0,8,1,2.0,136.0,"Oklahoma City, OK"
2010,Midwest,R32,Michigan State,180,5,85.0,Maryland,168,4,83.0,Michigan State,1,-1,1,2.0,168.0,"Spokane, WA"
2010,Midwest,R32,Tennessee,308,6,83.0,Ohio,228,14,68.0,Tennessee,1,8,0,15.0,151.0,"Providence, RI"
2010,Midwest,R32,Georgia Tech,107,10,66.0,Ohio State,229,2,75.0,Ohio State,0,-8,0,9.0,141.0,"Milwaukee, WI"
2010,Midwest,S16,Northern Iowa,222,9,52.0,Michigan State,180,5,59.0,Michigan State,0,-4,0,7.0,111.0,"St. Louis, MO"
2010,Midwest,S16,Tennessee,308,6,76.0,Ohio State,229,2,73.0,Tennessee,1,-4,1,3.0,149.0,"St. Louis, MO"
2010,Midwest,E8,Michigan State,180,5,70.0,Tennessee,308,6,69.0,Michigan State,1,1,0,1.0,139.0,"St. Louis, MO"
2010,South,R64,Duke,76,1,73.0,Arkansas-Pine Bluff,14,16,44.0,Duke,1,15,0,29.0,117.0,"Jacksonville, FL"
2010,South,R64,California,41,8,77.0,Louisville,159,9,62.0,California,1,1,0,15.0,139.0,"Jacksonville, FL"
2010,South,R64,Texas A&M,313,5,69.0,Utah State,347,12,53.0,Texas A&M,1,7,0,16.0,122.0,"Spokane, WA"
2010,South,R64,Purdue,248,4,72.0,Siena,278,13,64.0,Purdue,1,9,0,8.0,136.0,"Spokane, WA"
2010,South,R64,Notre Dame,226,6,50.0,Old Dominion,232,11,51.0,Old Dominion,0,5,1,1.0,101.0,"New Orleans, LA"
2010,South,R64,Baylor,21,3,68.0,Sam Houston,268,14,59.0,Baylor,1,11,0,9.0,127.0,"New Orleans, LA"
2010,South,R64,Richmond,255,7,71.0,Saint Mary's,266,10,80.0,Saint Mary's,0,3,1,9.0,151.0,"Providence, RI"
2010,South,R64,Villanova,355,2,73.0,Robert Morris,257,15,70.0,Villanova,1,13,0,3.0,143.0,"Providence, RI"
2010,South,R32,Duke,76,1,68.0,California,41,8,53.0,Duke,1,7,0,15.0,121.0,"Jacksonville, FL"
2010,South,R32,Texas A&M,313,5,61.0,Purdue,248,4,63.0,Purdue,0,-1,0,2.0,124.0,"Spokane, WA"
2010,South,R32,Old Dominion,232,11,68.0,Baylor,21,3,76.0,Baylor,0,-8,0,8.0,144.0,"New Orleans, LA"
2010,South,R32,Saint Mary's,266,10,75.0,Villanova,355,2,68.0,Saint Mary's,1,-8,1,7.0,143.0,"Providence, RI"
2010,South,S16,Duke,76,1,70.0,Purdue,248,4,57.0,Duke,1,3,0,13.0,127.0,"Houston, TX"
2010,South,S16,Baylor,21,3,72.0,Saint Mary's,266,10,49.0,Baylor,1,7,0,23.0,121.0,"Houston, TX"
2010,South,E8,Duke,76,1,78.0,Baylor,21,3,71.0,Duke,1,2,0,7.0,149.0,"Houston, TX"
2010,West,R64,Syracuse,303,1,79.0,Vermont,354,16,56.0,Syracuse,1,15,0,23.0,135.0,"Buffalo, NY"
2010,West,R64,Gonzaga,108,8,67.0,Florida State,96,9,60.0,Gonzaga,1,1,0,7.0,127.0,"Buffalo, NY"
2010,West,R64,Butler,35,5,77.0,UTEP,344,12,59.0,Butler,1,7,0,18.0,136.0,"San Jose, CA"
2010,West,R64,Vanderbilt,353,4,65.0,Murray State,195,13,66.0,Murray State,0,9,1,1.0,131.0,"San Jose, CA"
2010,West,R64,Xavier,379,6,65.0,Minnesota,183,11,54.0,Xavier,1,5,0,11.0,119.0,"Milwaukee, WI"
2010,West,R64,Pitt,241,3,89.0,Oakland,227,14,66.0,Pitt,1,11,0,23.0,155.0,"Milwaukee, WI"
2010,West,R64,BYU,19,7,99.0,Florida,91,10,92.0,BYU,1,3,0,7.0,191.0,"Oklahoma City, OK"
2010,West,R64,Kansas State,139,2,82.0,North Texas,217,15,62.0,Kansas State,1,13,0,20.0,144.0,"Oklahoma City, OK"
2010,West,R32,Syracuse,303,1,87.0,Gonzaga,108,8,65.0,Syracuse,1,7,0,22.0,152.0,"Buffalo, NY"
2010,West,R32,Butler,35,5,54.0,Murray State,195,13,52.0,Butler,1,8,0,2.0,106.0,"San Jose, CA"
2010,West,R32,Xavier,379,6,71.0,Pitt,241,3,68.0,Xavier,1,-3,1,3.0,139.0,"Milwaukee, WI"
2010,West,R32,BYU,19,7,72.0,Kansas State,139,2,84.0,Kansas State,0,-5,0,12.0,156.0,"Oklahoma City, OK"
2010,West,S16,Syracuse,303,1,59.0,Butler,35,5,63.0,Butler,0,4,1,4.0,122.0,"Salt Lake City, UT"
2010,West,S16,Xavier,379,6,96.0,Kansas State,139,2,101.0,Kansas State,0,-4,0,5.0,197.0,"Salt Lake City, UT"
