Team,Seed,E_Points_Blended,Expected_Market_Price,Value_Rating
Stephen F. Austin,15,11.24,1.75,6.423
Lipscomb,15,10.04,1.75,5.737
Colgate,15,9.71,1.75,5.549
North Dakota St.,15,9.65,1.75,5.514
Liberty,13,8.05,3.53,2.28
High Point,13,6.72,3.53,1.904
LIU,16,5.95,1.0,5.95
Youngstown St.,16,5.63,1.0,5.63
Vermont,16,5.62,1.0,5.62
Norfolk St.,16,5.56,1.0,5.56
