Team,Seed,Region,E_Points_Model,P_R64,P_R32,P_S16,P_E8,P_FF,P_Championship,E_Points_Historical,E_Points_Blended,Expected_Market_Price,Fair_Value,Value_Rating
Connecticut,2,South,29.06,1.0,0.7698,0.6886,0.6112,0.5327,0.4662,10.37,15.98,29.25,20.96,0.546
Gonzaga,2,Midwest,26.98,1.0,0.7721,0.6858,0.559,0.4867,0.3989,10.37,15.35,29.25,20.13,0.525
Purdue,2,West,24.06,1.0,0.7971,0.7241,0.6215,0.5381,0.1324,10.37,14.48,29.25,18.99,0.495
BYU,2,East,22.12,1.0,0.8709,0.7184,0.5904,0.4618,0.0649,10.37,13.9,29.25,18.23,0.475
Duke,1,South,8.81,1.0,0.8165,0.3396,0.1107,0.0268,0.0233,15.56,13.54,42.94,17.76,0.315
Michigan,1,East,8.42,1.0,0.7939,0.2947,0.1109,0.043,0.0103,15.56,13.42,42.94,17.6,0.313
Iowa St.,1,Midwest,8.04,1.0,0.8229,0.2228,0.1003,0.0269,0.0227,15.56,13.3,42.94,17.44,0.31
Arizona,1,West,7.91,1.0,0.7802,0.2695,0.1014,0.0261,0.0065,15.56,13.26,42.94,17.39,0.309
Louisville,4,South,20.48,1.0,0.7923,0.6873,0.58,0.1124,0.0957,8.97,12.42,11.82,16.29,1.051
North Carolina,4,Midwest,19.87,1.0,0.8559,0.7148,0.5447,0.0907,0.0683,8.97,12.24,11.82,16.05,1.036
Illinois,4,East,17.7,1.0,0.6688,0.6061,0.5146,0.1329,0.0334,8.97,11.59,11.82,15.2,0.981
