Team,Seed,Region,P_R64,Public_R64_Pct,R64_Contrarian_Ratio,P_R32,Public_R32_Pct,R32_Contrarian_Ratio,P_S16,Public_S16_Pct,S16_Contrarian_Ratio,P_E8,Public_E8_Pct,E8_Contrarian_Ratio,P_F4,Public_FF_Pct,FF_Contrarian_Ratio,P_Championship,Public_Championship_Pct,Championship_Contrarian_Ratio,P_WIN_Championship,Public_WIN_Champion_Pct,WIN_Champion_Contrarian_Ratio,E_Points_Blended,Bid_mean,Bid_median,Points_mean,ROI,Points_Value_1st,Points_Value_2nd,Fair_Value_Low,Fair_Value_High,Bid_Conservative,Bid_Aggressive,Hard_Pass_Above,Points_vs_Historical,Pts_Per_Market_Dollar,Value_Rating,Points_Per_Dollar
Duke,1,West,1.0,1.0,0.01,0.96436,97.0,1.01,0.83552,89.7,1.07,0.72526,80.6,1.11,0.61556,65.2,1.06,0.49946,43.2,0.86,0.36884,14.8,0.4,28.82,44.69,45.0,17.12,-0.617,39.82,17.53,37.0,41.0,31.0,47.0,53.0,11.7,0.64,0.885,0.9296774193548387
Michigan,1,East,1.0,1.0,0.01,0.96856,97.0,1.0,0.7992,83.5,1.04,0.66902,70.7,1.06,0.5397,54.5,1.01,0.37696,34.6,0.92,0.21544,11.4,0.53,25.94,44.69,45.0,17.12,-0.617,35.84,15.77,36.0,39.0,31.0,45.0,51.0,8.8,0.576,0.796,0.8367741935483871
Arizona,1,South,1.0,1.0,0.01,0.9687,94.0,0.97,0.79346,78.0,0.98,0.67542,62.0,0.92,0.5078,45.0,0.89,0.23982,27.0,1.13,0.13016,8.4,0.65,23.99,44.69,45.0,17.12,-0.617,33.14,14.59,36.0,37.0,31.0,43.0,48.0,6.9,0.533,0.736,0.7738709677419354
Houston,2,Midwest,1.0,1.0,0.01,0.95808,83.8,0.87,0.83204,61.8,0.74,0.60616,39.6,0.65,0.42364,22.1,0.52,0.2371,11.2,0.47,0.08674,3.2,0.37,22.76,30.62,29.5,8.75,-0.714,31.44,13.84,25.0,31.0,21.0,36.0,40.0,14.0,0.772,1.066,1.0838095238095238
Florida,1,Midwest,1.0,1.0,0.01,0.93556,94.9,1.01,0.73784,79.6,1.08,0.556,64.5,1.16,0.248,47.7,1.92,0.10134,29.2,2.88,0.03186,9.3,2.92,18.31,44.69,45.0,17.12,-0.617,25.3,11.13,35.0,31.0,30.0,36.0,40.0,1.2,0.407,0.562,0.6103333333333333
Connecticut,2,East,1.0,1.0,0.01,0.95624,84.7,0.89,0.7519,63.0,0.84,0.51304,41.4,0.81,0.20548,23.7,1.15,0.0864,12.3,1.42,0.02368,3.6,1.52,17.53,30.62,29.5,8.75,-0.714,24.22,10.66,24.0,26.0,20.0,30.0,34.0,8.8,0.594,0.821,0.8765000000000001
