Year,Team,Index,tournamentSeed,bartTorvik_Rk,bartTorvik_Conf,bartTorvik_G,bartTorvik_Wins_Overall,bartTorvik_AdjOE,bartTorvik_AdjDE,bartTorvik_Barthag,bartTorvik_EFG%,bartTorvik_EFGD%,bartTorvik_TOR,bartTorvik_TORD,bartTorvik_ORB,bartTorvik_DRB,bartTorvik_FTR,bartTorvik_FTRD,bartTorvik_2P%,bartTorvik_2P%D,bartTorvik_3P%,bartTorvik_3P%D,bartTorvik_3PR,bartTorvik_3PRD,bartTorvik_Adj T.,bartTorvik_WAB,kenpom_Rk,kenpom_NetRtg,kenpom_ORtg,kenpom_ORtg_Rank,kenpom_DRtg,kenpom_DRtg_Rank,kenpom_AdjT,kenpom_AdjT_Rank,kenpom_Luck,kenpom_Luck_Rank,kenpom_SOS_NetRtg,kenpom_SOS_NetRtg_Rank,kenpom_SOS_ORtg,kenpom_SOS_ORtg_Rank,kenpom_SOS_DRtg,kenpom_SOS_DRtg_Rank,kenpom_NCSOS_NetRtg,kenpom_NCSOS_NetRtg_Rank,BPI,BPI_Rank,BPI_Off,BPI_Def,masseyComposite_Rank,tournamentOutcome,elite8_flag
2008,Stanford,298,3.0,352.58934169278996,,33,26,111.638,88.98,0.931611,49.8173,44.08,18.947,18.131,39.213,28.829,40.465,34.0118,48.2178,41.66,36.0121,33.578,27.1316,27.01,65.2255,6.71,351.2888888888889,22.75,113.6,326.08333333333337,90.9,354.58620689655174,63.4,116.31955922865014,0.04,284.600566572238,9.32,342.7075208913649,109.1,353.91689750692524,99.7,327.29411764705884,-6.32,53.88826815642459,14.1,347.302752293578,5.5,8.6,346.1896024464832,Sweet Sixteen,0
2008,Marquette,166,6.0,351.44827586206895,,32,23,113.127,90.212,0.931212,50.7136,45.926,19.049,24.327,38.019,33.6209,37.9131,40.9262,49.1137,46.696,35.9128,29.54,33.6179,31.161,68.911,3.822,348.9777777777778,22.16,115.3,343.4166666666667,93.1,343.08045977011494,66.6,246.6776859504132,-0.027,117.55240793201132,8.62,332.5682451253482,107.9,323.66759002770084,99.3,338.5098039215686,-6.37,52.87150837988827,14.2,348.41590214067276,8.3,5.9,345.0764525993884,R32,0
2008,Clemson,55,5.0,350.30721003134795,,31,23,113.821,91.016,0.929413,52.278,47.772,20.3118,24.62,40.57,36.2298,30.1304,33.096,49.7113,49.0195,38.146,29.65,32.5206,29.131,69.492,4.519,346.66666666666663,22.03,114.0,327.1666666666667,91.9,349.35632183908046,68.0,286.78787878787875,-0.044,76.30594900849859,9.53,349.8050139275766,109.3,359.96675900277006,99.8,322.19607843137254,0.31,225.72067039106145,14.7,351.75535168195717,10.2,4.5,340.6238532110092,R64,0
2008,Xavier,379,3.0,349.16614420062695,,33,27,115.312,92.633,0.926214,55.011,46.844,20.3118,20.0225,36.547,29.546,41.743,31.57,52.831,44.638,39.222,33.578,37.198,37.8274,65.8221,4.718,347.82222222222225,22.05,117.3,356.41666666666663,95.2,324.2528735632184,63.8,139.38292011019283,0.054,314.50424929178473,6.94,311.2757660167131,108.1,330.72576177285316,101.2,283.45098039215685,3.5,294.8603351955307,14.3,349.52905198776756,7.9,6.4,347.302752293578,Elite Eight,1
2008,Washington St.,361,4.0,348.02507836990594,,32,24,114.318,92.022,0.924115,54.422,47.772,17.211,22.2106,28.1301,30.161,39.888,28.835,52.929,46.385,38.146,33.788,34.4164,32.5108,60.1334,4.914,353.6,24.32,115.1,340.1666666666667,90.8,355.632183908046,58.3,30.082644628099175,-0.004,180.45325779036827,8.99,335.6100278551532,109.0,352.90858725761774,100.0,312.0,-6.51,50.83798882681564,14.3,350.64220183486236,1.1,13.2,358.434250764526,Sweet Sixteen,0
2008,Texas A&M,313,9.0,346.88401253918494,,33,23,112.631,91.521,0.916016,51.991,44.615,19.151,17.3329,35.185,28.219,42.729,26.816,51.267,41.88,35.6143,33.9103,30.2267,30.749,64.2283,3.026,340.8888888888889,19.93,112.3,315.25,92.3,347.2643678160919,61.8,69.1900826446281,0.004,201.07648725212465,8.28,327.4986072423398,107.4,313.584487534626,99.1,344.62745098039215,-5.13,69.13966480446928,12.3,339.5107033639144,4.1,8.2,333.9449541284404,R32,0
2008,Michigan St.,180,5.0,345.74294670846393,,33,25,114.12,92.835,0.915117,52.566,46.129,21.2179,19.3268,39.88,31.4113,34.1237,32.283,51.463,45.256,37.38,31.728,24.3335,37.7267,65.4246,5.113,343.2,21.15,115.8,346.66666666666663,94.7,330.5287356321839,63.3,111.30578512396694,0.032,268.10198300283287,8.71,333.5821727019499,108.2,332.74238227146816,99.5,332.3921568627451,0.59,234.87150837988824,13.6,345.0764525993884,5.8,7.8,353.98165137614683,Sweet Sixteen,0
2008,West Virginia,365,7.0,344.601880877743,,33,23,113.225,92.53,0.911318,51.6103,47.772,16.37,23.358,34.1114,31.4113,37.1156,38.9214,50.683,45.152,35.8135,35.4186,35.0151,32.197,65.8221,2.628,344.35555555555555,21.29,114.6,335.83333333333337,93.3,340.98850574712645,63.8,136.37465564738292,-0.019,141.26912181303118,9.0,336.6239554317549,108.5,340.808864265928,99.5,333.4117647058823,-1.98,151.4972067039106,16.6,357.3211009174312,8.9,7.7,348.41590214067276,Sweet Sixteen,0
2008,Drake,74,5.0,343.460815047022,,30,26,118.14,96.573,0.911119,52.856,49.8166,18.124,24.039,36.641,32.9167,34.3233,23.75,50.976,49.2206,36.6101,33.894,45.51,39.3307,64.2283,5.212,345.5111111111111,21.46,120.0,360.75,98.5,285.55172413793105,62.9,102.2809917355372,0.011,215.5127478753541,4.89,275.7883008356546,105.5,263.16897506925204,100.6,298.7450980392157,0.11,220.6368715083799,10.3,329.49235474006116,5.4,4.9,350.64220183486236,R64,0
2008,Kansas St.,139,11.0,342.3197492163009,,30,19,112.929,92.531,0.90822,49.7174,48.083,20.8156,22.594,42.11,30.887,37.4143,37.4184,50.21,44.742,32.4271,36.8266,32.6205,31.371,72.225,1.039,335.1111111111111,18.9,114.2,328.25,95.3,323.2068965517242,69.7,331.91184573002755,-0.049,65.9943342776204,9.09,337.63788300835654,108.0,326.6925207756233,98.9,350.7450980392157,-2.73,124.04469273743015,9.6,323.92660550458714,8.6,1.1,329.49235474006116,R32,0
