feature,correlation,correlation_raw
kenpom_NetRtg,0.410071263507641,0.410071263507641
BPI,0.3917106663773099,0.3917106663773099
tournamentSeed,0.38719949138053,-0.38719949138053
bartTorvik_WAB,0.369450172595383,0.369450172595383
kenpom_ORtg,0.3597618143358906,0.3597618143358906
BPI_Off,0.3596000962701557,0.3596000962701557
bartTorvik_AdjOE,0.3386775114366581,0.3386775114366581
kenpom_DRtg,0.3053905893946261,-0.3053905893946261
kenpom_SOS_NetRtg,0.2935055436843818,0.2935055436843818
BPI_Def,0.2927613062595742,0.2927613062595742
kenpom_SOS_ORtg,0.2781639706062585,0.2781639706062585
kenpom_Rk,0.27765799554856363,0.27765799554856363
kenpom_SOS_NetRtg_Rank,0.27387065835466334,0.27387065835466334
kenpom_SOS_ORtg_Rank,0.2717483901204504,0.2717483901204504
BPI_Rank,0.2711187728832047,0.2711187728832047
bartTorvik_Barthag,0.2678218176353756,0.2678218176353756
kenpom_SOS_DRtg_Rank,0.2657621332100137,0.2657621332100137
kenpom_SOS_DRtg,0.25833588334913404,-0.25833588334913404
bartTorvik_Rk,0.25687478112675094,0.25687478112675094
bartTorvik_Wins_Overall,0.2546573511948978,0.2546573511948978
kenpom_ORtg_Rank,0.253509773733845,0.253509773733845
kenpom_DRtg_Rank,0.25227626846900464,0.25227626846900464
LRMCB,0.24921664997462942,-0.24921664997462942
bartTorvik_AdjDE,0.2470984622457495,-0.2470984622457495
PowerRank,0.24393133913356893,0.24393133913356893
masseyComposite_Rank,0.23992481528190546,0.23992481528190546
bartTorvik_EFG%,0.17358616920947284,0.17358616920947284
bartTorvik_EFGD%,0.15730090928138393,-0.15730090928138393
bartTorvik_ORB,0.15326500529628836,0.15326500529628836
bartTorvik_2P%,0.15134594504931934,0.15134594504931934
bartTorvik_2P%D,0.1366994159146576,-0.1366994159146576
bartTorvik_3P%,0.10924903508508685,0.10924903508508685
bartTorvik_TOR,0.10471739696226258,-0.10471739696226258
bartTorvik_G,0.09415589032296282,0.09415589032296282
bartTorvik_3P%D,0.08992936932817559,-0.08992936932817559
bartTorvik_FTRD,0.05640758311387375,-0.05640758311387375
kenpom_NCSOS_NetRtg_Rank,0.0563961276007842,0.0563961276007842
kenpom_NCSOS_NetRtg,0.045528663724280695,0.045528663724280695
bartTorvik_3PRD,0.03915419714287937,-0.03915419714287937
bartTorvik_Adj T.,0.029202632714478417,0.029202632714478417
kenpom_AdjT_Rank,0.023211522966042543,0.023211522966042543
kenpom_Luck_Rank,0.0219575220049702,0.0219575220049702
kenpom_AdjT,0.018704726830644378,0.018704726830644378
bartTorvik_FTR,0.013953186352816824,-0.013953186352816824
bartTorvik_DRB,0.008308757192403312,0.008308757192403312
bartTorvik_3PR,0.008260251980253167,0.008260251980253167
bartTorvik_TORD,0.0005728585762377161,-0.0005728585762377161
kenpom_Luck,0.0005572425590420615,-0.0005572425590420615
bartTorvik_Conf,,
