Team,LRMCB,Year
Hartford,150,2021
Houston,5,2021
Illinois,2,2021
Iona,189,2021
Iowa,4,2021
Kansas,13,2021
Liberty,82,2021
Loyola-Chicago,10,2021
LSU,25,2021
Maryland,34,2021
Michigan,8,2021
Michigan St,70,2021
Missouri,49,2021
Morehead St,106,2021
Mount St. Mary's,156,2021
NC Greensboro,55,2021
Norfolk St,171,2021
North Carolina,22,2021
North Texas,60,2021
Ohio,84,2021
Ohio St,9,2021
Oklahoma,29,2021
Oklahoma St,23,2021
Oral Roberts,119,2021
Oregon,30,2021
Oregon St,77,2021
Purdue,20,2021
Rutgers,45,2021
San Diego St,26,2021
St. Bonaventure,37,2021
Syracuse,62,2021
Tennessee,24,2021
Texas,15,2021
Texas Southern,196,2021
Texas Tech,17,2021
UC Santa Barbara,68,2021
UCLA,47,2021
USC,11,2021
Utah St,40,2021
VCU,36,2021
Villanova,21,2021
Virginia,32,2021
Virginia Tech,83,2021
West Virginia,14,2021
Wichita St,105,2021
Winthrop,43,2021
Wisconsin,19,2021
Akron,109,2022
Alabama,20,2022
Arizona,2,2022
Arkansas,22,2022
Auburn,8,2022
Baylor,7,2022
BoiseState,29,2022
Bryant,174,2022
Chattanooga,45,2022
Colgate,86,2022
ColoradoState,64,2022
Connecticut,19,2022
Creighton,52,2022
CSFullerton,155,2022
Davidson,32,2022
Delaware,114,2022
Duke,11,2022
GeorgiaState,199,2022
Gonzaga,1,2022
Houston,3,2022
Illinois,16,2022
Indiana,30,2022
Iowa,10,2022
IowaState,50,2022
JacksonvilleState,134,2022
Kansas,5,2022
Kentucky,4,2022
Longwood,153,2022
LoyolaChicago,25,2022
LSU,15,2022
Marquette,46,2022
Memphis,23,2022
Miami,54,2022
Michigan,40,2022
MichiganState,26,2022
MontanaState,103,2022
MurrayState,21,2022
NewMexicoState,82,2022
NorfolkState,156,2022
NorthCarolina,35,2022
NotreDame,61,2022
OhioState,42,2022
Providence,56,2022
Purdue,14,2022
Richmond,66,2022
Rutgers,83,2022
SaintMarys,24,2022
SaintPeters,118,2022
SanDiegoState,31,2022
SanFrancisco,27,2022
SetonHall,47,2022
SouthDakotaState,43,2022
TCU,55,2022
Tennessee,13,2022
Texas,17,2022
TexasA&MCC,215,2022
TexasSouthern,144,2022
TexasTech,6,2022
UAB,28,2022
UCLA,12,2022
USC,44,2022
Vermont,36,2022
Villanova,9,2022
VirginiaTech,18,2022
Wisconsin,33,2022
WrightState,139,2022
Wyoming,75,2022
Yale,151,2022
Alabama,20,2023
Texas A&M CC,204,2023
Maryland,84,2023
West Virginia,19,2023
San Diego State,19,2023
Charleston,85,2023
Virginia,76,2023
Furman,67,2023
Creighton,52,2023
NC State,50,2023
Baylor,7,2023
UCSB,125,2023
Missouri,138,2023
Utah State,37,2023
Arizona,2,2023
Princeton,116,2023
Purdue,14,2023
Texas Southern,285,2023
Memphis,23,2023
Florida Atlantic,63,2023
Duke,11,2023
Oral Roberts,100,2023
Tennessee,13,2023
Louisiana,187,2023
Kentucky,4,2023
Providence,56,2023
Kansas State,38,2023
Montana State,116,2023
Michigan State,35,2023
USC,44,2023
Marquette,46,2023
Vermont,36,2023
Houston,3,2023
Northern Kentucky,156,2023
Iowa,10,2023
Auburn,8,2023
Miami,54,2023
Drake,78,2023
Indiana,30,2023
Kent State,73,2023
Iowa State,26,2023
Mississippi State,53,2023
Pittsburgh,179,2023
Xavier,60,2023
Kennesaw State,141,2023
Texas A&M,23,2023
Penn State,40,2023
Texas,17,2023
Colgate,86,2023
Kansas,5,2023
Howard,228,2023
Arkansas,22,2023
Illinois,16,2023
Saint Mary's,14,2023
VCU,69,2023
UConn,5,2023
Iona,68,2023
TCU,55,2023
Arizona State,66,2023
Nevada,152,2023
Gonzaga,1,2023
Grand Canyon,103,2023
Northwestern,94,2023
Boise State,40,2023
UCLA,12,2023
NC Asheville,157,2023
Southeast Missouri St.,238,2023
Fairleigh Dickinson,286,2023
Connecticut,3,2024
Stetson,228,2024
Florida Atlantic,46,2024
Northwestern,36,2024
San Diego St.,40,2024
UAB,104,2024
Auburn,4,2024
Yale,124,2024
BYU,17,2024
Duquesne,95,2024
Illinois,11,2024
Morehead State,183,2024
Washington State,21,2024
Drake,74,2024
Iowa State,8,2024
South Dakota State,143,2024
Houston,2,2024
Longwood,176,2024
Nebraska,27,2024
Texas A&M,37,2024
Wisconsin,18,2024
James Madison,80,2024
Duke,9,2024
Vermont,122,2024
Texas Tech,30,2024
NC State,45,2024
Kentucky,16,2024
Oakland,129,2024
Florida,22,2024
Boise State,56,2024
Colorado,19,2024
Marquette,13,2024
Western Kentucky,149,2024
North Carolina,6,2024
Howard,249,2024
Wagner,311,2024
Mississippi State,33,2024
Michigan State,15,2024
St. Mary's,32,2024
Grand Canyon,77,2024
Alabama,12,2024
Charleston,106,2024
Clemson,35,2024
New Mexico,41,2024
Baylor,14,2024
Colgate,144,2024
Dayton,48,2024
Nevada,47,2024
Arizona,1,2024
Long Beach State,155,2024
Purdue,5,2024
Grambling,303,2024
Montana State,224,2024
Utah State,76,2024
TCU,26,2024
Gonzaga,20,2024
McNeese State,101,2024
Kansas,25,2024
Samford,108,2024
South Carolina,53,2024
Oregon,38,2024
Creighton,10,2024
Akron,120,2024
Texas,31,2024
Virginia,67,2024
Colorado State,50,2024
Tennessee,7,2024
St. Peter's,223,2024
Duke,1,2025
Florida,2,2025
Auburn,3,2025
Houston,4,2025
Gonzaga,5,2025
Tennessee,6,2025
Alabama,7,2025
Iowa St.,8,2025
St John's,9,2025
Texas Tech,10,2025
Maryland,11,2025
Wisconsin,12,2025
Michigan St.,13,2025
Arizona,14,2025
Kentucky,15,2025
Missouri,16,2025
Kansas,17,2025
Clemson,18,2025
Marquette,19,2025
Purdue,20,2025
BYU,21,2025
Illinois,22,2025
Texas A&M,23,2025
St Mary's CA,24,2025
Louisville,25,2025
Michigan,26,2025
Mississippi,27,2025
Connecticut,28,2025
VCU,29,2025
UCLA,30,2025
New Mexico,31,2025
UC San Diego,32,2025
North Carolina,33,2025
Baylor,34,2025
Mississippi St.,35,2025
Creighton,36,2025
Memphis,37,2025
Oregon,38,2025
Xavier,39,2025
Georgia,40,2025
Arkansas,41,2025
Boise St.,42,2025
Ohio St.,43,2025
Colorado St.,44,2025
Texas,45,2025
Oklahoma,46,2025
Utah St.,47,2025
San Diego St.,48,2025
West Virginia,49,2025
Villanova,50,2025
SMU,51,2025
Cincinnati,52,2025
Indiana,53,2025
Vanderbilt,54,2025
Liberty,55,2025
Northwestern,56,2025
Santa Clara,57,2025
McNeese State,58,2025
UC Irvine,59,2025
Kansas St.,60,2025
Pittsburgh,61,2025
Drake,62,2025
Penn St.,63,2025
Nebraska,64,2025
St Joseph's PA,65,2025
USC,66,2025
Yale,67,2025
UCF,68,2025
Arizona St.,69,2025
San Francisco,70,2025
Dayton,71,2025
Wake Forest,72,2025
Rutgers,73,2025
George Mason,74,2025
North Texas,75,2025
Nevada,76,2025
Iowa,77,2025
South Carolina,78,2025
Colorado,79,2025
High Point,80,2025
TCU,81,2025
Lipscomb,82,2025
Butler,83,2025
Arkansas St.,84,2025
Grand Canyon,85,2025
Utah,86,2025
Bradley,87,2025
Stanford,88,2025
Notre Dame,89,2025
Akron,90,2025
LSU,91,2025
Georgetown,92,2025
Florida St.,93,2025
Minnesota,94,2025
UNLV,95,2025
Oregon St.,96,2025
Troy,97,2025
Providence,98,2025
UNC Wilmington,99,2025
UAB,100,2025
Georgia Tech,101,2025
St Bonaventure,102,2025
Northern Iowa,103,2025
N Colorado,104,2025
Utah Valley,105,2025
St Thomas MN,106,2025
Chattanooga,107,2025
California,108,2025
Virginia,109,2025
S Dakota St.,110,2025
Oklahoma St.,111,2025
G Washington,112,2025
FL Atlantic,113,2025
St Louis,114,2025
MTSU,115,2025
Washington St.,116,2025
North Alabama,117,2025
NC St.ate,118,2025
Illinois St.,119,2025
Syracuse,120,2025
Washington,121,2025
Wichita St.,122,2025
Wofford,123,2025
Samford,124,2025
Jacksonville St.,125,2025
CS Northridge,126,2025
Bryant,127,2025
Kent,128,2025
Belmont,129,2025
Loyola-Chicago,130,2025
N Dakota St.,131,2025
Murray St.,132,2025
Robert Morris,133,2025
Seattle,134,2025
DePaul,135,2025
Omaha,136,2025
Norfolk State,137,2025
Duquesne,138,2025
WI Milwaukee,139,2025
Tulane,140,2025
Towson,141,2025
South Alabama,142,2025
UC Riverside,143,2025
Louisiana Tech,144,2025
Col Charleston,145,2025
Furman,146,2025
Kennesaw,147,2025
Miami OH,148,2025
Cal Baptist,149,2025
New Mexico St.,150,2025
Virginia Tech,151,2025
ETSU,152,2025
Montana,153,2025
Davidson,154,2025
Temple,155,2025
UNC Greensboro,156,2025
Rhode Island,157,2025
James Madison,158,2025
S Carolina St.,159,2025
Central Conn,160,2025
Marshall,161,2025
Merrimack,162,2025
UC Santa Barbara,163,2025
Cornell,164,2025
Montana St.,165,2025
FGCU,166,2025
Drexel,167,2025
Winthrop,168,2025
E Kentucky,169,2025
UTEP,170,2025
Oakland,171,2025
Cal Poly,172,2025
Cleveland St.,173,2025
WKU,174,2025
TAM C. Christi,175,2025
Ohio,176,2025
Radford,177,2025
IL Chicago,178,2025
PFW,179,2025
East Carolina,180,2025
Loy Marymount,181,2025
Bucknell,182,2025
Elon,183,2025
SE Missouri St.,184,2025
Jacksonville,185,2025
Youngstown St.,186,2025
UT San Antonio,187,2025
Quinnipiac,188,2025
Delaware,189,2025
Nicholls St.,190,2025
Boston College,191,2025
Lamar,192,2025
Miami FL,193,2025
Rice,194,2025
Appalachian St.,195,2025
San Jose St.,196,2025
Northeastern,197,2025
Maine,198,2025
S Illinois,199,2025
Hofstra,200,2025
Portland St.,201,2025
Massachusetts,202,2025
Valparaiso,203,2025
La Salle,204,2025
Texas St.,205,2025
Ark Little Rock,206,2025
SIUE,207,2025
Sam Houston St.,208,2025
South Florida,209,2025
Toledo,210,2025
Princeton,211,2025
Wright St.,212,2025
Hampton,213,2025
Longwood,214,2025
N Kentucky,215,2025
Wyoming,216,2025
Colgate,217,2025
Tennessee St.,218,2025
Indiana St.,219,2025
Queens NC,220,2025
Southern Univ,221,2025
UNC Asheville,222,2025
Jackson St.,223,2025
Missouri St.,224,2025
Mount St. Mary's,225,2025
William & Mary,226,2025
C Michigan,227,2025
Idaho St.,228,2025
SE Louisiana,229,2025
Siena,230,2025
Alabama St.,231,2025
Fordham,232,2025
Pepperdine,233,2025
American,234,2025
Monmouth NJ,235,2025
Campbell,236,2025
Missouri KC,237,2025
Bethune-Cookman,238,2025
Dartmouth,239,2025
Northwestern LA,240,2025
Seton Hall,241,2025
Vermont,242,2025
Iona,243,2025
Ga Southern,244,2025
Presbyterian,245,2025
Richmond,246,2025
Manhattan,247,2025
UT Arlington,248,2025
MA Lowell,249,2025
Navy,250,2025
Sacred Heart,251,2025
Charlotte,252,2025
Gardner Webb,253,2025
North Florida,254,2025
South Dakota,255,2025
Evansville,256,2025
Tulsa,257,2025
Abilene Chr,258,2025
Northern Arizona,259,2025
UC Davis,260,2025
Incarnate Word,261,2025
North Dakota,262,2025
UTRGV,263,2025
Grambling,264,2025
SUNY Albany,265,2025
Lafayette,266,2025
W Michigan,267,2025
Hawaii,268,2025
Idaho,269,2025
Marist,270,2025
TN Martin,271,2025
Georgia St.,272,2025
Brown,273,2025
E Washington,274,2025
Florida Intl,275,2025
E Michigan,276,2025
CS Bakersfield,277,2025
Pacific,278,2025
LIU Brooklyn,279,2025
Bowling Green,280,2025
Austin Peay,281,2025
Ball St.,282,2025
Fresno St.,283,2025
Mercer,284,2025
TX Southern,285,2025
Tennessee Tech,286,2025
Harvard,287,2025
Old Dominion,288,2025
Rider,289,2025
Weber St.,290,2025
Boston Univ,291,2025
Houston Chr,292,2025
San Diego,293,2025
St Peter's,294,2025
Southern Miss,295,2025
Portland,296,2025
Lehigh,297,2025
Denver,298,2025
SF Austin,299,2025
Charleston So,300,2025
Louisiana,301,2025
F Dickinson,302,2025
Howard,303,2025
Alcorn St.,304,2025
Holy Cross,305,2025
NC Central,306,2025
Utah Tech,307,2025
UMBC,308,2025
Loyola MD,309,2025
Saint Francis (PA),310,2025
Niagara,311,2025
Lindenwood,312,2025
Florida A&M,313,2025
NC A&T,314,2025
E Illinois,315,2025
Long Beach St.,316,2025
Tarleton St.,317,2025
Delaware St.,318,2025
Stonehill,319,2025
Stony Brook,320,2025
IUPUI,321,2025
Morehead St.,322,2025
Coastal Car,323,2025
Columbia,324,2025
Southern Indiana,325,2025
Penn,326,2025
VMI,327,2025
Air Force,328,2025
Army,329,2025
Fairfield,330,2025
Binghamton,331,2025
Southern Utah,332,2025
Morgan St.,333,2025
Detroit,334,2025
WI Green Bay,335,2025
Oral Roberts,336,2025
Mercyhurst,337,2025
CS Sacramento,338,2025
Cent Arkansas,339,2025
Bellarmine,340,2025
Prairie View,341,2025
West Georgia,342,2025
Wagner,343,2025
W Illinois,344,2025
Le Moyne,345,2025
Buffalo,346,2025
ULM,347,2025
SC Upstate,348,2025
Stetson,349,2025
NJIT,350,2025
N Illinois,351,2025
New Orleans,352,2025
Canisius,353,2025
Chicago St.,354,2025
CS Fullerton,355,2025
W Carolina,356,2025
Alabama A&M,357,2025
MD E Shore,358,2025
New Hampshire,359,2025
Coppin St.,360,2025
Citadel,361,2025
Ark Pine Bluff,362,2025
MS Valley St.,363,2025
